"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","59"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","110.0"
">","EXTENTS_TOP:","109.0"
">","EXTENTS_RIGHT:","900"
">","EXTENTS_BOTTOM:","926"
">","EXTENTS_WIDTH:","790.0"
">","EXTENTS_HEIGHT:","817.0"
">","COMMAND_STITCH","51"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","60"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4086"
"@","+X","3951"
"@","-Y","4086"
"@","-X","3951"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#a079cf","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","110.0","109.0"
"*","1","JUMP","221.0","218.0"
"*","2","JUMP","331.0","326.0"
"*","3","JUMP","442.0","435.0"
"*","4","JUMP","552.0","544.0"
"*","5","JUMP","662.0","653.0"
"*","6","JUMP","773.0","761.0"
"*","7","STITCH","883","870"
"*","8","STITCH","884","870"
"*","9","STITCH","884","871"
"*","10","STITCH","884","870"
"*","11","STITCH","883","870"
"*","12","STITCH","890","883"
"*","13","STITCH","893","897"
"*","14","STITCH","891","912"
"*","15","STITCH","883","926"
"*","16","STITCH","891","912"
"*","17","STITCH","893","897"
"*","18","STITCH","890","883"
"*","19","STITCH","883","870"
"*","20","STITCH","877","870"
"*","21","STITCH","890","870"
"*","22","STITCH","878","873"
"*","23","STITCH","892","873"
"*","24","STITCH","880","876"
"*","25","STITCH","894","876"
"*","26","STITCH","882","880"
"*","27","STITCH","896","880"
"*","28","STITCH","883","883"
"*","29","STITCH","898","884"
"*","30","STITCH","884","887"
"*","31","STITCH","899","888"
"*","32","STITCH","885","891"
"*","33","STITCH","900","891"
"*","34","STITCH","885","895"
"*","35","STITCH","900","895"
"*","36","STITCH","885","899"
"*","37","STITCH","900","899"
"*","38","STITCH","885","903"
"*","39","STITCH","900","903"
"*","40","STITCH","885","907"
"*","41","STITCH","899","907"
"*","42","STITCH","884","911"
"*","43","STITCH","898","911"
"*","44","STITCH","882","915"
"*","45","STITCH","897","915"
"*","46","STITCH","881","918"
"*","47","STITCH","895","918"
"*","48","STITCH","879","922"
"*","49","STITCH","893","922"
"*","50","STITCH","877","925"
"*","51","STITCH","891","925"
"*","52","STITCH","877","926"
"*","53","STITCH","890","926"
"*","54","STITCH","889","926"
"*","55","STITCH","888","926"
"*","56","STITCH","889","926"
"*","57","STITCH","890","926"
"*","58","END","890","926"
