"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","132"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","116.0"
">","EXTENTS_TOP:","116.0"
">","EXTENTS_RIGHT:","2239"
">","EXTENTS_BOTTOM:","2354"
">","EXTENTS_WIDTH:","2123.0"
">","EXTENTS_HEIGHT:","2238.0"
">","COMMAND_STITCH","113"
">","COMMAND_JUMP","18"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","133"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","11191"
"@","+X","10616"
"@","-Y","11191"
"@","-X","10616"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#4bc0fa","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","116.0","116.0"
"*","1","JUMP","231.0","232.0"
"*","2","JUMP","347.0","348.0"
"*","3","JUMP","463.0","465.0"
"*","4","JUMP","578.0","581.0"
"*","5","JUMP","694.0","697.0"
"*","6","JUMP","810.0","813.0"
"*","7","JUMP","925.0","929.0"
"*","8","JUMP","1041.0","1045.0"
"*","9","JUMP","1157.0","1162.0"
"*","10","JUMP","1273.0","1278.0"
"*","11","JUMP","1388.0","1394.0"
"*","12","JUMP","1504.0","1510.0"
"*","13","JUMP","1620.0","1626.0"
"*","14","JUMP","1735.0","1742.0"
"*","15","JUMP","1851.0","1859.0"
"*","16","JUMP","1967.0","1975.0"
"*","17","JUMP","2082.0","2091.0"
"*","18","STITCH","2198","2207"
"*","19","STITCH","2198","2208"
"*","20","STITCH","2199","2208"
"*","21","STITCH","2198","2208"
"*","22","STITCH","2198","2207"
"*","23","STITCH","2206","2219"
"*","24","STITCH","2212","2233"
"*","25","STITCH","2218","2247"
"*","26","STITCH","2221","2261"
"*","27","STITCH","2223","2276"
"*","28","STITCH","2223","2291"
"*","29","STITCH","2220","2306"
"*","30","STITCH","2216","2320"
"*","31","STITCH","2210","2333"
"*","32","STITCH","2203","2346"
"*","33","STITCH","2198","2354"
"*","34","STITCH","2203","2346"
"*","35","STITCH","2210","2333"
"*","36","STITCH","2216","2320"
"*","37","STITCH","2220","2306"
"*","38","STITCH","2223","2291"
"*","39","STITCH","2223","2276"
"*","40","STITCH","2221","2261"
"*","41","STITCH","2218","2247"
"*","42","STITCH","2212","2233"
"*","43","STITCH","2206","2219"
"*","44","STITCH","2198","2207"
"*","45","STITCH","2184","2207"
"*","46","STITCH","2212","2207"
"*","47","STITCH","2186","2210"
"*","48","STITCH","2215","2210"
"*","49","STITCH","2188","2214"
"*","50","STITCH","2217","2214"
"*","51","STITCH","2190","2217"
"*","52","STITCH","2219","2217"
"*","53","STITCH","2191","2220"
"*","54","STITCH","2221","2220"
"*","55","STITCH","2193","2224"
"*","56","STITCH","2223","2224"
"*","57","STITCH","2195","2227"
"*","58","STITCH","2225","2227"
"*","59","STITCH","2196","2231"
"*","60","STITCH","2227","2231"
"*","61","STITCH","2198","2234"
"*","62","STITCH","2229","2235"
"*","63","STITCH","2199","2238"
"*","64","STITCH","2230","2238"
"*","65","STITCH","2201","2241"
"*","66","STITCH","2232","2242"
"*","67","STITCH","2202","2245"
"*","68","STITCH","2233","2246"
"*","69","STITCH","2203","2249"
"*","70","STITCH","2234","2249"
"*","71","STITCH","2204","2253"
"*","72","STITCH","2235","2253"
"*","73","STITCH","2205","2257"
"*","74","STITCH","2236","2257"
"*","75","STITCH","2205","2261"
"*","76","STITCH","2237","2261"
"*","77","STITCH","2206","2265"
"*","78","STITCH","2238","2265"
"*","79","STITCH","2207","2269"
"*","80","STITCH","2238","2269"
"*","81","STITCH","2207","2273"
"*","82","STITCH","2239","2273"
"*","83","STITCH","2207","2277"
"*","84","STITCH","2239","2277"
"*","85","STITCH","2207","2281"
"*","86","STITCH","2239","2281"
"*","87","STITCH","2207","2285"
"*","88","STITCH","2239","2285"
"*","89","STITCH","2207","2289"
"*","90","STITCH","2239","2289"
"*","91","STITCH","2207","2293"
"*","92","STITCH","2238","2292"
"*","93","STITCH","2206","2297"
"*","94","STITCH","2238","2296"
"*","95","STITCH","2205","2301"
"*","96","STITCH","2237","2300"
"*","97","STITCH","2205","2305"
"*","98","STITCH","2236","2304"
"*","99","STITCH","2204","2308"
"*","100","STITCH","2235","2308"
"*","101","STITCH","2203","2312"
"*","102","STITCH","2234","2312"
"*","103","STITCH","2202","2316"
"*","104","STITCH","2233","2316"
"*","105","STITCH","2201","2320"
"*","106","STITCH","2232","2319"
"*","107","STITCH","2199","2323"
"*","108","STITCH","2230","2323"
"*","109","STITCH","2198","2327"
"*","110","STITCH","2229","2327"
"*","111","STITCH","2196","2331"
"*","112","STITCH","2227","2330"
"*","113","STITCH","2195","2334"
"*","114","STITCH","2225","2334"
"*","115","STITCH","2193","2338"
"*","116","STITCH","2223","2337"
"*","117","STITCH","2191","2341"
"*","118","STITCH","2221","2341"
"*","119","STITCH","2189","2344"
"*","120","STITCH","2219","2344"
"*","121","STITCH","2188","2348"
"*","122","STITCH","2217","2348"
"*","123","STITCH","2186","2351"
"*","124","STITCH","2215","2351"
"*","125","STITCH","2184","2354"
"*","126","STITCH","2212","2354"
"*","127","STITCH","2212","2354"
"*","128","STITCH","2211","2354"
"*","129","STITCH","2212","2354"
"*","130","STITCH","2212","2354"
"*","131","END","2212","2354"
