"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","71"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","68.0"
">","EXTENTS_TOP:","113.0"
">","EXTENTS_RIGHT:","583"
">","EXTENTS_BOTTOM:","918"
">","EXTENTS_WIDTH:","515.0"
">","EXTENTS_HEIGHT:","805.0"
">","COMMAND_STITCH","63"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","72"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4027"
"@","+X","2574"
"@","-Y","4027"
"@","-X","2574"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#7fe8eb","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","68.0","113.0"
"*","1","JUMP","137.0","225.0"
"*","2","JUMP","205.0","338.0"
"*","3","JUMP","274.0","450.0"
"*","4","JUMP","342.0","563.0"
"*","5","JUMP","410.0","675.0"
"*","6","JUMP","479.0","788.0"
"*","7","STITCH","547","900"
"*","8","STITCH","548","900"
"*","9","STITCH","548","900"
"*","10","STITCH","548","900"
"*","11","STITCH","547","900"
"*","12","STITCH","560","900"
"*","13","STITCH","547","900"
"*","14","STITCH","547","895"
"*","15","STITCH","547","906"
"*","16","STITCH","551","895"
"*","17","STITCH","551","906"
"*","18","STITCH","555","895"
"*","19","STITCH","555","906"
"*","20","STITCH","559","895"
"*","21","STITCH","559","906"
"*","22","STITCH","560","895"
"*","23","STITCH","560","906"
"*","24","STITCH","565","897"
"*","25","STITCH","565","883"
"*","26","STITCH","560","882"
"*","27","STITCH","570","882"
"*","28","STITCH","560","886"
"*","29","STITCH","570","886"
"*","30","STITCH","560","890"
"*","31","STITCH","570","890"
"*","32","STITCH","560","894"
"*","33","STITCH","570","894"
"*","34","STITCH","560","898"
"*","35","STITCH","570","898"
"*","36","STITCH","560","900"
"*","37","STITCH","570","900"
"*","38","STITCH","565","901"
"*","39","STITCH","565","916"
"*","40","STITCH","565","918"
"*","41","STITCH","560","918"
"*","42","STITCH","570","918"
"*","43","STITCH","560","914"
"*","44","STITCH","570","914"
"*","45","STITCH","560","910"
"*","46","STITCH","570","910"
"*","47","STITCH","560","906"
"*","48","STITCH","570","906"
"*","49","STITCH","560","902"
"*","50","STITCH","570","902"
"*","51","STITCH","560","900"
"*","52","STITCH","570","900"
"*","53","STITCH","569","900"
"*","54","STITCH","583","900"
"*","55","STITCH","569","900"
"*","56","STITCH","569","906"
"*","57","STITCH","569","895"
"*","58","STITCH","573","906"
"*","59","STITCH","573","895"
"*","60","STITCH","577","906"
"*","61","STITCH","577","895"
"*","62","STITCH","581","906"
"*","63","STITCH","581","895"
"*","64","STITCH","583","906"
"*","65","STITCH","583","895"
"*","66","STITCH","583","896"
"*","67","STITCH","583","897"
"*","68","STITCH","583","896"
"*","69","STITCH","583","895"
"*","70","END","583","895"
