"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","31"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","54.0"
">","EXTENTS_TOP:","116.0"
">","EXTENTS_RIGHT:","443"
">","EXTENTS_BOTTOM:","931"
">","EXTENTS_WIDTH:","389.0"
">","EXTENTS_HEIGHT:","815.0"
">","COMMAND_STITCH","23"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","32"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4073"
"@","+X","1945"
"@","-Y","4073"
"@","-X","1945"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#ac33cc","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","54.0","116.0"
"*","1","JUMP","108.0","233.0"
"*","2","JUMP","161.0","349.0"
"*","3","JUMP","215.0","466.0"
"*","4","JUMP","269.0","582.0"
"*","5","JUMP","323.0","698.0"
"*","6","JUMP","376.0","815.0"
"*","7","STITCH","430","931"
"*","8","STITCH","430","930"
"*","9","STITCH","431","929"
"*","10","STITCH","430","930"
"*","11","STITCH","430","931"
"*","12","STITCH","437","914"
"*","13","STITCH","430","931"
"*","14","STITCH","424","931"
"*","15","STITCH","437","931"
"*","16","STITCH","426","927"
"*","17","STITCH","439","927"
"*","18","STITCH","428","924"
"*","19","STITCH","441","924"
"*","20","STITCH","430","920"
"*","21","STITCH","443","920"
"*","22","STITCH","431","917"
"*","23","STITCH","443","917"
"*","24","STITCH","431","914"
"*","25","STITCH","443","914"
"*","26","STITCH","442","914"
"*","27","STITCH","441","914"
"*","28","STITCH","442","914"
"*","29","STITCH","443","914"
"*","30","END","443","914"
