"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","31"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","79.0"
">","EXTENTS_TOP:","113.0"
">","EXTENTS_RIGHT:","649"
">","EXTENTS_BOTTOM:","909"
">","EXTENTS_WIDTH:","570.0"
">","EXTENTS_HEIGHT:","796.0"
">","COMMAND_STITCH","23"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","32"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3978"
"@","+X","2852"
"@","-Y","3978"
"@","-X","2852"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#bd316e","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","79.0","113.0"
"*","1","JUMP","158.0","226.0"
"*","2","JUMP","237.0","339.0"
"*","3","JUMP","316.0","452.0"
"*","4","JUMP","394.0","564.0"
"*","5","JUMP","473.0","677.0"
"*","6","JUMP","552.0","790.0"
"*","7","STITCH","631","903"
"*","8","STITCH","632","903"
"*","9","STITCH","632","903"
"*","10","STITCH","632","903"
"*","11","STITCH","631","903"
"*","12","STITCH","649","903"
"*","13","STITCH","631","903"
"*","14","STITCH","631","909"
"*","15","STITCH","631","898"
"*","16","STITCH","635","909"
"*","17","STITCH","635","898"
"*","18","STITCH","639","909"
"*","19","STITCH","639","898"
"*","20","STITCH","643","909"
"*","21","STITCH","643","898"
"*","22","STITCH","647","909"
"*","23","STITCH","647","898"
"*","24","STITCH","649","909"
"*","25","STITCH","649","898"
"*","26","STITCH","649","898"
"*","27","STITCH","649","899"
"*","28","STITCH","649","898"
"*","29","STITCH","649","898"
"*","30","END","649","898"
