"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","115"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","13.0"
">","EXTENTS_TOP:","112.0"
">","EXTENTS_RIGHT:","122"
">","EXTENTS_BOTTOM:","811"
">","EXTENTS_WIDTH:","109.0"
">","EXTENTS_HEIGHT:","699.0"
">","COMMAND_STITCH","108"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","116"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3493"
"@","+X","546"
"@","-Y","3493"
"@","-X","546"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#1f4a8c","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","13.0","112.0"
"*","1","JUMP","25.0","224.0"
"*","2","JUMP","38.0","336.0"
"*","3","JUMP","50.0","447.0"
"*","4","JUMP","63.0","559.0"
"*","5","JUMP","75.0","671.0"
"*","6","STITCH","88","783"
"*","7","STITCH","88","783"
"*","8","STITCH","88","784"
"*","9","STITCH","88","783"
"*","10","STITCH","88","783"
"*","11","STITCH","91","797"
"*","12","STITCH","102","806"
"*","13","STITCH","114","798"
"*","14","STITCH","117","784"
"*","15","STITCH","117","783"
"*","16","STITCH","115","769"
"*","17","STITCH","107","759"
"*","18","STITCH","96","760"
"*","19","STITCH","89","771"
"*","20","STITCH","88","785"
"*","21","STITCH","91","798"
"*","22","STITCH","100","806"
"*","23","STITCH","111","802"
"*","24","STITCH","116","790"
"*","25","STITCH","117","782"
"*","26","STITCH","116","790"
"*","27","STITCH","111","802"
"*","28","STITCH","100","806"
"*","29","STITCH","91","798"
"*","30","STITCH","88","785"
"*","31","STITCH","89","771"
"*","32","STITCH","96","760"
"*","33","STITCH","107","759"
"*","34","STITCH","115","769"
"*","35","STITCH","117","782"
"*","36","STITCH","111","782"
"*","37","STITCH","122","782"
"*","38","STITCH","111","779"
"*","39","STITCH","122","778"
"*","40","STITCH","111","776"
"*","41","STITCH","122","774"
"*","42","STITCH","111","773"
"*","43","STITCH","121","769"
"*","44","STITCH","110","770"
"*","45","STITCH","119","765"
"*","46","STITCH","109","768"
"*","47","STITCH","117","761"
"*","48","STITCH","108","766"
"*","49","STITCH","115","758"
"*","50","STITCH","107","764"
"*","51","STITCH","111","755"
"*","52","STITCH","105","763"
"*","53","STITCH","107","754"
"*","54","STITCH","102","763"
"*","55","STITCH","103","753"
"*","56","STITCH","100","763"
"*","57","STITCH","98","754"
"*","58","STITCH","98","764"
"*","59","STITCH","94","755"
"*","60","STITCH","97","766"
"*","61","STITCH","90","758"
"*","62","STITCH","96","768"
"*","63","STITCH","88","761"
"*","64","STITCH","95","771"
"*","65","STITCH","85","765"
"*","66","STITCH","94","773"
"*","67","STITCH","84","769"
"*","68","STITCH","94","776"
"*","69","STITCH","83","773"
"*","70","STITCH","94","779"
"*","71","STITCH","83","777"
"*","72","STITCH","94","782"
"*","73","STITCH","83","782"
"*","74","STITCH","94","785"
"*","75","STITCH","83","786"
"*","76","STITCH","94","788"
"*","77","STITCH","83","790"
"*","78","STITCH","94","791"
"*","79","STITCH","84","794"
"*","80","STITCH","95","793"
"*","81","STITCH","85","798"
"*","82","STITCH","96","796"
"*","83","STITCH","87","802"
"*","84","STITCH","97","798"
"*","85","STITCH","90","806"
"*","86","STITCH","98","800"
"*","87","STITCH","94","808"
"*","88","STITCH","100","801"
"*","89","STITCH","98","810"
"*","90","STITCH","102","801"
"*","91","STITCH","102","811"
"*","92","STITCH","104","801"
"*","93","STITCH","107","810"
"*","94","STITCH","106","800"
"*","95","STITCH","111","809"
"*","96","STITCH","108","798"
"*","97","STITCH","114","806"
"*","98","STITCH","109","796"
"*","99","STITCH","117","803"
"*","100","STITCH","110","793"
"*","101","STITCH","119","799"
"*","102","STITCH","111","791"
"*","103","STITCH","121","795"
"*","104","STITCH","111","788"
"*","105","STITCH","121","791"
"*","106","STITCH","111","785"
"*","107","STITCH","122","787"
"*","108","STITCH","111","782"
"*","109","STITCH","122","782"
"*","110","STITCH","121","782"
"*","111","STITCH","121","782"
"*","112","STITCH","121","782"
"*","113","STITCH","122","782"
"*","114","END","122","782"
