"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","81"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","24.0"
">","EXTENTS_TOP:","109.0"
">","EXTENTS_RIGHT:","196"
">","EXTENTS_BOTTOM:","810"
">","EXTENTS_WIDTH:","172.0"
">","EXTENTS_HEIGHT:","701.0"
">","COMMAND_STITCH","74"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","82"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3503"
"@","+X","861"
"@","-Y","3503"
"@","-X","861"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#4b4c86","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","24.0","109.0"
"*","1","JUMP","47.0","218.0"
"*","2","JUMP","71.0","327.0"
"*","3","JUMP","95.0","435.0"
"*","4","JUMP","119.0","544.0"
"*","5","JUMP","142.0","653.0"
"*","6","STITCH","166","762"
"*","7","STITCH","166","762"
"*","8","STITCH","167","762"
"*","9","STITCH","166","762"
"*","10","STITCH","166","762"
"*","11","STITCH","178","760"
"*","12","STITCH","166","762"
"*","13","STITCH","166","757"
"*","14","STITCH","166","768"
"*","15","STITCH","170","756"
"*","16","STITCH","170","767"
"*","17","STITCH","173","755"
"*","18","STITCH","173","766"
"*","19","STITCH","178","754"
"*","20","STITCH","178","765"
"*","21","STITCH","181","757"
"*","22","STITCH","181","772"
"*","23","STITCH","181","787"
"*","24","STITCH","181","802"
"*","25","STITCH","181","787"
"*","26","STITCH","181","772"
"*","27","STITCH","181","757"
"*","28","STITCH","187","757"
"*","29","STITCH","176","757"
"*","30","STITCH","187","761"
"*","31","STITCH","176","761"
"*","32","STITCH","187","765"
"*","33","STITCH","176","765"
"*","34","STITCH","187","769"
"*","35","STITCH","176","769"
"*","36","STITCH","187","773"
"*","37","STITCH","176","773"
"*","38","STITCH","187","777"
"*","39","STITCH","176","777"
"*","40","STITCH","187","781"
"*","41","STITCH","176","781"
"*","42","STITCH","187","785"
"*","43","STITCH","176","785"
"*","44","STITCH","187","789"
"*","45","STITCH","176","789"
"*","46","STITCH","187","793"
"*","47","STITCH","176","793"
"*","48","STITCH","187","797"
"*","49","STITCH","176","797"
"*","50","STITCH","187","802"
"*","51","STITCH","176","802"
"*","52","STITCH","178","804"
"*","53","STITCH","167","804"
"*","54","STITCH","182","805"
"*","55","STITCH","196","805"
"*","56","STITCH","182","805"
"*","57","STITCH","167","805"
"*","58","STITCH","167","810"
"*","59","STITCH","167","800"
"*","60","STITCH","171","810"
"*","61","STITCH","171","800"
"*","62","STITCH","175","810"
"*","63","STITCH","175","800"
"*","64","STITCH","179","810"
"*","65","STITCH","179","800"
"*","66","STITCH","183","810"
"*","67","STITCH","183","800"
"*","68","STITCH","187","810"
"*","69","STITCH","187","800"
"*","70","STITCH","191","810"
"*","71","STITCH","191","800"
"*","72","STITCH","195","810"
"*","73","STITCH","195","800"
"*","74","STITCH","196","810"
"*","75","STITCH","196","800"
"*","76","STITCH","196","801"
"*","77","STITCH","196","801"
"*","78","STITCH","196","801"
"*","79","STITCH","196","800"
"*","80","END","196","800"
