"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","95"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","34.0"
">","EXTENTS_TOP:","109.0"
">","EXTENTS_RIGHT:","275"
">","EXTENTS_BOTTOM:","810"
">","EXTENTS_WIDTH:","241.0"
">","EXTENTS_HEIGHT:","701.0"
">","COMMAND_STITCH","88"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","96"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3503"
"@","+X","1206"
"@","-Y","3503"
"@","-X","1206"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#fe0fb3","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","34.0","109.0"
"*","1","JUMP","69.0","218.0"
"*","2","JUMP","103.0","327.0"
"*","3","JUMP","138.0","435.0"
"*","4","JUMP","172.0","544.0"
"*","5","JUMP","207.0","653.0"
"*","6","STITCH","241","762"
"*","7","STITCH","242","762"
"*","8","STITCH","243","762"
"*","9","STITCH","242","762"
"*","10","STITCH","241","762"
"*","11","STITCH","255","758"
"*","12","STITCH","267","762"
"*","13","STITCH","269","774"
"*","14","STITCH","261","785"
"*","15","STITCH","251","795"
"*","16","STITCH","245","802"
"*","17","STITCH","251","795"
"*","18","STITCH","261","785"
"*","19","STITCH","269","774"
"*","20","STITCH","267","762"
"*","21","STITCH","255","758"
"*","22","STITCH","241","762"
"*","23","STITCH","241","757"
"*","24","STITCH","241","768"
"*","25","STITCH","245","756"
"*","26","STITCH","245","766"
"*","27","STITCH","249","754"
"*","28","STITCH","249","764"
"*","29","STITCH","252","754"
"*","30","STITCH","252","763"
"*","31","STITCH","257","753"
"*","32","STITCH","255","763"
"*","33","STITCH","261","754"
"*","34","STITCH","257","763"
"*","35","STITCH","265","755"
"*","36","STITCH","260","763"
"*","37","STITCH","269","757"
"*","38","STITCH","262","764"
"*","39","STITCH","272","760"
"*","40","STITCH","263","766"
"*","41","STITCH","274","764"
"*","42","STITCH","265","768"
"*","43","STITCH","275","769"
"*","44","STITCH","265","769"
"*","45","STITCH","275","773"
"*","46","STITCH","264","773"
"*","47","STITCH","274","777"
"*","48","STITCH","262","776"
"*","49","STITCH","272","780"
"*","50","STITCH","260","779"
"*","51","STITCH","270","782"
"*","52","STITCH","258","783"
"*","53","STITCH","268","784"
"*","54","STITCH","255","786"
"*","55","STITCH","266","786"
"*","56","STITCH","252","789"
"*","57","STITCH","263","789"
"*","58","STITCH","250","791"
"*","59","STITCH","260","792"
"*","60","STITCH","247","794"
"*","61","STITCH","258","795"
"*","62","STITCH","245","796"
"*","63","STITCH","255","798"
"*","64","STITCH","242","799"
"*","65","STITCH","251","802"
"*","66","STITCH","239","802"
"*","67","STITCH","242","805"
"*","68","STITCH","257","805"
"*","69","STITCH","274","805"
"*","70","STITCH","257","805"
"*","71","STITCH","242","805"
"*","72","STITCH","242","810"
"*","73","STITCH","242","800"
"*","74","STITCH","246","810"
"*","75","STITCH","246","800"
"*","76","STITCH","250","810"
"*","77","STITCH","250","800"
"*","78","STITCH","254","810"
"*","79","STITCH","254","800"
"*","80","STITCH","258","810"
"*","81","STITCH","258","800"
"*","82","STITCH","262","810"
"*","83","STITCH","262","800"
"*","84","STITCH","266","810"
"*","85","STITCH","266","800"
"*","86","STITCH","270","810"
"*","87","STITCH","270","800"
"*","88","STITCH","274","810"
"*","89","STITCH","274","800"
"*","90","STITCH","274","801"
"*","91","STITCH","274","801"
"*","92","STITCH","274","801"
"*","93","STITCH","274","800"
"*","94","END","274","800"
