"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","106"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","46.0"
">","EXTENTS_TOP:","109.0"
">","EXTENTS_RIGHT:","355"
">","EXTENTS_BOTTOM:","810"
">","EXTENTS_WIDTH:","309.0"
">","EXTENTS_HEIGHT:","701.0"
">","COMMAND_STITCH","99"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","107"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3506"
"@","+X","1543"
"@","-Y","3506"
"@","-X","1543"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#d857e5","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","46.0","109.0"
"*","1","JUMP","92.0","217.0"
"*","2","JUMP","138.0","326.0"
"*","3","JUMP","183.0","435.0"
"*","4","JUMP","229.0","544.0"
"*","5","JUMP","275.0","652.0"
"*","6","STITCH","321","761"
"*","7","STITCH","321","760"
"*","8","STITCH","322","760"
"*","9","STITCH","321","760"
"*","10","STITCH","321","761"
"*","11","STITCH","334","758"
"*","12","STITCH","346","762"
"*","13","STITCH","346","775"
"*","14","STITCH","341","778"
"*","15","STITCH","346","775"
"*","16","STITCH","346","762"
"*","17","STITCH","334","758"
"*","18","STITCH","321","761"
"*","19","STITCH","321","756"
"*","20","STITCH","321","766"
"*","21","STITCH","325","755"
"*","22","STITCH","324","765"
"*","23","STITCH","328","754"
"*","24","STITCH","328","764"
"*","25","STITCH","333","753"
"*","26","STITCH","332","763"
"*","27","STITCH","337","753"
"*","28","STITCH","334","763"
"*","29","STITCH","341","754"
"*","30","STITCH","337","763"
"*","31","STITCH","345","756"
"*","32","STITCH","339","763"
"*","33","STITCH","349","758"
"*","34","STITCH","341","764"
"*","35","STITCH","352","762"
"*","36","STITCH","343","766"
"*","37","STITCH","353","766"
"*","38","STITCH","344","768"
"*","39","STITCH","353","770"
"*","40","STITCH","343","771"
"*","41","STITCH","352","774"
"*","42","STITCH","341","774"
"*","43","STITCH","350","777"
"*","44","STITCH","339","775"
"*","45","STITCH","346","780"
"*","46","STITCH","337","776"
"*","47","STITCH","345","780"
"*","48","STITCH","336","776"
"*","49","STITCH","339","779"
"*","50","STITCH","328","780"
"*","51","STITCH","341","782"
"*","52","STITCH","350","790"
"*","53","STITCH","345","802"
"*","54","STITCH","333","806"
"*","55","STITCH","319","803"
"*","56","STITCH","333","806"
"*","57","STITCH","345","802"
"*","58","STITCH","350","790"
"*","59","STITCH","341","782"
"*","60","STITCH","328","780"
"*","61","STITCH","328","775"
"*","62","STITCH","328","785"
"*","63","STITCH","332","775"
"*","64","STITCH","330","785"
"*","65","STITCH","337","775"
"*","66","STITCH","333","785"
"*","67","STITCH","341","777"
"*","68","STITCH","336","785"
"*","69","STITCH","345","779"
"*","70","STITCH","338","785"
"*","71","STITCH","349","781"
"*","72","STITCH","341","786"
"*","73","STITCH","352","783"
"*","74","STITCH","343","788"
"*","75","STITCH","354","787"
"*","76","STITCH","344","790"
"*","77","STITCH","355","792"
"*","78","STITCH","345","792"
"*","79","STITCH","355","796"
"*","80","STITCH","345","795"
"*","81","STITCH","353","800"
"*","82","STITCH","343","798"
"*","83","STITCH","351","804"
"*","84","STITCH","341","800"
"*","85","STITCH","348","806"
"*","86","STITCH","339","801"
"*","87","STITCH","344","808"
"*","88","STITCH","336","801"
"*","89","STITCH","340","810"
"*","90","STITCH","333","801"
"*","91","STITCH","336","810"
"*","92","STITCH","330","801"
"*","93","STITCH","332","810"
"*","94","STITCH","327","801"
"*","95","STITCH","327","810"
"*","96","STITCH","324","800"
"*","97","STITCH","323","809"
"*","98","STITCH","322","799"
"*","99","STITCH","319","808"
"*","100","STITCH","319","797"
"*","101","STITCH","319","798"
"*","102","STITCH","319","799"
"*","103","STITCH","319","798"
"*","104","STITCH","319","797"
"*","105","END","319","797"
