"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","113"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","57.0"
">","EXTENTS_TOP:","113.0"
">","EXTENTS_RIGHT:","432"
">","EXTENTS_BOTTOM:","808"
">","EXTENTS_WIDTH:","375.0"
">","EXTENTS_HEIGHT:","695.0"
">","COMMAND_STITCH","106"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","114"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3473"
"@","+X","1877"
"@","-Y","3473"
"@","-X","1877"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#c01444","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","57.0","113.0"
"*","1","JUMP","114.0","225.0"
"*","2","JUMP","171.0","338.0"
"*","3","JUMP","227.0","451.0"
"*","4","JUMP","284.0","564.0"
"*","5","JUMP","341.0","676.0"
"*","6","STITCH","398","789"
"*","7","STITCH","398","789"
"*","8","STITCH","399","788"
"*","9","STITCH","398","789"
"*","10","STITCH","398","789"
"*","11","STITCH","406","778"
"*","12","STITCH","413","766"
"*","13","STITCH","417","760"
"*","14","STITCH","413","766"
"*","15","STITCH","406","778"
"*","16","STITCH","398","789"
"*","17","STITCH","393","788"
"*","18","STITCH","403","790"
"*","19","STITCH","395","785"
"*","20","STITCH","405","788"
"*","21","STITCH","398","781"
"*","22","STITCH","406","785"
"*","23","STITCH","400","778"
"*","24","STITCH","408","782"
"*","25","STITCH","402","774"
"*","26","STITCH","410","780"
"*","27","STITCH","404","771"
"*","28","STITCH","412","777"
"*","29","STITCH","407","767"
"*","30","STITCH","413","774"
"*","31","STITCH","409","764"
"*","32","STITCH","415","772"
"*","33","STITCH","411","760"
"*","34","STITCH","417","769"
"*","35","STITCH","414","757"
"*","36","STITCH","418","766"
"*","37","STITCH","415","755"
"*","38","STITCH","419","764"
"*","39","STITCH","422","757"
"*","40","STITCH","422","772"
"*","41","STITCH","422","790"
"*","42","STITCH","422","772"
"*","43","STITCH","422","757"
"*","44","STITCH","427","757"
"*","45","STITCH","416","757"
"*","46","STITCH","427","761"
"*","47","STITCH","416","761"
"*","48","STITCH","427","765"
"*","49","STITCH","416","765"
"*","50","STITCH","427","769"
"*","51","STITCH","416","769"
"*","52","STITCH","427","773"
"*","53","STITCH","416","773"
"*","54","STITCH","427","777"
"*","55","STITCH","416","777"
"*","56","STITCH","427","781"
"*","57","STITCH","416","781"
"*","58","STITCH","427","785"
"*","59","STITCH","416","785"
"*","60","STITCH","427","790"
"*","61","STITCH","416","790"
"*","62","STITCH","432","793"
"*","63","STITCH","425","793"
"*","64","STITCH","432","793"
"*","65","STITCH","432","798"
"*","66","STITCH","432","787"
"*","67","STITCH","428","798"
"*","68","STITCH","428","787"
"*","69","STITCH","425","798"
"*","70","STITCH","425","787"
"*","71","STITCH","423","792"
"*","72","STITCH","408","792"
"*","73","STITCH","400","792"
"*","74","STITCH","398","793"
"*","75","STITCH","411","793"
"*","76","STITCH","418","793"
"*","77","STITCH","411","793"
"*","78","STITCH","398","793"
"*","79","STITCH","394","797"
"*","80","STITCH","402","788"
"*","81","STITCH","398","797"
"*","82","STITCH","405","788"
"*","83","STITCH","402","798"
"*","84","STITCH","408","787"
"*","85","STITCH","406","798"
"*","86","STITCH","410","787"
"*","87","STITCH","410","798"
"*","88","STITCH","413","787"
"*","89","STITCH","415","798"
"*","90","STITCH","416","787"
"*","91","STITCH","418","798"
"*","92","STITCH","418","787"
"*","93","STITCH","422","790"
"*","94","STITCH","422","808"
"*","95","STITCH","422","790"
"*","96","STITCH","416","790"
"*","97","STITCH","427","790"
"*","98","STITCH","416","794"
"*","99","STITCH","427","794"
"*","100","STITCH","416","798"
"*","101","STITCH","427","798"
"*","102","STITCH","416","802"
"*","103","STITCH","427","802"
"*","104","STITCH","416","806"
"*","105","STITCH","427","806"
"*","106","STITCH","416","808"
"*","107","STITCH","427","808"
"*","108","STITCH","426","808"
"*","109","STITCH","425","808"
"*","110","STITCH","426","808"
"*","111","STITCH","427","808"
"*","112","END","427","808"
