"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","105"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","68.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","510"
">","EXTENTS_BOTTOM:","810"
">","EXTENTS_WIDTH:","442.0"
">","EXTENTS_HEIGHT:","695.0"
">","COMMAND_STITCH","98"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","106"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3477"
"@","+X","2210"
"@","-Y","3477"
"@","-X","2210"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#9b4bce","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","68.0","115.0"
"*","1","JUMP","136.0","229.0"
"*","2","JUMP","204.0","344.0"
"*","3","JUMP","271.0","459.0"
"*","4","JUMP","339.0","574.0"
"*","5","JUMP","407.0","688.0"
"*","6","STITCH","475","803"
"*","7","STITCH","476","803"
"*","8","STITCH","476","803"
"*","9","STITCH","476","803"
"*","10","STITCH","475","803"
"*","11","STITCH","488","806"
"*","12","STITCH","501","802"
"*","13","STITCH","505","790"
"*","14","STITCH","499","779"
"*","15","STITCH","485","777"
"*","16","STITCH","480","772"
"*","17","STITCH","480","763"
"*","18","STITCH","480","772"
"*","19","STITCH","485","777"
"*","20","STITCH","499","779"
"*","21","STITCH","505","790"
"*","22","STITCH","501","802"
"*","23","STITCH","488","806"
"*","24","STITCH","475","803"
"*","25","STITCH","475","797"
"*","26","STITCH","475","808"
"*","27","STITCH","478","799"
"*","28","STITCH","479","809"
"*","29","STITCH","482","800"
"*","30","STITCH","483","810"
"*","31","STITCH","486","801"
"*","32","STITCH","486","810"
"*","33","STITCH","489","801"
"*","34","STITCH","491","810"
"*","35","STITCH","491","801"
"*","36","STITCH","495","810"
"*","37","STITCH","494","800"
"*","38","STITCH","499","809"
"*","39","STITCH","496","799"
"*","40","STITCH","503","806"
"*","41","STITCH","498","797"
"*","42","STITCH","506","803"
"*","43","STITCH","499","795"
"*","44","STITCH","508","800"
"*","45","STITCH","500","793"
"*","46","STITCH","510","795"
"*","47","STITCH","500","791"
"*","48","STITCH","510","791"
"*","49","STITCH","500","789"
"*","50","STITCH","510","787"
"*","51","STITCH","499","787"
"*","52","STITCH","508","782"
"*","53","STITCH","498","785"
"*","54","STITCH","506","779"
"*","55","STITCH","496","783"
"*","56","STITCH","503","776"
"*","57","STITCH","493","782"
"*","58","STITCH","499","774"
"*","59","STITCH","491","782"
"*","60","STITCH","495","772"
"*","61","STITCH","488","781"
"*","62","STITCH","491","772"
"*","63","STITCH","484","782"
"*","64","STITCH","489","772"
"*","65","STITCH","480","782"
"*","66","STITCH","486","773"
"*","67","STITCH","476","784"
"*","68","STITCH","483","774"
"*","69","STITCH","476","780"
"*","70","STITCH","484","771"
"*","71","STITCH","475","775"
"*","72","STITCH","484","769"
"*","73","STITCH","475","771"
"*","74","STITCH","484","767"
"*","75","STITCH","475","766"
"*","76","STITCH","485","765"
"*","77","STITCH","475","763"
"*","78","STITCH","485","763"
"*","79","STITCH","478","759"
"*","80","STITCH","493","759"
"*","81","STITCH","504","759"
"*","82","STITCH","493","759"
"*","83","STITCH","478","759"
"*","84","STITCH","478","754"
"*","85","STITCH","478","764"
"*","86","STITCH","482","754"
"*","87","STITCH","482","764"
"*","88","STITCH","486","754"
"*","89","STITCH","486","764"
"*","90","STITCH","490","754"
"*","91","STITCH","490","764"
"*","92","STITCH","494","754"
"*","93","STITCH","494","764"
"*","94","STITCH","498","754"
"*","95","STITCH","498","764"
"*","96","STITCH","502","754"
"*","97","STITCH","502","764"
"*","98","STITCH","504","754"
"*","99","STITCH","504","764"
"*","100","STITCH","504","763"
"*","101","STITCH","504","763"
"*","102","STITCH","504","763"
"*","103","STITCH","504","764"
"*","104","END","504","764"
