"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","121"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","79.0"
">","EXTENTS_TOP:","113.0"
">","EXTENTS_RIGHT:","590"
">","EXTENTS_BOTTOM:","811"
">","EXTENTS_WIDTH:","511.0"
">","EXTENTS_HEIGHT:","698.0"
">","COMMAND_STITCH","114"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","122"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3488"
"@","+X","2553"
"@","-Y","3488"
"@","-X","2553"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#471b91","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","79.0","113.0"
"*","1","JUMP","159.0","226.0"
"*","2","JUMP","238.0","339.0"
"*","3","JUMP","318.0","451.0"
"*","4","JUMP","397.0","564.0"
"*","5","JUMP","477.0","677.0"
"*","6","STITCH","556","790"
"*","7","STITCH","556","791"
"*","8","STITCH","556","791"
"*","9","STITCH","556","791"
"*","10","STITCH","556","790"
"*","11","STITCH","561","801"
"*","12","STITCH","572","806"
"*","13","STITCH","582","800"
"*","14","STITCH","584","788"
"*","15","STITCH","577","778"
"*","16","STITCH","564","779"
"*","17","STITCH","560","783"
"*","18","STITCH","564","779"
"*","19","STITCH","577","778"
"*","20","STITCH","584","788"
"*","21","STITCH","582","800"
"*","22","STITCH","572","806"
"*","23","STITCH","561","801"
"*","24","STITCH","556","790"
"*","25","STITCH","551","790"
"*","26","STITCH","561","790"
"*","27","STITCH","552","794"
"*","28","STITCH","561","793"
"*","29","STITCH","553","798"
"*","30","STITCH","563","796"
"*","31","STITCH","555","802"
"*","32","STITCH","565","799"
"*","33","STITCH","558","806"
"*","34","STITCH","566","800"
"*","35","STITCH","561","808"
"*","36","STITCH","567","801"
"*","37","STITCH","566","810"
"*","38","STITCH","569","801"
"*","39","STITCH","570","811"
"*","40","STITCH","570","801"
"*","41","STITCH","575","810"
"*","42","STITCH","572","801"
"*","43","STITCH","579","809"
"*","44","STITCH","574","800"
"*","45","STITCH","583","806"
"*","46","STITCH","576","799"
"*","47","STITCH","586","803"
"*","48","STITCH","577","798"
"*","49","STITCH","588","799"
"*","50","STITCH","578","796"
"*","51","STITCH","589","795"
"*","52","STITCH","578","793"
"*","53","STITCH","590","791"
"*","54","STITCH","579","791"
"*","55","STITCH","589","787"
"*","56","STITCH","578","789"
"*","57","STITCH","588","782"
"*","58","STITCH","578","786"
"*","59","STITCH","586","779"
"*","60","STITCH","577","784"
"*","61","STITCH","583","775"
"*","62","STITCH","576","783"
"*","63","STITCH","579","773"
"*","64","STITCH","574","782"
"*","65","STITCH","575","772"
"*","66","STITCH","572","781"
"*","67","STITCH","571","772"
"*","68","STITCH","568","781"
"*","69","STITCH","567","773"
"*","70","STITCH","564","783"
"*","71","STITCH","563","774"
"*","72","STITCH","562","785"
"*","73","STITCH","559","777"
"*","74","STITCH","560","788"
"*","75","STITCH","556","790"
"*","76","STITCH","556","776"
"*","77","STITCH","561","764"
"*","78","STITCH","572","758"
"*","79","STITCH","584","761"
"*","80","STITCH","572","758"
"*","81","STITCH","561","764"
"*","82","STITCH","556","776"
"*","83","STITCH","556","790"
"*","84","STITCH","561","790"
"*","85","STITCH","551","790"
"*","86","STITCH","561","785"
"*","87","STITCH","551","788"
"*","88","STITCH","560","781"
"*","89","STITCH","550","785"
"*","90","STITCH","560","778"
"*","91","STITCH","550","781"
"*","92","STITCH","561","776"
"*","93","STITCH","551","776"
"*","94","STITCH","562","773"
"*","95","STITCH","551","772"
"*","96","STITCH","563","771"
"*","97","STITCH","553","768"
"*","98","STITCH","564","768"
"*","99","STITCH","555","764"
"*","100","STITCH","565","767"
"*","101","STITCH","557","761"
"*","102","STITCH","567","765"
"*","103","STITCH","560","758"
"*","104","STITCH","569","764"
"*","105","STITCH","564","755"
"*","106","STITCH","571","763"
"*","107","STITCH","568","754"
"*","108","STITCH","573","763"
"*","109","STITCH","573","753"
"*","110","STITCH","577","764"
"*","111","STITCH","577","754"
"*","112","STITCH","581","764"
"*","113","STITCH","581","754"
"*","114","STITCH","584","766"
"*","115","STITCH","584","755"
"*","116","STITCH","584","756"
"*","117","STITCH","584","757"
"*","118","STITCH","584","756"
"*","119","STITCH","584","755"
"*","120","END","584","755"
