"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","132"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","104.0"
">","EXTENTS_TOP:","111.0"
">","EXTENTS_RIGHT:","745"
">","EXTENTS_BOTTOM:","811"
">","EXTENTS_WIDTH:","641.0"
">","EXTENTS_HEIGHT:","700.0"
">","COMMAND_STITCH","125"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","133"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3498"
"@","+X","3205"
"@","-Y","3498"
"@","-X","3205"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#7ffbf1","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","104.0","111.0"
"*","1","JUMP","209.0","223.0"
"*","2","JUMP","313.0","334.0"
"*","3","JUMP","417.0","445.0"
"*","4","JUMP","521.0","556.0"
"*","5","JUMP","626.0","668.0"
"*","6","STITCH","730","779"
"*","7","STITCH","730","778"
"*","8","STITCH","731","778"
"*","9","STITCH","730","778"
"*","10","STITCH","730","779"
"*","11","STITCH","739","769"
"*","12","STITCH","733","759"
"*","13","STITCH","721","758"
"*","14","STITCH","713","766"
"*","15","STITCH","718","777"
"*","16","STITCH","731","782"
"*","17","STITCH","739","791"
"*","18","STITCH","736","802"
"*","19","STITCH","725","806"
"*","20","STITCH","714","802"
"*","21","STITCH","712","789"
"*","22","STITCH","721","782"
"*","23","STITCH","712","789"
"*","24","STITCH","714","802"
"*","25","STITCH","725","806"
"*","26","STITCH","736","802"
"*","27","STITCH","739","791"
"*","28","STITCH","731","782"
"*","29","STITCH","718","777"
"*","30","STITCH","713","766"
"*","31","STITCH","721","758"
"*","32","STITCH","733","759"
"*","33","STITCH","739","769"
"*","34","STITCH","730","779"
"*","35","STITCH","725","777"
"*","36","STITCH","735","781"
"*","37","STITCH","728","776"
"*","38","STITCH","738","779"
"*","39","STITCH","731","774"
"*","40","STITCH","741","776"
"*","41","STITCH","733","772"
"*","42","STITCH","743","772"
"*","43","STITCH","733","770"
"*","44","STITCH","744","768"
"*","45","STITCH","734","768"
"*","46","STITCH","743","764"
"*","47","STITCH","733","766"
"*","48","STITCH","741","760"
"*","49","STITCH","732","764"
"*","50","STITCH","738","757"
"*","51","STITCH","730","763"
"*","52","STITCH","733","755"
"*","53","STITCH","728","763"
"*","54","STITCH","729","754"
"*","55","STITCH","726","763"
"*","56","STITCH","724","753"
"*","57","STITCH","724","763"
"*","58","STITCH","720","754"
"*","59","STITCH","722","763"
"*","60","STITCH","716","755"
"*","61","STITCH","720","763"
"*","62","STITCH","712","758"
"*","63","STITCH","719","764"
"*","64","STITCH","709","761"
"*","65","STITCH","718","766"
"*","66","STITCH","707","765"
"*","67","STITCH","717","768"
"*","68","STITCH","707","770"
"*","69","STITCH","717","770"
"*","70","STITCH","708","774"
"*","71","STITCH","719","773"
"*","72","STITCH","710","777"
"*","73","STITCH","722","776"
"*","74","STITCH","714","780"
"*","75","STITCH","725","776"
"*","76","STITCH","717","781"
"*","77","STITCH","729","777"
"*","78","STITCH","721","783"
"*","79","STITCH","732","778"
"*","80","STITCH","725","785"
"*","81","STITCH","736","780"
"*","82","STITCH","729","785"
"*","83","STITCH","739","781"
"*","84","STITCH","732","788"
"*","85","STITCH","742","784"
"*","86","STITCH","733","789"
"*","87","STITCH","744","788"
"*","88","STITCH","734","791"
"*","89","STITCH","745","793"
"*","90","STITCH","735","793"
"*","91","STITCH","745","797"
"*","92","STITCH","734","795"
"*","93","STITCH","743","801"
"*","94","STITCH","734","797"
"*","95","STITCH","741","805"
"*","96","STITCH","732","799"
"*","97","STITCH","737","808"
"*","98","STITCH","731","800"
"*","99","STITCH","733","810"
"*","100","STITCH","729","801"
"*","101","STITCH","729","810"
"*","102","STITCH","727","801"
"*","103","STITCH","724","811"
"*","104","STITCH","725","801"
"*","105","STITCH","720","810"
"*","106","STITCH","723","801"
"*","107","STITCH","715","809"
"*","108","STITCH","721","801"
"*","109","STITCH","712","806"
"*","110","STITCH","719","800"
"*","111","STITCH","709","803"
"*","112","STITCH","718","798"
"*","113","STITCH","707","799"
"*","114","STITCH","717","796"
"*","115","STITCH","706","795"
"*","116","STITCH","716","795"
"*","117","STITCH","706","791"
"*","118","STITCH","716","791"
"*","119","STITCH","707","787"
"*","120","STITCH","718","789"
"*","121","STITCH","710","783"
"*","122","STITCH","720","786"
"*","123","STITCH","713","781"
"*","124","STITCH","723","785"
"*","125","STITCH","717","779"
"*","126","STITCH","725","784"
"*","127","STITCH","725","784"
"*","128","STITCH","724","783"
"*","129","STITCH","725","784"
"*","130","STITCH","725","784"
"*","131","END","725","784"
