"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","118"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","113.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","823"
">","EXTENTS_BOTTOM:","810"
">","EXTENTS_WIDTH:","710.0"
">","EXTENTS_HEIGHT:","695.0"
">","COMMAND_STITCH","111"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","119"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","3477"
"@","+X","3548"
"@","-Y","3477"
"@","-X","3548"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#8294e7","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","113.0","115.0"
"*","1","JUMP","225.0","229.0"
"*","2","JUMP","338.0","344.0"
"*","3","JUMP","451.0","459.0"
"*","4","JUMP","564.0","574.0"
"*","5","JUMP","676.0","688.0"
"*","6","STITCH","789","803"
"*","7","STITCH","789","803"
"*","8","STITCH","790","804"
"*","9","STITCH","789","803"
"*","10","STITCH","789","803"
"*","11","STITCH","802","805"
"*","12","STITCH","813","798"
"*","13","STITCH","817","785"
"*","14","STITCH","816","772"
"*","15","STITCH","811","761"
"*","16","STITCH","799","758"
"*","17","STITCH","790","766"
"*","18","STITCH","789","778"
"*","19","STITCH","797","787"
"*","20","STITCH","810","784"
"*","21","STITCH","813","781"
"*","22","STITCH","810","784"
"*","23","STITCH","797","787"
"*","24","STITCH","789","778"
"*","25","STITCH","790","766"
"*","26","STITCH","799","758"
"*","27","STITCH","811","761"
"*","28","STITCH","816","772"
"*","29","STITCH","817","785"
"*","30","STITCH","813","798"
"*","31","STITCH","802","805"
"*","32","STITCH","789","803"
"*","33","STITCH","789","809"
"*","34","STITCH","789","798"
"*","35","STITCH","793","810"
"*","36","STITCH","792","799"
"*","37","STITCH","797","810"
"*","38","STITCH","795","800"
"*","39","STITCH","801","810"
"*","40","STITCH","798","801"
"*","41","STITCH","805","810"
"*","42","STITCH","801","801"
"*","43","STITCH","809","809"
"*","44","STITCH","804","800"
"*","45","STITCH","813","806"
"*","46","STITCH","807","798"
"*","47","STITCH","816","803"
"*","48","STITCH","809","796"
"*","49","STITCH","818","800"
"*","50","STITCH","810","793"
"*","51","STITCH","820","796"
"*","52","STITCH","811","790"
"*","53","STITCH","821","792"
"*","54","STITCH","812","787"
"*","55","STITCH","822","788"
"*","56","STITCH","812","784"
"*","57","STITCH","823","784"
"*","58","STITCH","811","781"
"*","59","STITCH","823","780"
"*","60","STITCH","810","778"
"*","61","STITCH","822","775"
"*","62","STITCH","811","775"
"*","63","STITCH","822","771"
"*","64","STITCH","811","773"
"*","65","STITCH","821","767"
"*","66","STITCH","811","770"
"*","67","STITCH","819","763"
"*","68","STITCH","810","768"
"*","69","STITCH","816","759"
"*","70","STITCH","809","766"
"*","71","STITCH","813","756"
"*","72","STITCH","807","764"
"*","73","STITCH","809","754"
"*","74","STITCH","806","763"
"*","75","STITCH","805","754"
"*","76","STITCH","803","763"
"*","77","STITCH","800","753"
"*","78","STITCH","801","763"
"*","79","STITCH","796","754"
"*","80","STITCH","799","763"
"*","81","STITCH","792","756"
"*","82","STITCH","797","765"
"*","83","STITCH","788","759"
"*","84","STITCH","796","766"
"*","85","STITCH","786","763"
"*","86","STITCH","795","768"
"*","87","STITCH","784","767"
"*","88","STITCH","794","770"
"*","89","STITCH","783","771"
"*","90","STITCH","794","772"
"*","91","STITCH","784","776"
"*","92","STITCH","794","774"
"*","93","STITCH","784","780"
"*","94","STITCH","794","776"
"*","95","STITCH","786","784"
"*","96","STITCH","795","778"
"*","97","STITCH","789","787"
"*","98","STITCH","796","780"
"*","99","STITCH","793","790"
"*","100","STITCH","798","781"
"*","101","STITCH","797","792"
"*","102","STITCH","800","782"
"*","103","STITCH","801","792"
"*","104","STITCH","802","783"
"*","105","STITCH","805","792"
"*","106","STITCH","805","782"
"*","107","STITCH","809","790"
"*","108","STITCH","808","781"
"*","109","STITCH","813","788"
"*","110","STITCH","810","778"
"*","111","STITCH","814","786"
"*","112","STITCH","811","776"
"*","113","STITCH","812","777"
"*","114","STITCH","812","778"
"*","115","STITCH","812","777"
"*","116","STITCH","811","776"
"*","117","END","811","776"
