"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","34"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","47.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","385"
">","EXTENTS_BOTTOM:","922"
">","EXTENTS_WIDTH:","338.0"
">","EXTENTS_HEIGHT:","807.0"
">","COMMAND_STITCH","26"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","35"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4037"
"@","+X","1690"
"@","-Y","4037"
"@","-X","1690"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#43d084","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","47.0","115.0"
"*","1","JUMP","95.0","231.0"
"*","2","JUMP","142.0","346.0"
"*","3","JUMP","190.0","461.0"
"*","4","JUMP","237.0","576.0"
"*","5","JUMP","284.0","692.0"
"*","6","JUMP","332.0","807.0"
"*","7","STITCH","379","922"
"*","8","STITCH","379","922"
"*","9","STITCH","379","921"
"*","10","STITCH","379","922"
"*","11","STITCH","379","922"
"*","12","STITCH","379","914"
"*","13","STITCH","379","922"
"*","14","STITCH","374","922"
"*","15","STITCH","385","922"
"*","16","STITCH","374","918"
"*","17","STITCH","385","918"
"*","18","STITCH","374","914"
"*","19","STITCH","385","914"
"*","20","STITCH","379","895"
"*","21","STITCH","379","886"
"*","22","STITCH","379","895"
"*","23","STITCH","374","895"
"*","24","STITCH","385","895"
"*","25","STITCH","374","891"
"*","26","STITCH","385","891"
"*","27","STITCH","374","886"
"*","28","STITCH","385","886"
"*","29","STITCH","384","886"
"*","30","STITCH","384","886"
"*","31","STITCH","384","886"
"*","32","STITCH","385","886"
"*","33","END","385","886"
