"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","65"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","25.0"
">","EXTENTS_TOP:","112.0"
">","EXTENTS_RIGHT:","227"
">","EXTENTS_BOTTOM:","922"
">","EXTENTS_WIDTH:","202.0"
">","EXTENTS_HEIGHT:","810.0"
">","COMMAND_STITCH","57"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","66"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4051"
"@","+X","1012"
"@","-Y","4051"
"@","-X","1012"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#25eac2","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","25.0","112.0"
"*","1","JUMP","50.0","225.0"
"*","2","JUMP","75.0","337.0"
"*","3","JUMP","100.0","450.0"
"*","4","JUMP","124.0","562.0"
"*","5","JUMP","149.0","674.0"
"*","6","JUMP","174.0","787.0"
"*","7","STITCH","199","899"
"*","8","STITCH","200","899"
"*","9","STITCH","201","898"
"*","10","STITCH","200","899"
"*","11","STITCH","199","899"
"*","12","STITCH","212","892"
"*","13","STITCH","225","885"
"*","14","STITCH","227","884"
"*","15","STITCH","214","891"
"*","16","STITCH","199","899"
"*","17","STITCH","214","891"
"*","18","STITCH","227","884"
"*","19","STITCH","227","878"
"*","20","STITCH","227","890"
"*","21","STITCH","224","880"
"*","22","STITCH","224","892"
"*","23","STITCH","220","882"
"*","24","STITCH","220","893"
"*","25","STITCH","217","884"
"*","26","STITCH","217","895"
"*","27","STITCH","213","886"
"*","28","STITCH","214","897"
"*","29","STITCH","210","888"
"*","30","STITCH","210","899"
"*","31","STITCH","206","890"
"*","32","STITCH","207","901"
"*","33","STITCH","203","892"
"*","34","STITCH","204","903"
"*","35","STITCH","199","894"
"*","36","STITCH","199","903"
"*","37","STITCH","199","902"
"*","38","STITCH","212","908"
"*","39","STITCH","227","917"
"*","40","STITCH","212","908"
"*","41","STITCH","199","902"
"*","42","STITCH","199","906"
"*","43","STITCH","199","897"
"*","44","STITCH","202","908"
"*","45","STITCH","203","898"
"*","46","STITCH","205","910"
"*","47","STITCH","206","899"
"*","48","STITCH","209","912"
"*","49","STITCH","210","901"
"*","50","STITCH","213","914"
"*","51","STITCH","213","903"
"*","52","STITCH","216","916"
"*","53","STITCH","216","905"
"*","54","STITCH","220","918"
"*","55","STITCH","220","907"
"*","56","STITCH","223","920"
"*","57","STITCH","223","909"
"*","58","STITCH","227","922"
"*","59","STITCH","227","911"
"*","60","STITCH","227","912"
"*","61","STITCH","227","913"
"*","62","STITCH","227","912"
"*","63","STITCH","227","911"
"*","64","END","227","911"
