"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","65"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","87.0"
">","EXTENTS_TOP:","114.0"
">","EXTENTS_RIGHT:","731"
">","EXTENTS_BOTTOM:","914"
">","EXTENTS_WIDTH:","644.0"
">","EXTENTS_HEIGHT:","800.0"
">","COMMAND_STITCH","57"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","66"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4002"
"@","+X","3221"
"@","-Y","4002"
"@","-X","3221"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#621c48","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","87.0","114.0"
"*","1","JUMP","175.0","227.0"
"*","2","JUMP","262.0","341.0"
"*","3","JUMP","350.0","455.0"
"*","4","JUMP","437.0","568.0"
"*","5","JUMP","524.0","682.0"
"*","6","JUMP","612.0","795.0"
"*","7","STITCH","699","909"
"*","8","STITCH","700","909"
"*","9","STITCH","701","909"
"*","10","STITCH","700","909"
"*","11","STITCH","699","909"
"*","12","STITCH","714","909"
"*","13","STITCH","729","909"
"*","14","STITCH","731","909"
"*","15","STITCH","716","908"
"*","16","STITCH","699","908"
"*","17","STITCH","716","908"
"*","18","STITCH","731","908"
"*","19","STITCH","731","914"
"*","20","STITCH","731","902"
"*","21","STITCH","727","914"
"*","22","STITCH","727","902"
"*","23","STITCH","723","914"
"*","24","STITCH","723","902"
"*","25","STITCH","719","914"
"*","26","STITCH","719","902"
"*","27","STITCH","715","914"
"*","28","STITCH","715","902"
"*","29","STITCH","711","914"
"*","30","STITCH","711","902"
"*","31","STITCH","707","914"
"*","32","STITCH","707","902"
"*","33","STITCH","703","914"
"*","34","STITCH","703","902"
"*","35","STITCH","699","914"
"*","36","STITCH","699","902"
"*","37","STITCH","699","892"
"*","38","STITCH","714","892"
"*","39","STITCH","731","892"
"*","40","STITCH","714","892"
"*","41","STITCH","699","892"
"*","42","STITCH","699","898"
"*","43","STITCH","699","886"
"*","44","STITCH","703","898"
"*","45","STITCH","703","886"
"*","46","STITCH","707","898"
"*","47","STITCH","707","886"
"*","48","STITCH","711","898"
"*","49","STITCH","711","886"
"*","50","STITCH","715","898"
"*","51","STITCH","715","886"
"*","52","STITCH","719","898"
"*","53","STITCH","719","886"
"*","54","STITCH","723","898"
"*","55","STITCH","723","886"
"*","56","STITCH","727","898"
"*","57","STITCH","727","886"
"*","58","STITCH","731","898"
"*","59","STITCH","731","886"
"*","60","STITCH","731","887"
"*","61","STITCH","731","888"
"*","62","STITCH","731","887"
"*","63","STITCH","731","886"
"*","64","END","731","886"
