"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","65"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","36.0"
">","EXTENTS_TOP:","111.0"
">","EXTENTS_RIGHT:","319"
">","EXTENTS_BOTTOM:","922"
">","EXTENTS_WIDTH:","283.0"
">","EXTENTS_HEIGHT:","811.0"
">","COMMAND_STITCH","57"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","66"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4056"
"@","+X","1413"
"@","-Y","4056"
"@","-X","1413"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#a9afc5","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","36.0","111.0"
"*","1","JUMP","73.0","221.0"
"*","2","JUMP","109.0","332.0"
"*","3","JUMP","145.0","442.0"
"*","4","JUMP","181.0","553.0"
"*","5","JUMP","218.0","663.0"
"*","6","JUMP","254.0","774.0"
"*","7","STITCH","290","884"
"*","8","STITCH","290","884"
"*","9","STITCH","291","885"
"*","10","STITCH","290","884"
"*","11","STITCH","290","884"
"*","12","STITCH","303","891"
"*","13","STITCH","318","899"
"*","14","STITCH","303","891"
"*","15","STITCH","290","884"
"*","16","STITCH","290","878"
"*","17","STITCH","290","890"
"*","18","STITCH","293","880"
"*","19","STITCH","293","892"
"*","20","STITCH","297","882"
"*","21","STITCH","297","893"
"*","22","STITCH","300","884"
"*","23","STITCH","300","895"
"*","24","STITCH","304","886"
"*","25","STITCH","303","897"
"*","26","STITCH","307","888"
"*","27","STITCH","307","899"
"*","28","STITCH","311","890"
"*","29","STITCH","310","901"
"*","30","STITCH","314","892"
"*","31","STITCH","313","903"
"*","32","STITCH","319","894"
"*","33","STITCH","318","903"
"*","34","STITCH","318","901"
"*","35","STITCH","305","908"
"*","36","STITCH","292","916"
"*","37","STITCH","290","916"
"*","38","STITCH","303","909"
"*","39","STITCH","318","902"
"*","40","STITCH","303","909"
"*","41","STITCH","290","917"
"*","42","STITCH","290","922"
"*","43","STITCH","290","911"
"*","44","STITCH","293","920"
"*","45","STITCH","293","909"
"*","46","STITCH","297","918"
"*","47","STITCH","297","907"
"*","48","STITCH","300","916"
"*","49","STITCH","300","905"
"*","50","STITCH","304","914"
"*","51","STITCH","303","903"
"*","52","STITCH","307","912"
"*","53","STITCH","307","902"
"*","54","STITCH","311","910"
"*","55","STITCH","310","900"
"*","56","STITCH","314","909"
"*","57","STITCH","313","898"
"*","58","STITCH","319","906"
"*","59","STITCH","318","897"
"*","60","STITCH","318","898"
"*","61","STITCH","318","899"
"*","62","STITCH","318","898"
"*","63","STITCH","318","897"
"*","64","END","318","897"
