"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","215"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","11.0"
">","EXTENTS_TOP:","113.0"
">","EXTENTS_RIGHT:","147"
">","EXTENTS_BOTTOM:","937"
">","EXTENTS_WIDTH:","136.0"
">","EXTENTS_HEIGHT:","824.0"
">","COMMAND_STITCH","207"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","216"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4118"
"@","+X","682"
"@","-Y","4118"
"@","-X","682"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#a58008","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","11.0","113.0"
"*","1","JUMP","22.0","226.0"
"*","2","JUMP","33.0","339.0"
"*","3","JUMP","44.0","452.0"
"*","4","JUMP","54.0","565.0"
"*","5","JUMP","65.0","678.0"
"*","6","JUMP","76.0","791.0"
"*","7","STITCH","87","904"
"*","8","STITCH","87","904"
"*","9","STITCH","87","905"
"*","10","STITCH","87","904"
"*","11","STITCH","87","904"
"*","12","STITCH","91","918"
"*","13","STITCH","101","929"
"*","14","STITCH","115","932"
"*","15","STITCH","130","928"
"*","16","STITCH","133","926"
"*","17","STITCH","131","922"
"*","18","STITCH","136","929"
"*","19","STITCH","128","924"
"*","20","STITCH","133","932"
"*","21","STITCH","126","926"
"*","22","STITCH","129","934"
"*","23","STITCH","123","927"
"*","24","STITCH","125","935"
"*","25","STITCH","120","927"
"*","26","STITCH","121","936"
"*","27","STITCH","116","928"
"*","28","STITCH","117","937"
"*","29","STITCH","113","928"
"*","30","STITCH","113","936"
"*","31","STITCH","110","927"
"*","32","STITCH","108","936"
"*","33","STITCH","107","926"
"*","34","STITCH","104","935"
"*","35","STITCH","104","925"
"*","36","STITCH","100","933"
"*","37","STITCH","102","924"
"*","38","STITCH","97","931"
"*","39","STITCH","99","922"
"*","40","STITCH","93","928"
"*","41","STITCH","97","920"
"*","42","STITCH","90","925"
"*","43","STITCH","95","917"
"*","44","STITCH","88","922"
"*","45","STITCH","94","914"
"*","46","STITCH","86","918"
"*","47","STITCH","93","911"
"*","48","STITCH","84","914"
"*","49","STITCH","92","908"
"*","50","STITCH","83","910"
"*","51","STITCH","91","905"
"*","52","STITCH","83","906"
"*","53","STITCH","91","904"
"*","54","STITCH","82","904"
"*","55","STITCH","87","904"
"*","56","STITCH","90","890"
"*","57","STITCH","99","880"
"*","58","STITCH","112","876"
"*","59","STITCH","126","877"
"*","60","STITCH","137","885"
"*","61","STITCH","143","900"
"*","62","STITCH","137","885"
"*","63","STITCH","126","877"
"*","64","STITCH","112","876"
"*","65","STITCH","99","880"
"*","66","STITCH","90","890"
"*","67","STITCH","87","904"
"*","68","STITCH","91","904"
"*","69","STITCH","82","904"
"*","70","STITCH","92","901"
"*","71","STITCH","83","900"
"*","72","STITCH","92","898"
"*","73","STITCH","84","895"
"*","74","STITCH","93","895"
"*","75","STITCH","85","891"
"*","76","STITCH","95","892"
"*","77","STITCH","87","888"
"*","78","STITCH","96","889"
"*","79","STITCH","89","884"
"*","80","STITCH","98","887"
"*","81","STITCH","92","881"
"*","82","STITCH","101","885"
"*","83","STITCH","95","878"
"*","84","STITCH","103","883"
"*","85","STITCH","99","876"
"*","86","STITCH","106","882"
"*","87","STITCH","102","874"
"*","88","STITCH","109","881"
"*","89","STITCH","106","872"
"*","90","STITCH","112","880"
"*","91","STITCH","111","871"
"*","92","STITCH","115","880"
"*","93","STITCH","115","871"
"*","94","STITCH","118","880"
"*","95","STITCH","119","871"
"*","96","STITCH","121","880"
"*","97","STITCH","123","872"
"*","98","STITCH","124","881"
"*","99","STITCH","127","873"
"*","100","STITCH","127","882"
"*","101","STITCH","131","875"
"*","102","STITCH","130","884"
"*","103","STITCH","135","877"
"*","104","STITCH","132","886"
"*","105","STITCH","138","879"
"*","106","STITCH","134","888"
"*","107","STITCH","141","883"
"*","108","STITCH","136","890"
"*","109","STITCH","144","886"
"*","110","STITCH","137","893"
"*","111","STITCH","145","890"
"*","112","STITCH","138","896"
"*","113","STITCH","147","894"
"*","114","STITCH","138","900"
"*","115","STITCH","147","900"
"*","116","STITCH","143","900"
"*","117","STITCH","137","914"
"*","118","STITCH","127","917"
"*","119","STITCH","126","913"
"*","120","STITCH","124","913"
"*","121","STITCH","113","917"
"*","122","STITCH","104","908"
"*","123","STITCH","106","896"
"*","124","STITCH","117","891"
"*","125","STITCH","124","895"
"*","126","STITCH","117","891"
"*","127","STITCH","106","896"
"*","128","STITCH","104","908"
"*","129","STITCH","113","917"
"*","130","STITCH","124","913"
"*","131","STITCH","124","908"
"*","132","STITCH","125","918"
"*","133","STITCH","122","910"
"*","134","STITCH","122","920"
"*","135","STITCH","120","912"
"*","136","STITCH","117","921"
"*","137","STITCH","117","913"
"*","138","STITCH","113","921"
"*","139","STITCH","115","913"
"*","140","STITCH","109","920"
"*","141","STITCH","112","912"
"*","142","STITCH","105","918"
"*","143","STITCH","110","911"
"*","144","STITCH","102","915"
"*","145","STITCH","109","908"
"*","146","STITCH","100","911"
"*","147","STITCH","108","906"
"*","148","STITCH","99","907"
"*","149","STITCH","108","904"
"*","150","STITCH","99","903"
"*","151","STITCH","108","901"
"*","152","STITCH","99","898"
"*","153","STITCH","109","899"
"*","154","STITCH","101","894"
"*","155","STITCH","111","897"
"*","156","STITCH","103","891"
"*","157","STITCH","113","896"
"*","158","STITCH","107","888"
"*","159","STITCH","116","895"
"*","160","STITCH","111","887"
"*","161","STITCH","118","896"
"*","162","STITCH","116","887"
"*","163","STITCH","121","897"
"*","164","STITCH","120","887"
"*","165","STITCH","123","899"
"*","166","STITCH","125","890"
"*","167","STITCH","127","889"
"*","168","STITCH","127","904"
"*","169","STITCH","128","916"
"*","170","STITCH","138","913"
"*","171","STITCH","143","900"
"*","172","STITCH","138","913"
"*","173","STITCH","128","916"
"*","174","STITCH","127","904"
"*","175","STITCH","127","889"
"*","176","STITCH","132","889"
"*","177","STITCH","123","889"
"*","178","STITCH","132","893"
"*","179","STITCH","123","893"
"*","180","STITCH","132","897"
"*","181","STITCH","122","897"
"*","182","STITCH","132","901"
"*","183","STITCH","122","901"
"*","184","STITCH","132","903"
"*","185","STITCH","122","906"
"*","186","STITCH","132","906"
"*","187","STITCH","122","910"
"*","188","STITCH","131","908"
"*","189","STITCH","123","914"
"*","190","STITCH","131","911"
"*","191","STITCH","123","918"
"*","192","STITCH","132","912"
"*","193","STITCH","126","922"
"*","194","STITCH","133","912"
"*","195","STITCH","130","921"
"*","196","STITCH","134","911"
"*","197","STITCH","135","920"
"*","198","STITCH","135","910"
"*","199","STITCH","139","918"
"*","200","STITCH","137","908"
"*","201","STITCH","142","915"
"*","202","STITCH","137","906"
"*","203","STITCH","145","911"
"*","204","STITCH","138","904"
"*","205","STITCH","146","907"
"*","206","STITCH","138","901"
"*","207","STITCH","147","902"
"*","208","STITCH","138","900"
"*","209","STITCH","147","900"
"*","210","STITCH","147","900"
"*","211","STITCH","146","900"
"*","212","STITCH","147","900"
"*","213","STITCH","147","900"
"*","214","END","147","900"
