"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","112"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","22.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","134"
">","EXTENTS_BOTTOM:","460"
">","EXTENTS_WIDTH:","112.0"
">","EXTENTS_HEIGHT:","345.0"
">","COMMAND_STITCH","108"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","113"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1726"
"@","+X","558"
"@","-Y","1726"
"@","-X","558"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#803328","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","22.0","115.0"
"*","1","JUMP","44.0","230.0"
"*","2","JUMP","66.0","345.0"
"*","3","STITCH","88","460"
"*","4","STITCH","89","459"
"*","5","STITCH","89","459"
"*","6","STITCH","89","459"
"*","7","STITCH","88","460"
"*","8","STITCH","93","446"
"*","9","STITCH","99","432"
"*","10","STITCH","104","418"
"*","11","STITCH","107","409"
"*","12","STITCH","104","418"
"*","13","STITCH","99","432"
"*","14","STITCH","93","446"
"*","15","STITCH","88","460"
"*","16","STITCH","94","460"
"*","17","STITCH","83","460"
"*","18","STITCH","95","456"
"*","19","STITCH","84","456"
"*","20","STITCH","97","453"
"*","21","STITCH","85","453"
"*","22","STITCH","98","449"
"*","23","STITCH","87","449"
"*","24","STITCH","99","445"
"*","25","STITCH","88","445"
"*","26","STITCH","101","441"
"*","27","STITCH","90","441"
"*","28","STITCH","102","438"
"*","29","STITCH","91","438"
"*","30","STITCH","103","434"
"*","31","STITCH","93","434"
"*","32","STITCH","105","430"
"*","33","STITCH","94","430"
"*","34","STITCH","106","427"
"*","35","STITCH","95","426"
"*","36","STITCH","107","423"
"*","37","STITCH","97","423"
"*","38","STITCH","109","419"
"*","39","STITCH","98","419"
"*","40","STITCH","110","416"
"*","41","STITCH","100","415"
"*","42","STITCH","111","412"
"*","43","STITCH","101","411"
"*","44","STITCH","111","409"
"*","45","STITCH","102","409"
"*","46","STITCH","110","409"
"*","47","STITCH","114","423"
"*","48","STITCH","119","437"
"*","49","STITCH","121","441"
"*","50","STITCH","119","437"
"*","51","STITCH","114","423"
"*","52","STITCH","110","409"
"*","53","STITCH","114","409"
"*","54","STITCH","105","409"
"*","55","STITCH","116","412"
"*","56","STITCH","105","413"
"*","57","STITCH","117","416"
"*","58","STITCH","107","417"
"*","59","STITCH","118","420"
"*","60","STITCH","108","420"
"*","61","STITCH","120","424"
"*","62","STITCH","109","424"
"*","63","STITCH","121","427"
"*","64","STITCH","111","428"
"*","65","STITCH","123","431"
"*","66","STITCH","112","431"
"*","67","STITCH","124","435"
"*","68","STITCH","113","435"
"*","69","STITCH","126","439"
"*","70","STITCH","115","439"
"*","71","STITCH","127","441"
"*","72","STITCH","116","441"
"*","73","STITCH","118","444"
"*","74","STITCH","103","444"
"*","75","STITCH","98","444"
"*","76","STITCH","96","450"
"*","77","STITCH","99","439"
"*","78","STITCH","100","450"
"*","79","STITCH","102","438"
"*","80","STITCH","104","450"
"*","81","STITCH","105","438"
"*","82","STITCH","109","450"
"*","83","STITCH","109","438"
"*","84","STITCH","113","450"
"*","85","STITCH","112","438"
"*","86","STITCH","117","450"
"*","87","STITCH","115","438"
"*","88","STITCH","120","450"
"*","89","STITCH","117","439"
"*","90","STITCH","121","441"
"*","91","STITCH","126","455"
"*","92","STITCH","128","460"
"*","93","STITCH","126","455"
"*","94","STITCH","121","441"
"*","95","STITCH","116","441"
"*","96","STITCH","127","441"
"*","97","STITCH","117","445"
"*","98","STITCH","128","445"
"*","99","STITCH","118","449"
"*","100","STITCH","129","449"
"*","101","STITCH","120","452"
"*","102","STITCH","131","453"
"*","103","STITCH","121","456"
"*","104","STITCH","132","456"
"*","105","STITCH","122","460"
"*","106","STITCH","134","460"
"*","107","STITCH","133","460"
"*","108","STITCH","132","460"
"*","109","STITCH","133","460"
"*","110","STITCH","134","460"
"*","111","END","134","460"
