"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","90"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","63.0"
">","EXTENTS_TOP:","109.0"
">","EXTENTS_RIGHT:","291"
">","EXTENTS_BOTTOM:","463"
">","EXTENTS_WIDTH:","228.0"
">","EXTENTS_HEIGHT:","354.0"
">","COMMAND_STITCH","86"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","91"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1770"
"@","+X","1139"
"@","-Y","1770"
"@","-X","1139"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#e36a35","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","63.0","109.0"
"*","1","JUMP","127.0","218.0"
"*","2","JUMP","190.0","326.0"
"*","3","STITCH","253","435"
"*","4","STITCH","253","434"
"*","5","STITCH","253","433"
"*","6","STITCH","253","434"
"*","7","STITCH","253","435"
"*","8","STITCH","256","421"
"*","9","STITCH","268","412"
"*","10","STITCH","283","412"
"*","11","STITCH","290","416"
"*","12","STITCH","291","411"
"*","13","STITCH","291","422"
"*","14","STITCH","287","409"
"*","15","STITCH","288","420"
"*","16","STITCH","284","407"
"*","17","STITCH","284","418"
"*","18","STITCH","280","406"
"*","19","STITCH","280","416"
"*","20","STITCH","276","406"
"*","21","STITCH","277","416"
"*","22","STITCH","272","406"
"*","23","STITCH","274","416"
"*","24","STITCH","267","407"
"*","25","STITCH","271","416"
"*","26","STITCH","263","408"
"*","27","STITCH","269","416"
"*","28","STITCH","259","410"
"*","29","STITCH","266","418"
"*","30","STITCH","256","412"
"*","31","STITCH","264","419"
"*","32","STITCH","253","416"
"*","33","STITCH","262","421"
"*","34","STITCH","251","419"
"*","35","STITCH","261","424"
"*","36","STITCH","249","423"
"*","37","STITCH","260","427"
"*","38","STITCH","248","427"
"*","39","STITCH","259","429"
"*","40","STITCH","248","431"
"*","41","STITCH","259","432"
"*","42","STITCH","247","434"
"*","43","STITCH","259","434"
"*","44","STITCH","253","434"
"*","45","STITCH","256","447"
"*","46","STITCH","265","456"
"*","47","STITCH","279","458"
"*","48","STITCH","291","453"
"*","49","STITCH","279","458"
"*","50","STITCH","265","456"
"*","51","STITCH","256","447"
"*","52","STITCH","253","434"
"*","53","STITCH","247","434"
"*","54","STITCH","259","434"
"*","55","STITCH","248","439"
"*","56","STITCH","259","437"
"*","57","STITCH","248","443"
"*","58","STITCH","259","440"
"*","59","STITCH","249","447"
"*","60","STITCH","260","443"
"*","61","STITCH","251","451"
"*","62","STITCH","261","446"
"*","63","STITCH","254","454"
"*","64","STITCH","262","448"
"*","65","STITCH","257","457"
"*","66","STITCH","264","450"
"*","67","STITCH","260","460"
"*","68","STITCH","266","452"
"*","69","STITCH","264","461"
"*","70","STITCH","269","453"
"*","71","STITCH","268","463"
"*","72","STITCH","271","453"
"*","73","STITCH","273","463"
"*","74","STITCH","274","453"
"*","75","STITCH","277","463"
"*","76","STITCH","278","453"
"*","77","STITCH","281","462"
"*","78","STITCH","281","452"
"*","79","STITCH","285","461"
"*","80","STITCH","285","451"
"*","81","STITCH","288","460"
"*","82","STITCH","288","449"
"*","83","STITCH","291","458"
"*","84","STITCH","291","447"
"*","85","STITCH","291","448"
"*","86","STITCH","291","448"
"*","87","STITCH","291","448"
"*","88","STITCH","291","447"
"*","89","END","291","447"
