"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","120"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","85.0"
">","EXTENTS_TOP:","103.0"
">","EXTENTS_RIGHT:","380"
">","EXTENTS_BOTTOM:","462"
">","EXTENTS_WIDTH:","295.0"
">","EXTENTS_HEIGHT:","359.0"
">","COMMAND_STITCH","116"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","121"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1796"
"@","+X","1473"
"@","-Y","1796"
"@","-X","1473"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#285204","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","85.0","103.0"
"*","1","JUMP","171.0","206.0"
"*","2","JUMP","256.0","309.0"
"*","3","STITCH","341","412"
"*","4","STITCH","342","412"
"*","5","STITCH","343","412"
"*","6","STITCH","342","412"
"*","7","STITCH","341","412"
"*","8","STITCH","355","412"
"*","9","STITCH","368","417"
"*","10","STITCH","374","428"
"*","11","STITCH","373","442"
"*","12","STITCH","367","453"
"*","13","STITCH","355","457"
"*","14","STITCH","341","457"
"*","15","STITCH","355","457"
"*","16","STITCH","367","453"
"*","17","STITCH","373","442"
"*","18","STITCH","374","428"
"*","19","STITCH","368","417"
"*","20","STITCH","355","412"
"*","21","STITCH","341","412"
"*","22","STITCH","341","407"
"*","23","STITCH","341","416"
"*","24","STITCH","345","407"
"*","25","STITCH","346","416"
"*","26","STITCH","348","407"
"*","27","STITCH","350","416"
"*","28","STITCH","352","407"
"*","29","STITCH","352","417"
"*","30","STITCH","357","407"
"*","31","STITCH","355","417"
"*","32","STITCH","361","408"
"*","33","STITCH","357","417"
"*","34","STITCH","365","410"
"*","35","STITCH","360","418"
"*","36","STITCH","369","412"
"*","37","STITCH","362","419"
"*","38","STITCH","373","414"
"*","39","STITCH","364","421"
"*","40","STITCH","375","417"
"*","41","STITCH","366","423"
"*","42","STITCH","377","421"
"*","43","STITCH","367","426"
"*","44","STITCH","379","425"
"*","45","STITCH","368","428"
"*","46","STITCH","379","429"
"*","47","STITCH","368","431"
"*","48","STITCH","380","434"
"*","49","STITCH","368","434"
"*","50","STITCH","379","438"
"*","51","STITCH","368","437"
"*","52","STITCH","379","442"
"*","53","STITCH","368","439"
"*","54","STITCH","378","446"
"*","55","STITCH","367","442"
"*","56","STITCH","376","450"
"*","57","STITCH","366","445"
"*","58","STITCH","374","453"
"*","59","STITCH","365","447"
"*","60","STITCH","371","456"
"*","61","STITCH","363","449"
"*","62","STITCH","367","459"
"*","63","STITCH","361","450"
"*","64","STITCH","363","460"
"*","65","STITCH","358","451"
"*","66","STITCH","359","461"
"*","67","STITCH","356","452"
"*","68","STITCH","354","462"
"*","69","STITCH","354","452"
"*","70","STITCH","350","462"
"*","71","STITCH","351","452"
"*","72","STITCH","346","462"
"*","73","STITCH","347","452"
"*","74","STITCH","343","462"
"*","75","STITCH","343","452"
"*","76","STITCH","341","462"
"*","77","STITCH","341","452"
"*","78","STITCH","338","459"
"*","79","STITCH","338","444"
"*","80","STITCH","338","429"
"*","81","STITCH","338","414"
"*","82","STITCH","338","409"
"*","83","STITCH","338","414"
"*","84","STITCH","338","429"
"*","85","STITCH","338","444"
"*","86","STITCH","338","459"
"*","87","STITCH","333","459"
"*","88","STITCH","343","459"
"*","89","STITCH","333","455"
"*","90","STITCH","343","455"
"*","91","STITCH","333","451"
"*","92","STITCH","343","451"
"*","93","STITCH","333","447"
"*","94","STITCH","343","447"
"*","95","STITCH","333","443"
"*","96","STITCH","343","443"
"*","97","STITCH","333","439"
"*","98","STITCH","343","439"
"*","99","STITCH","333","435"
"*","100","STITCH","343","435"
"*","101","STITCH","333","431"
"*","102","STITCH","343","431"
"*","103","STITCH","333","427"
"*","104","STITCH","343","427"
"*","105","STITCH","333","423"
"*","106","STITCH","343","423"
"*","107","STITCH","333","419"
"*","108","STITCH","343","419"
"*","109","STITCH","333","415"
"*","110","STITCH","343","415"
"*","111","STITCH","333","411"
"*","112","STITCH","343","411"
"*","113","STITCH","333","409"
"*","114","STITCH","343","410"
"*","115","STITCH","343","410"
"*","116","STITCH","342","410"
"*","117","STITCH","343","410"
"*","118","STITCH","343","410"
"*","119","END","343","410"
