"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","99"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","107.0"
">","EXTENTS_TOP:","114.0"
">","EXTENTS_RIGHT:","455"
">","EXTENTS_BOTTOM:","462"
">","EXTENTS_WIDTH:","348.0"
">","EXTENTS_HEIGHT:","348.0"
">","COMMAND_STITCH","95"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","100"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1741"
"@","+X","1739"
"@","-Y","1741"
"@","-X","1739"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#e9ce74","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","107.0","114.0"
"*","1","JUMP","215.0","229.0"
"*","2","JUMP","322.0","343.0"
"*","3","STITCH","429","457"
"*","4","STITCH","430","457"
"*","5","STITCH","430","457"
"*","6","STITCH","430","457"
"*","7","STITCH","429","457"
"*","8","STITCH","444","457"
"*","9","STITCH","454","457"
"*","10","STITCH","455","451"
"*","11","STITCH","455","462"
"*","12","STITCH","451","451"
"*","13","STITCH","451","462"
"*","14","STITCH","447","451"
"*","15","STITCH","447","462"
"*","16","STITCH","443","451"
"*","17","STITCH","443","462"
"*","18","STITCH","439","451"
"*","19","STITCH","439","462"
"*","20","STITCH","435","451"
"*","21","STITCH","435","462"
"*","22","STITCH","431","451"
"*","23","STITCH","431","462"
"*","24","STITCH","429","451"
"*","25","STITCH","429","462"
"*","26","STITCH","425","459"
"*","27","STITCH","425","444"
"*","28","STITCH","425","433"
"*","29","STITCH","429","433"
"*","30","STITCH","444","433"
"*","31","STITCH","453","433"
"*","32","STITCH","453","427"
"*","33","STITCH","453","438"
"*","34","STITCH","449","427"
"*","35","STITCH","449","438"
"*","36","STITCH","445","427"
"*","37","STITCH","445","438"
"*","38","STITCH","441","427"
"*","39","STITCH","441","438"
"*","40","STITCH","437","427"
"*","41","STITCH","437","438"
"*","42","STITCH","433","427"
"*","43","STITCH","433","438"
"*","44","STITCH","429","427"
"*","45","STITCH","429","438"
"*","46","STITCH","425","433"
"*","47","STITCH","425","418"
"*","48","STITCH","425","410"
"*","49","STITCH","429","412"
"*","50","STITCH","444","412"
"*","51","STITCH","454","412"
"*","52","STITCH","454","407"
"*","53","STITCH","454","418"
"*","54","STITCH","450","407"
"*","55","STITCH","450","418"
"*","56","STITCH","446","407"
"*","57","STITCH","446","418"
"*","58","STITCH","442","407"
"*","59","STITCH","442","418"
"*","60","STITCH","438","407"
"*","61","STITCH","438","418"
"*","62","STITCH","434","407"
"*","63","STITCH","434","418"
"*","64","STITCH","430","407"
"*","65","STITCH","430","418"
"*","66","STITCH","429","407"
"*","67","STITCH","429","418"
"*","68","STITCH","420","411"
"*","69","STITCH","431","411"
"*","70","STITCH","420","415"
"*","71","STITCH","431","415"
"*","72","STITCH","420","419"
"*","73","STITCH","431","419"
"*","74","STITCH","420","423"
"*","75","STITCH","431","423"
"*","76","STITCH","420","427"
"*","77","STITCH","431","427"
"*","78","STITCH","420","431"
"*","79","STITCH","431","431"
"*","80","STITCH","420","435"
"*","81","STITCH","431","435"
"*","82","STITCH","420","439"
"*","83","STITCH","431","439"
"*","84","STITCH","420","443"
"*","85","STITCH","431","443"
"*","86","STITCH","420","447"
"*","87","STITCH","431","447"
"*","88","STITCH","420","451"
"*","89","STITCH","431","451"
"*","90","STITCH","420","455"
"*","91","STITCH","431","455"
"*","92","STITCH","420","458"
"*","93","STITCH","431","458"
"*","94","STITCH","430","458"
"*","95","STITCH","429","458"
"*","96","STITCH","430","458"
"*","97","STITCH","431","458"
"*","98","END","431","458"
