"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","77"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","101.0"
">","EXTENTS_TOP:","92.0"
">","EXTENTS_RIGHT:","529"
">","EXTENTS_BOTTOM:","460"
">","EXTENTS_WIDTH:","428.0"
">","EXTENTS_HEIGHT:","368.0"
">","COMMAND_STITCH","72"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","78"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1838"
"@","+X","2139"
"@","-Y","1838"
"@","-X","2139"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#cb827f","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","101.0","92.0"
"*","1","JUMP","201.0","184.0"
"*","2","JUMP","302.0","275.0"
"*","3","JUMP","402.0","367.0"
"*","4","STITCH","503","459"
"*","5","STITCH","503","458"
"*","6","STITCH","503","458"
"*","7","STITCH","503","458"
"*","8","STITCH","503","459"
"*","9","STITCH","503","444"
"*","10","STITCH","503","433"
"*","11","STITCH","507","433"
"*","12","STITCH","522","433"
"*","13","STITCH","527","433"
"*","14","STITCH","527","427"
"*","15","STITCH","527","438"
"*","16","STITCH","523","427"
"*","17","STITCH","523","438"
"*","18","STITCH","519","427"
"*","19","STITCH","519","438"
"*","20","STITCH","515","427"
"*","21","STITCH","515","438"
"*","22","STITCH","511","427"
"*","23","STITCH","511","438"
"*","24","STITCH","506","427"
"*","25","STITCH","506","438"
"*","26","STITCH","503","433"
"*","27","STITCH","503","418"
"*","28","STITCH","503","410"
"*","29","STITCH","506","412"
"*","30","STITCH","521","412"
"*","31","STITCH","528","412"
"*","32","STITCH","529","407"
"*","33","STITCH","529","418"
"*","34","STITCH","525","407"
"*","35","STITCH","525","418"
"*","36","STITCH","521","407"
"*","37","STITCH","521","418"
"*","38","STITCH","517","407"
"*","39","STITCH","517","418"
"*","40","STITCH","513","407"
"*","41","STITCH","513","418"
"*","42","STITCH","509","407"
"*","43","STITCH","509","418"
"*","44","STITCH","506","407"
"*","45","STITCH","506","418"
"*","46","STITCH","497","411"
"*","47","STITCH","508","411"
"*","48","STITCH","497","415"
"*","49","STITCH","508","415"
"*","50","STITCH","497","419"
"*","51","STITCH","508","419"
"*","52","STITCH","497","423"
"*","53","STITCH","508","423"
"*","54","STITCH","497","427"
"*","55","STITCH","508","427"
"*","56","STITCH","497","431"
"*","57","STITCH","508","431"
"*","58","STITCH","497","435"
"*","59","STITCH","508","435"
"*","60","STITCH","497","439"
"*","61","STITCH","508","439"
"*","62","STITCH","497","443"
"*","63","STITCH","508","443"
"*","64","STITCH","497","447"
"*","65","STITCH","508","447"
"*","66","STITCH","497","451"
"*","67","STITCH","508","451"
"*","68","STITCH","497","455"
"*","69","STITCH","508","455"
"*","70","STITCH","497","460"
"*","71","STITCH","508","459"
"*","72","STITCH","507","459"
"*","73","STITCH","507","459"
"*","74","STITCH","507","459"
"*","75","STITCH","508","459"
"*","76","END","508","459"
