"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","117"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","115.0"
">","EXTENTS_TOP:","87.0"
">","EXTENTS_RIGHT:","617"
">","EXTENTS_BOTTOM:","463"
">","EXTENTS_WIDTH:","502.0"
">","EXTENTS_HEIGHT:","376.0"
">","COMMAND_STITCH","112"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","118"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1880"
"@","+X","2509"
"@","-Y","1880"
"@","-X","2509"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#66c4ad","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","115.0","87.0"
"*","1","JUMP","230.0","174.0"
"*","2","JUMP","344.0","260.0"
"*","3","JUMP","459.0","347.0"
"*","4","STITCH","574","434"
"*","5","STITCH","574","433"
"*","6","STITCH","574","433"
"*","7","STITCH","574","433"
"*","8","STITCH","574","434"
"*","9","STITCH","577","420"
"*","10","STITCH","589","411"
"*","11","STITCH","604","412"
"*","12","STITCH","612","416"
"*","13","STITCH","614","411"
"*","14","STITCH","614","422"
"*","15","STITCH","610","409"
"*","16","STITCH","610","420"
"*","17","STITCH","607","408"
"*","18","STITCH","607","418"
"*","19","STITCH","603","407"
"*","20","STITCH","603","417"
"*","21","STITCH","599","406"
"*","22","STITCH","599","416"
"*","23","STITCH","594","406"
"*","24","STITCH","597","415"
"*","25","STITCH","590","406"
"*","26","STITCH","594","416"
"*","27","STITCH","586","407"
"*","28","STITCH","591","416"
"*","29","STITCH","582","409"
"*","30","STITCH","588","417"
"*","31","STITCH","578","411"
"*","32","STITCH","586","418"
"*","33","STITCH","575","414"
"*","34","STITCH","584","420"
"*","35","STITCH","572","417"
"*","36","STITCH","582","423"
"*","37","STITCH","571","421"
"*","38","STITCH","581","425"
"*","39","STITCH","569","425"
"*","40","STITCH","580","428"
"*","41","STITCH","568","429"
"*","42","STITCH","580","431"
"*","43","STITCH","568","434"
"*","44","STITCH","579","434"
"*","45","STITCH","574","434"
"*","46","STITCH","576","447"
"*","47","STITCH","585","456"
"*","48","STITCH","599","458"
"*","49","STITCH","606","457"
"*","50","STITCH","599","458"
"*","51","STITCH","585","456"
"*","52","STITCH","576","447"
"*","53","STITCH","574","434"
"*","54","STITCH","568","434"
"*","55","STITCH","579","434"
"*","56","STITCH","568","439"
"*","57","STITCH","579","437"
"*","58","STITCH","569","443"
"*","59","STITCH","580","440"
"*","60","STITCH","570","447"
"*","61","STITCH","580","443"
"*","62","STITCH","572","451"
"*","63","STITCH","581","446"
"*","64","STITCH","575","455"
"*","65","STITCH","583","448"
"*","66","STITCH","578","458"
"*","67","STITCH","585","450"
"*","68","STITCH","582","460"
"*","69","STITCH","587","451"
"*","70","STITCH","586","462"
"*","71","STITCH","590","452"
"*","72","STITCH","590","463"
"*","73","STITCH","593","453"
"*","74","STITCH","594","463"
"*","75","STITCH","596","453"
"*","76","STITCH","599","463"
"*","77","STITCH","599","453"
"*","78","STITCH","603","462"
"*","79","STITCH","602","453"
"*","80","STITCH","607","461"
"*","81","STITCH","606","452"
"*","82","STITCH","611","458"
"*","83","STITCH","611","439"
"*","84","STITCH","611","458"
"*","85","STITCH","617","458"
"*","86","STITCH","606","457"
"*","87","STITCH","617","454"
"*","88","STITCH","606","454"
"*","89","STITCH","617","450"
"*","90","STITCH","606","450"
"*","91","STITCH","617","446"
"*","92","STITCH","606","446"
"*","93","STITCH","617","442"
"*","94","STITCH","606","442"
"*","95","STITCH","617","439"
"*","96","STITCH","606","439"
"*","97","STITCH","613","435"
"*","98","STITCH","598","435"
"*","99","STITCH","597","435"
"*","100","STITCH","597","430"
"*","101","STITCH","597","441"
"*","102","STITCH","601","430"
"*","103","STITCH","601","441"
"*","104","STITCH","604","430"
"*","105","STITCH","605","441"
"*","106","STITCH","608","430"
"*","107","STITCH","609","441"
"*","108","STITCH","612","430"
"*","109","STITCH","613","441"
"*","110","STITCH","614","430"
"*","111","STITCH","614","441"
"*","112","STITCH","614","440"
"*","113","STITCH","614","439"
"*","114","STITCH","614","440"
"*","115","STITCH","614","441"
"*","116","END","614","441"
