"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","112"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","111.0"
">","EXTENTS_TOP:","68.0"
">","EXTENTS_RIGHT:","702"
">","EXTENTS_BOTTOM:","460"
">","EXTENTS_WIDTH:","591.0"
">","EXTENTS_HEIGHT:","392.0"
">","COMMAND_STITCH","106"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","113"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1961"
"@","+X","2954"
"@","-Y","1961"
"@","-X","2954"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#44dbf8","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","111.0","68.0"
"*","1","JUMP","221.0","136.0"
"*","2","JUMP","332.0","205.0"
"*","3","JUMP","443.0","273.0"
"*","4","JUMP","553.0","341.0"
"*","5","STITCH","664","409"
"*","6","STITCH","664","410"
"*","7","STITCH","664","410"
"*","8","STITCH","664","410"
"*","9","STITCH","664","409"
"*","10","STITCH","664","424"
"*","11","STITCH","664","430"
"*","12","STITCH","664","424"
"*","13","STITCH","664","409"
"*","14","STITCH","670","409"
"*","15","STITCH","659","409"
"*","16","STITCH","670","413"
"*","17","STITCH","659","413"
"*","18","STITCH","670","417"
"*","19","STITCH","659","417"
"*","20","STITCH","670","421"
"*","21","STITCH","659","421"
"*","22","STITCH","670","425"
"*","23","STITCH","659","425"
"*","24","STITCH","670","430"
"*","25","STITCH","659","430"
"*","26","STITCH","664","430"
"*","27","STITCH","664","445"
"*","28","STITCH","664","460"
"*","29","STITCH","659","460"
"*","30","STITCH","670","460"
"*","31","STITCH","659","456"
"*","32","STITCH","670","456"
"*","33","STITCH","659","452"
"*","34","STITCH","670","452"
"*","35","STITCH","659","448"
"*","36","STITCH","670","448"
"*","37","STITCH","659","444"
"*","38","STITCH","670","444"
"*","39","STITCH","659","440"
"*","40","STITCH","670","440"
"*","41","STITCH","659","436"
"*","42","STITCH","670","436"
"*","43","STITCH","659","432"
"*","44","STITCH","670","432"
"*","45","STITCH","659","430"
"*","46","STITCH","670","430"
"*","47","STITCH","668","433"
"*","48","STITCH","683","433"
"*","49","STITCH","693","433"
"*","50","STITCH","683","433"
"*","51","STITCH","668","433"
"*","52","STITCH","668","438"
"*","53","STITCH","668","428"
"*","54","STITCH","672","438"
"*","55","STITCH","672","428"
"*","56","STITCH","676","438"
"*","57","STITCH","676","428"
"*","58","STITCH","680","438"
"*","59","STITCH","680","428"
"*","60","STITCH","684","438"
"*","61","STITCH","684","428"
"*","62","STITCH","688","438"
"*","63","STITCH","688","428"
"*","64","STITCH","692","438"
"*","65","STITCH","692","428"
"*","66","STITCH","693","438"
"*","67","STITCH","693","428"
"*","68","STITCH","696","430"
"*","69","STITCH","696","415"
"*","70","STITCH","696","409"
"*","71","STITCH","696","424"
"*","72","STITCH","696","439"
"*","73","STITCH","696","454"
"*","74","STITCH","696","460"
"*","75","STITCH","696","454"
"*","76","STITCH","696","439"
"*","77","STITCH","696","424"
"*","78","STITCH","696","409"
"*","79","STITCH","691","409"
"*","80","STITCH","702","409"
"*","81","STITCH","691","413"
"*","82","STITCH","702","413"
"*","83","STITCH","691","417"
"*","84","STITCH","702","417"
"*","85","STITCH","691","421"
"*","86","STITCH","702","421"
"*","87","STITCH","691","425"
"*","88","STITCH","702","425"
"*","89","STITCH","691","429"
"*","90","STITCH","702","429"
"*","91","STITCH","691","433"
"*","92","STITCH","702","433"
"*","93","STITCH","691","437"
"*","94","STITCH","702","437"
"*","95","STITCH","691","441"
"*","96","STITCH","702","441"
"*","97","STITCH","691","445"
"*","98","STITCH","702","445"
"*","99","STITCH","691","449"
"*","100","STITCH","702","449"
"*","101","STITCH","691","453"
"*","102","STITCH","702","453"
"*","103","STITCH","691","457"
"*","104","STITCH","702","457"
"*","105","STITCH","691","460"
"*","106","STITCH","702","460"
"*","107","STITCH","701","460"
"*","108","STITCH","700","460"
"*","109","STITCH","701","460"
"*","110","STITCH","702","460"
"*","111","END","702","460"
