"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","52"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","107.0"
">","EXTENTS_TOP:","58.0"
">","EXTENTS_RIGHT:","756"
">","EXTENTS_BOTTOM:","460"
">","EXTENTS_WIDTH:","649.0"
">","EXTENTS_HEIGHT:","402.0"
">","COMMAND_STITCH","45"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","53"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2011"
"@","+X","3243"
"@","-Y","2011"
"@","-X","3243"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#8d69b1","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","107.0","58.0"
"*","1","JUMP","214.0","117.0"
"*","2","JUMP","321.0","175.0"
"*","3","JUMP","429.0","234.0"
"*","4","JUMP","536.0","292.0"
"*","5","JUMP","643.0","351.0"
"*","6","STITCH","750","409"
"*","7","STITCH","750","410"
"*","8","STITCH","750","410"
"*","9","STITCH","750","410"
"*","10","STITCH","750","409"
"*","11","STITCH","750","424"
"*","12","STITCH","750","439"
"*","13","STITCH","750","454"
"*","14","STITCH","750","460"
"*","15","STITCH","750","454"
"*","16","STITCH","750","439"
"*","17","STITCH","750","424"
"*","18","STITCH","750","409"
"*","19","STITCH","756","409"
"*","20","STITCH","745","409"
"*","21","STITCH","756","413"
"*","22","STITCH","745","413"
"*","23","STITCH","756","417"
"*","24","STITCH","745","417"
"*","25","STITCH","756","421"
"*","26","STITCH","745","421"
"*","27","STITCH","756","425"
"*","28","STITCH","745","425"
"*","29","STITCH","756","429"
"*","30","STITCH","745","429"
"*","31","STITCH","756","433"
"*","32","STITCH","745","433"
"*","33","STITCH","756","437"
"*","34","STITCH","745","437"
"*","35","STITCH","756","441"
"*","36","STITCH","745","441"
"*","37","STITCH","756","445"
"*","38","STITCH","745","445"
"*","39","STITCH","756","449"
"*","40","STITCH","745","449"
"*","41","STITCH","756","453"
"*","42","STITCH","745","453"
"*","43","STITCH","756","457"
"*","44","STITCH","745","457"
"*","45","STITCH","756","460"
"*","46","STITCH","745","460"
"*","47","STITCH","745","460"
"*","48","STITCH","746","460"
"*","49","STITCH","745","460"
"*","50","STITCH","745","460"
"*","51","END","745","460"
