"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","72"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","14.0"
">","EXTENTS_TOP:","111.0"
">","EXTENTS_RIGHT:","100"
">","EXTENTS_BOTTOM:","578"
">","EXTENTS_WIDTH:","86.0"
">","EXTENTS_HEIGHT:","467.0"
">","COMMAND_STITCH","67"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","73"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2335"
"@","+X","430"
"@","-Y","2335"
"@","-X","430"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#15f0c1","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","14.0","111.0"
"*","1","JUMP","29.0","223.0"
"*","2","JUMP","43.0","334.0"
"*","3","JUMP","58.0","446.0"
"*","4","STITCH","72","557"
"*","5","STITCH","72","558"
"*","6","STITCH","72","559"
"*","7","STITCH","72","558"
"*","8","STITCH","72","557"
"*","9","STITCH","75","570"
"*","10","STITCH","85","573"
"*","11","STITCH","94","565"
"*","12","STITCH","94","551"
"*","13","STITCH","94","537"
"*","14","STITCH","94","524"
"*","15","STITCH","94","537"
"*","16","STITCH","94","551"
"*","17","STITCH","94","565"
"*","18","STITCH","85","573"
"*","19","STITCH","75","570"
"*","20","STITCH","72","557"
"*","21","STITCH","67","557"
"*","22","STITCH","78","557"
"*","23","STITCH","67","562"
"*","24","STITCH","78","560"
"*","25","STITCH","68","566"
"*","26","STITCH","78","562"
"*","27","STITCH","69","570"
"*","28","STITCH","78","565"
"*","29","STITCH","71","574"
"*","30","STITCH","79","566"
"*","31","STITCH","75","576"
"*","32","STITCH","80","567"
"*","33","STITCH","79","578"
"*","34","STITCH","82","568"
"*","35","STITCH","84","578"
"*","36","STITCH","83","568"
"*","37","STITCH","88","577"
"*","38","STITCH","85","568"
"*","39","STITCH","93","576"
"*","40","STITCH","86","567"
"*","41","STITCH","96","573"
"*","42","STITCH","88","566"
"*","43","STITCH","98","569"
"*","44","STITCH","89","564"
"*","45","STITCH","99","565"
"*","46","STITCH","89","561"
"*","47","STITCH","100","560"
"*","48","STITCH","89","559"
"*","49","STITCH","100","556"
"*","50","STITCH","89","555"
"*","51","STITCH","100","552"
"*","52","STITCH","89","551"
"*","53","STITCH","100","548"
"*","54","STITCH","89","547"
"*","55","STITCH","100","544"
"*","56","STITCH","89","544"
"*","57","STITCH","100","540"
"*","58","STITCH","89","540"
"*","59","STITCH","100","536"
"*","60","STITCH","89","536"
"*","61","STITCH","100","532"
"*","62","STITCH","89","532"
"*","63","STITCH","100","528"
"*","64","STITCH","89","528"
"*","65","STITCH","100","524"
"*","66","STITCH","89","524"
"*","67","STITCH","90","524"
"*","68","STITCH","91","524"
"*","69","STITCH","90","524"
"*","70","STITCH","89","524"
"*","71","END","89","524"
