"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","103"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","30.0"
">","EXTENTS_TOP:","105.0"
">","EXTENTS_RIGHT:","188"
">","EXTENTS_BOTTOM:","575"
">","EXTENTS_WIDTH:","158.0"
">","EXTENTS_HEIGHT:","470.0"
">","COMMAND_STITCH","98"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","104"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2350"
"@","+X","788"
"@","-Y","2350"
"@","-X","788"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#1b3bf4","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","30.0","105.0"
"*","1","JUMP","59.0","210.0"
"*","2","JUMP","89.0","314.0"
"*","3","JUMP","118.0","419.0"
"*","4","STITCH","148","524"
"*","5","STITCH","148","524"
"*","6","STITCH","148","525"
"*","7","STITCH","148","524"
"*","8","STITCH","148","524"
"*","9","STITCH","148","539"
"*","10","STITCH","148","547"
"*","11","STITCH","148","539"
"*","12","STITCH","148","524"
"*","13","STITCH","154","524"
"*","14","STITCH","143","524"
"*","15","STITCH","154","528"
"*","16","STITCH","143","528"
"*","17","STITCH","154","532"
"*","18","STITCH","143","532"
"*","19","STITCH","154","536"
"*","20","STITCH","143","536"
"*","21","STITCH","154","540"
"*","22","STITCH","143","540"
"*","23","STITCH","154","544"
"*","24","STITCH","143","544"
"*","25","STITCH","154","547"
"*","26","STITCH","143","547"
"*","27","STITCH","148","547"
"*","28","STITCH","148","562"
"*","29","STITCH","148","575"
"*","30","STITCH","143","575"
"*","31","STITCH","154","575"
"*","32","STITCH","143","571"
"*","33","STITCH","154","571"
"*","34","STITCH","143","567"
"*","35","STITCH","154","567"
"*","36","STITCH","143","563"
"*","37","STITCH","154","563"
"*","38","STITCH","143","559"
"*","39","STITCH","154","559"
"*","40","STITCH","143","555"
"*","41","STITCH","154","555"
"*","42","STITCH","143","551"
"*","43","STITCH","154","551"
"*","44","STITCH","143","547"
"*","45","STITCH","154","547"
"*","46","STITCH","165","537"
"*","47","STITCH","176","527"
"*","48","STITCH","179","524"
"*","49","STITCH","173","524"
"*","50","STITCH","186","524"
"*","51","STITCH","170","526"
"*","52","STITCH","183","526"
"*","53","STITCH","167","529"
"*","54","STITCH","180","529"
"*","55","STITCH","164","532"
"*","56","STITCH","177","532"
"*","57","STITCH","161","534"
"*","58","STITCH","174","535"
"*","59","STITCH","159","537"
"*","60","STITCH","171","537"
"*","61","STITCH","156","539"
"*","62","STITCH","168","540"
"*","63","STITCH","153","542"
"*","64","STITCH","165","543"
"*","65","STITCH","150","545"
"*","66","STITCH","162","546"
"*","67","STITCH","150","547"
"*","68","STITCH","160","548"
"*","69","STITCH","155","548"
"*","70","STITCH","164","558"
"*","71","STITCH","175","569"
"*","72","STITCH","181","575"
"*","73","STITCH","175","569"
"*","74","STITCH","164","558"
"*","75","STITCH","155","548"
"*","76","STITCH","150","548"
"*","77","STITCH","160","547"
"*","78","STITCH","151","551"
"*","79","STITCH","163","550"
"*","80","STITCH","153","554"
"*","81","STITCH","166","553"
"*","82","STITCH","156","557"
"*","83","STITCH","169","556"
"*","84","STITCH","159","559"
"*","85","STITCH","172","559"
"*","86","STITCH","161","562"
"*","87","STITCH","174","562"
"*","88","STITCH","164","565"
"*","89","STITCH","177","565"
"*","90","STITCH","167","567"
"*","91","STITCH","180","567"
"*","92","STITCH","170","570"
"*","93","STITCH","183","570"
"*","94","STITCH","173","573"
"*","95","STITCH","186","573"
"*","96","STITCH","174","575"
"*","97","STITCH","188","575"
"*","98","STITCH","187","575"
"*","99","STITCH","186","575"
"*","100","STITCH","187","575"
"*","101","STITCH","188","575"
"*","102","END","188","575"
