"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","67"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","46.0"
">","EXTENTS_TOP:","105.0"
">","EXTENTS_RIGHT:","256"
">","EXTENTS_BOTTOM:","577"
">","EXTENTS_WIDTH:","210.0"
">","EXTENTS_HEIGHT:","472.0"
">","COMMAND_STITCH","62"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","68"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2360"
"@","+X","1050"
"@","-Y","2360"
"@","-X","1050"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#ba319e","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","46.0","105.0"
"*","1","JUMP","91.0","210.0"
"*","2","JUMP","137.0","314.0"
"*","3","JUMP","182.0","419.0"
"*","4","STITCH","228","524"
"*","5","STITCH","228","524"
"*","6","STITCH","228","525"
"*","7","STITCH","228","524"
"*","8","STITCH","228","524"
"*","9","STITCH","228","539"
"*","10","STITCH","228","554"
"*","11","STITCH","228","568"
"*","12","STITCH","228","554"
"*","13","STITCH","228","539"
"*","14","STITCH","228","524"
"*","15","STITCH","222","524"
"*","16","STITCH","233","524"
"*","17","STITCH","222","528"
"*","18","STITCH","233","528"
"*","19","STITCH","222","532"
"*","20","STITCH","233","532"
"*","21","STITCH","222","536"
"*","22","STITCH","233","536"
"*","23","STITCH","222","540"
"*","24","STITCH","233","540"
"*","25","STITCH","222","544"
"*","26","STITCH","233","544"
"*","27","STITCH","222","548"
"*","28","STITCH","233","548"
"*","29","STITCH","222","552"
"*","30","STITCH","233","552"
"*","31","STITCH","222","556"
"*","32","STITCH","233","556"
"*","33","STITCH","222","560"
"*","34","STITCH","233","560"
"*","35","STITCH","222","564"
"*","36","STITCH","233","564"
"*","37","STITCH","222","568"
"*","38","STITCH","233","568"
"*","39","STITCH","225","572"
"*","40","STITCH","240","572"
"*","41","STITCH","256","572"
"*","42","STITCH","240","572"
"*","43","STITCH","225","572"
"*","44","STITCH","225","577"
"*","45","STITCH","225","566"
"*","46","STITCH","229","577"
"*","47","STITCH","229","566"
"*","48","STITCH","233","577"
"*","49","STITCH","233","566"
"*","50","STITCH","237","577"
"*","51","STITCH","237","566"
"*","52","STITCH","241","577"
"*","53","STITCH","241","566"
"*","54","STITCH","245","577"
"*","55","STITCH","245","566"
"*","56","STITCH","249","577"
"*","57","STITCH","249","566"
"*","58","STITCH","253","577"
"*","59","STITCH","253","566"
"*","60","STITCH","256","577"
"*","61","STITCH","256","566"
"*","62","STITCH","256","567"
"*","63","STITCH","256","568"
"*","64","STITCH","256","567"
"*","65","STITCH","256","566"
"*","66","END","256","566"
