"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","149"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","60.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","345"
">","EXTENTS_BOTTOM:","575"
">","EXTENTS_WIDTH:","285.0"
">","EXTENTS_HEIGHT:","460.0"
">","COMMAND_STITCH","144"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","150"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2300"
"@","+X","1426"
"@","-Y","2300"
"@","-X","1426"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#3eb584","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","60.0","115.0"
"*","1","JUMP","120.0","230.0"
"*","2","JUMP","180.0","345.0"
"*","3","JUMP","240.0","460.0"
"*","4","STITCH","300","575"
"*","5","STITCH","300","574"
"*","6","STITCH","300","573"
"*","7","STITCH","300","574"
"*","8","STITCH","300","575"
"*","9","STITCH","300","560"
"*","10","STITCH","300","545"
"*","11","STITCH","300","530"
"*","12","STITCH","300","524"
"*","13","STITCH","300","530"
"*","14","STITCH","300","545"
"*","15","STITCH","300","560"
"*","16","STITCH","300","575"
"*","17","STITCH","305","575"
"*","18","STITCH","294","575"
"*","19","STITCH","305","571"
"*","20","STITCH","294","571"
"*","21","STITCH","305","567"
"*","22","STITCH","294","567"
"*","23","STITCH","305","563"
"*","24","STITCH","294","563"
"*","25","STITCH","305","559"
"*","26","STITCH","294","559"
"*","27","STITCH","305","555"
"*","28","STITCH","294","555"
"*","29","STITCH","305","551"
"*","30","STITCH","294","551"
"*","31","STITCH","305","547"
"*","32","STITCH","294","547"
"*","33","STITCH","305","543"
"*","34","STITCH","294","543"
"*","35","STITCH","305","539"
"*","36","STITCH","294","539"
"*","37","STITCH","305","535"
"*","38","STITCH","294","535"
"*","39","STITCH","305","531"
"*","40","STITCH","294","531"
"*","41","STITCH","307","528"
"*","42","STITCH","294","527"
"*","43","STITCH","307","524"
"*","44","STITCH","294","524"
"*","45","STITCH","304","524"
"*","46","STITCH","309","537"
"*","47","STITCH","314","551"
"*","48","STITCH","318","565"
"*","49","STITCH","314","551"
"*","50","STITCH","309","537"
"*","51","STITCH","304","524"
"*","52","STITCH","299","524"
"*","53","STITCH","309","523"
"*","54","STITCH","299","528"
"*","55","STITCH","311","527"
"*","56","STITCH","301","531"
"*","57","STITCH","312","531"
"*","58","STITCH","303","535"
"*","59","STITCH","314","535"
"*","60","STITCH","304","538"
"*","61","STITCH","315","538"
"*","62","STITCH","306","542"
"*","63","STITCH","316","542"
"*","64","STITCH","307","546"
"*","65","STITCH","318","546"
"*","66","STITCH","308","550"
"*","67","STITCH","319","549"
"*","68","STITCH","310","553"
"*","69","STITCH","320","553"
"*","70","STITCH","311","557"
"*","71","STITCH","322","556"
"*","72","STITCH","313","561"
"*","73","STITCH","323","560"
"*","74","STITCH","314","565"
"*","75","STITCH","323","564"
"*","76","STITCH","321","565"
"*","77","STITCH","325","551"
"*","78","STITCH","330","537"
"*","79","STITCH","335","524"
"*","80","STITCH","330","537"
"*","81","STITCH","325","551"
"*","82","STITCH","321","565"
"*","83","STITCH","325","565"
"*","84","STITCH","317","564"
"*","85","STITCH","327","561"
"*","86","STITCH","317","561"
"*","87","STITCH","328","558"
"*","88","STITCH","318","557"
"*","89","STITCH","329","554"
"*","90","STITCH","319","553"
"*","91","STITCH","331","550"
"*","92","STITCH","320","550"
"*","93","STITCH","332","546"
"*","94","STITCH","322","546"
"*","95","STITCH","334","543"
"*","96","STITCH","323","543"
"*","97","STITCH","335","539"
"*","98","STITCH","324","539"
"*","99","STITCH","337","535"
"*","100","STITCH","326","535"
"*","101","STITCH","338","531"
"*","102","STITCH","327","531"
"*","103","STITCH","340","529"
"*","104","STITCH","329","528"
"*","105","STITCH","340","524"
"*","106","STITCH","330","523"
"*","107","STITCH","339","524"
"*","108","STITCH","340","538"
"*","109","STITCH","340","553"
"*","110","STITCH","340","568"
"*","111","STITCH","340","575"
"*","112","STITCH","340","568"
"*","113","STITCH","340","553"
"*","114","STITCH","340","538"
"*","115","STITCH","339","524"
"*","116","STITCH","333","524"
"*","117","STITCH","345","523"
"*","118","STITCH","333","528"
"*","119","STITCH","345","527"
"*","120","STITCH","334","531"
"*","121","STITCH","345","532"
"*","122","STITCH","334","535"
"*","123","STITCH","345","535"
"*","124","STITCH","334","539"
"*","125","STITCH","345","539"
"*","126","STITCH","334","543"
"*","127","STITCH","345","543"
"*","128","STITCH","334","547"
"*","129","STITCH","345","547"
"*","130","STITCH","334","551"
"*","131","STITCH","345","551"
"*","132","STITCH","334","555"
"*","133","STITCH","345","555"
"*","134","STITCH","334","559"
"*","135","STITCH","345","559"
"*","136","STITCH","334","563"
"*","137","STITCH","345","563"
"*","138","STITCH","334","567"
"*","139","STITCH","345","567"
"*","140","STITCH","334","571"
"*","141","STITCH","345","571"
"*","142","STITCH","334","575"
"*","143","STITCH","345","575"
"*","144","STITCH","344","575"
"*","145","STITCH","344","575"
"*","146","STITCH","344","575"
"*","147","STITCH","345","575"
"*","148","END","345","575"
