"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","128"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","79.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","431"
">","EXTENTS_BOTTOM:","575"
">","EXTENTS_WIDTH:","352.0"
">","EXTENTS_HEIGHT:","460.0"
">","COMMAND_STITCH","123"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","129"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2301"
"@","+X","1760"
"@","-Y","2301"
"@","-X","1760"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#fb148c","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","79.0","115.0"
"*","1","JUMP","157.0","230.0"
"*","2","JUMP","236.0","345.0"
"*","3","JUMP","314.0","460.0"
"*","4","STITCH","393","575"
"*","5","STITCH","393","574"
"*","6","STITCH","393","573"
"*","7","STITCH","393","574"
"*","8","STITCH","393","575"
"*","9","STITCH","393","560"
"*","10","STITCH","393","545"
"*","11","STITCH","394","530"
"*","12","STITCH","394","524"
"*","13","STITCH","394","530"
"*","14","STITCH","393","545"
"*","15","STITCH","393","560"
"*","16","STITCH","393","575"
"*","17","STITCH","388","575"
"*","18","STITCH","399","575"
"*","19","STITCH","388","571"
"*","20","STITCH","399","571"
"*","21","STITCH","388","567"
"*","22","STITCH","399","567"
"*","23","STITCH","388","563"
"*","24","STITCH","399","563"
"*","25","STITCH","388","559"
"*","26","STITCH","399","559"
"*","27","STITCH","388","555"
"*","28","STITCH","399","555"
"*","29","STITCH","388","551"
"*","30","STITCH","399","551"
"*","31","STITCH","388","547"
"*","32","STITCH","399","547"
"*","33","STITCH","388","543"
"*","34","STITCH","399","543"
"*","35","STITCH","388","539"
"*","36","STITCH","399","539"
"*","37","STITCH","388","535"
"*","38","STITCH","399","535"
"*","39","STITCH","388","531"
"*","40","STITCH","399","531"
"*","41","STITCH","388","527"
"*","42","STITCH","400","527"
"*","43","STITCH","388","524"
"*","44","STITCH","400","524"
"*","45","STITCH","397","524"
"*","46","STITCH","403","537"
"*","47","STITCH","410","550"
"*","48","STITCH","417","563"
"*","49","STITCH","422","575"
"*","50","STITCH","417","563"
"*","51","STITCH","410","550"
"*","52","STITCH","403","537"
"*","53","STITCH","397","524"
"*","54","STITCH","401","524"
"*","55","STITCH","393","524"
"*","56","STITCH","403","527"
"*","57","STITCH","393","528"
"*","58","STITCH","405","531"
"*","59","STITCH","394","531"
"*","60","STITCH","407","534"
"*","61","STITCH","396","534"
"*","62","STITCH","409","538"
"*","63","STITCH","398","538"
"*","64","STITCH","411","541"
"*","65","STITCH","400","541"
"*","66","STITCH","413","545"
"*","67","STITCH","402","545"
"*","68","STITCH","415","548"
"*","69","STITCH","404","548"
"*","70","STITCH","416","552"
"*","71","STITCH","405","552"
"*","72","STITCH","418","555"
"*","73","STITCH","407","555"
"*","74","STITCH","420","559"
"*","75","STITCH","409","559"
"*","76","STITCH","422","562"
"*","77","STITCH","411","563"
"*","78","STITCH","424","566"
"*","79","STITCH","413","566"
"*","80","STITCH","426","568"
"*","81","STITCH","415","570"
"*","82","STITCH","426","572"
"*","83","STITCH","417","573"
"*","84","STITCH","426","574"
"*","85","STITCH","418","575"
"*","86","STITCH","425","575"
"*","87","STITCH","426","560"
"*","88","STITCH","426","545"
"*","89","STITCH","426","530"
"*","90","STITCH","426","524"
"*","91","STITCH","426","530"
"*","92","STITCH","426","545"
"*","93","STITCH","426","560"
"*","94","STITCH","425","575"
"*","95","STITCH","419","574"
"*","96","STITCH","431","575"
"*","97","STITCH","419","570"
"*","98","STITCH","431","571"
"*","99","STITCH","420","567"
"*","100","STITCH","431","567"
"*","101","STITCH","420","563"
"*","102","STITCH","431","563"
"*","103","STITCH","420","559"
"*","104","STITCH","431","559"
"*","105","STITCH","420","555"
"*","106","STITCH","431","555"
"*","107","STITCH","420","551"
"*","108","STITCH","431","551"
"*","109","STITCH","420","547"
"*","110","STITCH","431","547"
"*","111","STITCH","420","543"
"*","112","STITCH","431","543"
"*","113","STITCH","420","539"
"*","114","STITCH","431","539"
"*","115","STITCH","420","535"
"*","116","STITCH","431","535"
"*","117","STITCH","420","531"
"*","118","STITCH","431","531"
"*","119","STITCH","420","527"
"*","120","STITCH","431","527"
"*","121","STITCH","420","524"
"*","122","STITCH","431","524"
"*","123","STITCH","430","524"
"*","124","STITCH","429","524"
"*","125","STITCH","430","524"
"*","126","STITCH","431","524"
"*","127","END","431","524"
