"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","123"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","95.0"
">","EXTENTS_TOP:","110.0"
">","EXTENTS_RIGHT:","522"
">","EXTENTS_BOTTOM:","578"
">","EXTENTS_WIDTH:","427.0"
">","EXTENTS_HEIGHT:","468.0"
">","COMMAND_STITCH","118"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","124"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2340"
"@","+X","2137"
"@","-Y","2340"
"@","-X","2137"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#470f02","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","95.0","110.0"
"*","1","JUMP","191.0","220.0"
"*","2","JUMP","286.0","329.0"
"*","3","JUMP","382.0","439.0"
"*","4","STITCH","477","549"
"*","5","STITCH","478","549"
"*","6","STITCH","478","548"
"*","7","STITCH","478","549"
"*","8","STITCH","477","549"
"*","9","STITCH","480","535"
"*","10","STITCH","492","526"
"*","11","STITCH","506","528"
"*","12","STITCH","516","540"
"*","13","STITCH","517","550"
"*","14","STITCH","514","562"
"*","15","STITCH","505","571"
"*","16","STITCH","493","573"
"*","17","STITCH","482","566"
"*","18","STITCH","477","554"
"*","19","STITCH","478","541"
"*","20","STITCH","484","530"
"*","21","STITCH","496","526"
"*","22","STITCH","508","529"
"*","23","STITCH","515","540"
"*","24","STITCH","517","549"
"*","25","STITCH","515","540"
"*","26","STITCH","508","529"
"*","27","STITCH","496","526"
"*","28","STITCH","484","530"
"*","29","STITCH","478","541"
"*","30","STITCH","477","554"
"*","31","STITCH","482","566"
"*","32","STITCH","493","573"
"*","33","STITCH","505","571"
"*","34","STITCH","514","562"
"*","35","STITCH","517","549"
"*","36","STITCH","511","549"
"*","37","STITCH","522","549"
"*","38","STITCH","511","552"
"*","39","STITCH","522","554"
"*","40","STITCH","511","555"
"*","41","STITCH","521","558"
"*","42","STITCH","510","558"
"*","43","STITCH","520","562"
"*","44","STITCH","509","560"
"*","45","STITCH","519","566"
"*","46","STITCH","507","563"
"*","47","STITCH","516","569"
"*","48","STITCH","506","565"
"*","49","STITCH","513","572"
"*","50","STITCH","504","566"
"*","51","STITCH","509","575"
"*","52","STITCH","502","567"
"*","53","STITCH","506","576"
"*","54","STITCH","499","568"
"*","55","STITCH","501","578"
"*","56","STITCH","497","568"
"*","57","STITCH","497","578"
"*","58","STITCH","494","568"
"*","59","STITCH","492","578"
"*","60","STITCH","492","567"
"*","61","STITCH","488","577"
"*","62","STITCH","490","566"
"*","63","STITCH","484","575"
"*","64","STITCH","488","565"
"*","65","STITCH","481","573"
"*","66","STITCH","486","563"
"*","67","STITCH","477","570"
"*","68","STITCH","484","561"
"*","69","STITCH","475","566"
"*","70","STITCH","483","558"
"*","71","STITCH","473","562"
"*","72","STITCH","483","555"
"*","73","STITCH","472","558"
"*","74","STITCH","482","552"
"*","75","STITCH","471","554"
"*","76","STITCH","482","550"
"*","77","STITCH","471","550"
"*","78","STITCH","482","547"
"*","79","STITCH","471","546"
"*","80","STITCH","483","544"
"*","81","STITCH","472","541"
"*","82","STITCH","483","541"
"*","83","STITCH","473","537"
"*","84","STITCH","484","538"
"*","85","STITCH","475","533"
"*","86","STITCH","486","536"
"*","87","STITCH","477","530"
"*","88","STITCH","487","534"
"*","89","STITCH","480","527"
"*","90","STITCH","489","532"
"*","91","STITCH","483","524"
"*","92","STITCH","491","531"
"*","93","STITCH","487","522"
"*","94","STITCH","494","531"
"*","95","STITCH","492","521"
"*","96","STITCH","496","530"
"*","97","STITCH","496","521"
"*","98","STITCH","499","530"
"*","99","STITCH","500","521"
"*","100","STITCH","501","531"
"*","101","STITCH","505","522"
"*","102","STITCH","503","532"
"*","103","STITCH","509","523"
"*","104","STITCH","505","533"
"*","105","STITCH","512","526"
"*","106","STITCH","507","535"
"*","107","STITCH","516","529"
"*","108","STITCH","509","538"
"*","109","STITCH","518","532"
"*","110","STITCH","510","540"
"*","111","STITCH","520","536"
"*","112","STITCH","510","543"
"*","113","STITCH","521","540"
"*","114","STITCH","511","546"
"*","115","STITCH","522","544"
"*","116","STITCH","511","549"
"*","117","STITCH","522","549"
"*","118","STITCH","522","549"
"*","119","STITCH","521","549"
"*","120","STITCH","522","549"
"*","121","STITCH","522","549"
"*","122","END","522","549"
