"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","100"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","114.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","599"
">","EXTENTS_BOTTOM:","575"
">","EXTENTS_WIDTH:","485.0"
">","EXTENTS_HEIGHT:","460.0"
">","COMMAND_STITCH","95"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","101"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2300"
"@","+X","2427"
"@","-Y","2300"
"@","-X","2427"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#0dcc43","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","114.0","115.0"
"*","1","JUMP","227.0","230.0"
"*","2","JUMP","341.0","345.0"
"*","3","JUMP","454.0","460.0"
"*","4","STITCH","568","575"
"*","5","STITCH","568","574"
"*","6","STITCH","568","573"
"*","7","STITCH","568","574"
"*","8","STITCH","568","575"
"*","9","STITCH","568","560"
"*","10","STITCH","568","545"
"*","11","STITCH","568","530"
"*","12","STITCH","568","525"
"*","13","STITCH","568","530"
"*","14","STITCH","568","545"
"*","15","STITCH","568","560"
"*","16","STITCH","568","575"
"*","17","STITCH","562","575"
"*","18","STITCH","573","575"
"*","19","STITCH","562","571"
"*","20","STITCH","573","571"
"*","21","STITCH","562","567"
"*","22","STITCH","573","567"
"*","23","STITCH","562","563"
"*","24","STITCH","573","563"
"*","25","STITCH","562","559"
"*","26","STITCH","573","559"
"*","27","STITCH","562","555"
"*","28","STITCH","573","555"
"*","29","STITCH","562","551"
"*","30","STITCH","573","551"
"*","31","STITCH","562","547"
"*","32","STITCH","573","547"
"*","33","STITCH","562","543"
"*","34","STITCH","573","543"
"*","35","STITCH","562","539"
"*","36","STITCH","573","539"
"*","37","STITCH","562","535"
"*","38","STITCH","573","535"
"*","39","STITCH","562","531"
"*","40","STITCH","573","531"
"*","41","STITCH","562","527"
"*","42","STITCH","573","527"
"*","43","STITCH","562","524"
"*","44","STITCH","573","525"
"*","45","STITCH","571","526"
"*","46","STITCH","584","527"
"*","47","STITCH","594","535"
"*","48","STITCH","594","539"
"*","49","STITCH","594","535"
"*","50","STITCH","584","527"
"*","51","STITCH","571","526"
"*","52","STITCH","571","522"
"*","53","STITCH","571","531"
"*","54","STITCH","575","522"
"*","55","STITCH","575","531"
"*","56","STITCH","579","522"
"*","57","STITCH","579","531"
"*","58","STITCH","584","522"
"*","59","STITCH","581","531"
"*","60","STITCH","588","523"
"*","61","STITCH","583","531"
"*","62","STITCH","592","525"
"*","63","STITCH","585","532"
"*","64","STITCH","596","527"
"*","65","STITCH","587","533"
"*","66","STITCH","598","531"
"*","67","STITCH","588","535"
"*","68","STITCH","599","535"
"*","69","STITCH","589","537"
"*","70","STITCH","599","539"
"*","71","STITCH","589","539"
"*","72","STITCH","594","538"
"*","73","STITCH","587","550"
"*","74","STITCH","574","552"
"*","75","STITCH","571","556"
"*","76","STITCH","571","547"
"*","77","STITCH","575","556"
"*","78","STITCH","575","547"
"*","79","STITCH","579","556"
"*","80","STITCH","579","547"
"*","81","STITCH","584","556"
"*","82","STITCH","581","547"
"*","83","STITCH","588","555"
"*","84","STITCH","583","547"
"*","85","STITCH","592","553"
"*","86","STITCH","585","546"
"*","87","STITCH","596","550"
"*","88","STITCH","587","545"
"*","89","STITCH","598","547"
"*","90","STITCH","588","543"
"*","91","STITCH","599","543"
"*","92","STITCH","589","541"
"*","93","STITCH","599","539"
"*","94","STITCH","589","539"
"*","95","STITCH","590","539"
"*","96","STITCH","591","539"
"*","97","STITCH","590","539"
"*","98","STITCH","589","539"
"*","99","END","589","539"
