"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","137"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","107.0"
">","EXTENTS_TOP:","92.0"
">","EXTENTS_RIGHT:","686"
">","EXTENTS_BOTTOM:","581"
">","EXTENTS_WIDTH:","579.0"
">","EXTENTS_HEIGHT:","489.0"
">","COMMAND_STITCH","131"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","138"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2446"
"@","+X","2897"
"@","-Y","2446"
"@","-X","2897"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#7547db","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","107.0","92.0"
"*","1","JUMP","213.0","183.0"
"*","2","JUMP","320.0","275.0"
"*","3","JUMP","427.0","367.0"
"*","4","JUMP","533.0","458.0"
"*","5","STITCH","640","550"
"*","6","STITCH","641","551"
"*","7","STITCH","641","551"
"*","8","STITCH","641","551"
"*","9","STITCH","640","550"
"*","10","STITCH","644","564"
"*","11","STITCH","656","573"
"*","12","STITCH","668","572"
"*","13","STITCH","657","573"
"*","14","STITCH","646","567"
"*","15","STITCH","641","555"
"*","16","STITCH","641","542"
"*","17","STITCH","648","530"
"*","18","STITCH","659","526"
"*","19","STITCH","672","529"
"*","20","STITCH","679","539"
"*","21","STITCH","680","553"
"*","22","STITCH","674","568"
"*","23","STITCH","680","553"
"*","24","STITCH","679","539"
"*","25","STITCH","672","529"
"*","26","STITCH","659","526"
"*","27","STITCH","648","530"
"*","28","STITCH","641","542"
"*","29","STITCH","641","555"
"*","30","STITCH","646","567"
"*","31","STITCH","657","573"
"*","32","STITCH","669","571"
"*","33","STITCH","673","575"
"*","34","STITCH","666","568"
"*","35","STITCH","668","577"
"*","36","STITCH","664","568"
"*","37","STITCH","664","578"
"*","38","STITCH","662","568"
"*","39","STITCH","660","578"
"*","40","STITCH","660","568"
"*","41","STITCH","655","577"
"*","42","STITCH","657","568"
"*","43","STITCH","651","576"
"*","44","STITCH","655","567"
"*","45","STITCH","647","574"
"*","46","STITCH","653","566"
"*","47","STITCH","644","572"
"*","48","STITCH","651","564"
"*","49","STITCH","641","568"
"*","50","STITCH","649","562"
"*","51","STITCH","638","565"
"*","52","STITCH","648","560"
"*","53","STITCH","637","561"
"*","54","STITCH","647","557"
"*","55","STITCH","636","557"
"*","56","STITCH","647","554"
"*","57","STITCH","635","553"
"*","58","STITCH","646","552"
"*","59","STITCH","635","548"
"*","60","STITCH","646","549"
"*","61","STITCH","635","544"
"*","62","STITCH","646","546"
"*","63","STITCH","636","540"
"*","64","STITCH","647","543"
"*","65","STITCH","637","536"
"*","66","STITCH","648","540"
"*","67","STITCH","639","532"
"*","68","STITCH","649","538"
"*","69","STITCH","642","529"
"*","70","STITCH","650","535"
"*","71","STITCH","645","526"
"*","72","STITCH","652","533"
"*","73","STITCH","649","523"
"*","74","STITCH","654","532"
"*","75","STITCH","653","522"
"*","76","STITCH","656","531"
"*","77","STITCH","657","521"
"*","78","STITCH","659","531"
"*","79","STITCH","661","521"
"*","80","STITCH","661","530"
"*","81","STITCH","666","521"
"*","82","STITCH","663","531"
"*","83","STITCH","670","522"
"*","84","STITCH","666","531"
"*","85","STITCH","674","524"
"*","86","STITCH","668","532"
"*","87","STITCH","677","527"
"*","88","STITCH","670","534"
"*","89","STITCH","680","530"
"*","90","STITCH","672","536"
"*","91","STITCH","683","533"
"*","92","STITCH","673","539"
"*","93","STITCH","684","537"
"*","94","STITCH","674","541"
"*","95","STITCH","686","541"
"*","96","STITCH","675","544"
"*","97","STITCH","686","545"
"*","98","STITCH","675","547"
"*","99","STITCH","686","549"
"*","100","STITCH","675","551"
"*","101","STITCH","686","554"
"*","102","STITCH","675","554"
"*","103","STITCH","685","557"
"*","104","STITCH","674","558"
"*","105","STITCH","684","561"
"*","106","STITCH","672","562"
"*","107","STITCH","682","566"
"*","108","STITCH","672","563"
"*","109","STITCH","680","569"
"*","110","STITCH","671","563"
"*","111","STITCH","678","571"
"*","112","STITCH","671","564"
"*","113","STITCH","665","562"
"*","114","STITCH","675","573"
"*","115","STITCH","680","578"
"*","116","STITCH","675","573"
"*","117","STITCH","665","562"
"*","118","STITCH","660","564"
"*","119","STITCH","669","559"
"*","120","STITCH","663","567"
"*","121","STITCH","672","562"
"*","122","STITCH","666","570"
"*","123","STITCH","674","564"
"*","124","STITCH","668","573"
"*","125","STITCH","677","567"
"*","126","STITCH","671","576"
"*","127","STITCH","679","570"
"*","128","STITCH","674","579"
"*","129","STITCH","682","573"
"*","130","STITCH","676","581"
"*","131","STITCH","684","575"
"*","132","STITCH","683","575"
"*","133","STITCH","683","576"
"*","134","STITCH","683","575"
"*","135","STITCH","684","575"
"*","136","END","684","575"
