"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","124"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","105.0"
">","EXTENTS_TOP:","82.0"
">","EXTENTS_RIGHT:","770"
">","EXTENTS_BOTTOM:","575"
">","EXTENTS_WIDTH:","665.0"
">","EXTENTS_HEIGHT:","493.0"
">","COMMAND_STITCH","117"
">","COMMAND_JUMP","6"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","125"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2465"
"@","+X","3326"
"@","-Y","2465"
"@","-X","3326"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#b47ced","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","105.0","82.0"
"*","1","JUMP","209.0","164.0"
"*","2","JUMP","314.0","246.0"
"*","3","JUMP","418.0","329.0"
"*","4","JUMP","523.0","411.0"
"*","5","JUMP","627.0","493.0"
"*","6","STITCH","732","575"
"*","7","STITCH","732","574"
"*","8","STITCH","732","573"
"*","9","STITCH","732","574"
"*","10","STITCH","732","575"
"*","11","STITCH","732","560"
"*","12","STITCH","732","545"
"*","13","STITCH","732","530"
"*","14","STITCH","732","524"
"*","15","STITCH","732","530"
"*","16","STITCH","732","545"
"*","17","STITCH","732","560"
"*","18","STITCH","732","575"
"*","19","STITCH","737","575"
"*","20","STITCH","726","575"
"*","21","STITCH","737","571"
"*","22","STITCH","726","571"
"*","23","STITCH","737","567"
"*","24","STITCH","726","567"
"*","25","STITCH","737","563"
"*","26","STITCH","726","563"
"*","27","STITCH","737","559"
"*","28","STITCH","726","559"
"*","29","STITCH","737","555"
"*","30","STITCH","726","555"
"*","31","STITCH","737","551"
"*","32","STITCH","726","551"
"*","33","STITCH","737","547"
"*","34","STITCH","726","547"
"*","35","STITCH","737","543"
"*","36","STITCH","726","543"
"*","37","STITCH","737","539"
"*","38","STITCH","726","539"
"*","39","STITCH","737","535"
"*","40","STITCH","726","535"
"*","41","STITCH","737","531"
"*","42","STITCH","726","531"
"*","43","STITCH","737","527"
"*","44","STITCH","726","527"
"*","45","STITCH","737","524"
"*","46","STITCH","726","524"
"*","47","STITCH","735","526"
"*","48","STITCH","748","527"
"*","49","STITCH","757","534"
"*","50","STITCH","755","546"
"*","51","STITCH","750","549"
"*","52","STITCH","755","546"
"*","53","STITCH","757","534"
"*","54","STITCH","748","527"
"*","55","STITCH","735","526"
"*","56","STITCH","735","531"
"*","57","STITCH","735","522"
"*","58","STITCH","739","531"
"*","59","STITCH","739","522"
"*","60","STITCH","743","531"
"*","61","STITCH","743","522"
"*","62","STITCH","745","531"
"*","63","STITCH","748","522"
"*","64","STITCH","747","532"
"*","65","STITCH","752","523"
"*","66","STITCH","749","532"
"*","67","STITCH","756","524"
"*","68","STITCH","750","533"
"*","69","STITCH","760","527"
"*","70","STITCH","752","535"
"*","71","STITCH","762","531"
"*","72","STITCH","753","537"
"*","73","STITCH","763","535"
"*","74","STITCH","753","540"
"*","75","STITCH","763","539"
"*","76","STITCH","751","543"
"*","77","STITCH","763","543"
"*","78","STITCH","750","544"
"*","79","STITCH","761","547"
"*","80","STITCH","748","546"
"*","81","STITCH","758","550"
"*","82","STITCH","746","546"
"*","83","STITCH","754","552"
"*","84","STITCH","748","551"
"*","85","STITCH","736","550"
"*","86","STITCH","735","550"
"*","87","STITCH","748","551"
"*","88","STITCH","757","561"
"*","89","STITCH","765","575"
"*","90","STITCH","757","561"
"*","91","STITCH","748","551"
"*","92","STITCH","735","550"
"*","93","STITCH","735","546"
"*","94","STITCH","735","555"
"*","95","STITCH","740","546"
"*","96","STITCH","738","555"
"*","97","STITCH","744","546"
"*","98","STITCH","741","555"
"*","99","STITCH","748","545"
"*","100","STITCH","744","555"
"*","101","STITCH","751","548"
"*","102","STITCH","747","556"
"*","103","STITCH","755","550"
"*","104","STITCH","749","558"
"*","105","STITCH","758","553"
"*","106","STITCH","751","560"
"*","107","STITCH","761","556"
"*","108","STITCH","752","562"
"*","109","STITCH","763","560"
"*","110","STITCH","754","565"
"*","111","STITCH","765","564"
"*","112","STITCH","755","567"
"*","113","STITCH","767","567"
"*","114","STITCH","756","570"
"*","115","STITCH","769","571"
"*","116","STITCH","758","572"
"*","117","STITCH","770","575"
"*","118","STITCH","759","575"
"*","119","STITCH","760","575"
"*","120","STITCH","760","575"
"*","121","STITCH","760","575"
"*","122","STITCH","759","575"
"*","123","END","759","575"
