"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","105"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","15.0"
">","EXTENTS_TOP:","114.0"
">","EXTENTS_RIGHT:","127"
">","EXTENTS_BOTTOM:","693"
">","EXTENTS_WIDTH:","112.0"
">","EXTENTS_HEIGHT:","579.0"
">","COMMAND_STITCH","99"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","106"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2896"
"@","+X","559"
"@","-Y","2896"
"@","-X","559"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#032c9b","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","15.0","114.0"
"*","1","JUMP","30.0","228.0"
"*","2","JUMP","45.0","342.0"
"*","3","JUMP","59.0","456.0"
"*","4","JUMP","74.0","570.0"
"*","5","STITCH","89","684"
"*","6","STITCH","90","684"
"*","7","STITCH","90","684"
"*","8","STITCH","90","684"
"*","9","STITCH","89","684"
"*","10","STITCH","103","688"
"*","11","STITCH","116","686"
"*","12","STITCH","122","676"
"*","13","STITCH","116","666"
"*","14","STITCH","102","662"
"*","15","STITCH","92","654"
"*","16","STITCH","96","643"
"*","17","STITCH","108","640"
"*","18","STITCH","122","643"
"*","19","STITCH","108","640"
"*","20","STITCH","96","643"
"*","21","STITCH","92","654"
"*","22","STITCH","102","662"
"*","23","STITCH","116","666"
"*","24","STITCH","122","676"
"*","25","STITCH","116","686"
"*","26","STITCH","103","688"
"*","27","STITCH","89","684"
"*","28","STITCH","89","678"
"*","29","STITCH","89","690"
"*","30","STITCH","92","680"
"*","31","STITCH","93","691"
"*","32","STITCH","96","681"
"*","33","STITCH","97","692"
"*","34","STITCH","100","682"
"*","35","STITCH","100","693"
"*","36","STITCH","104","683"
"*","37","STITCH","104","693"
"*","38","STITCH","107","683"
"*","39","STITCH","108","693"
"*","40","STITCH","109","682"
"*","41","STITCH","113","692"
"*","42","STITCH","111","682"
"*","43","STITCH","117","691"
"*","44","STITCH","114","682"
"*","45","STITCH","121","689"
"*","46","STITCH","115","680"
"*","47","STITCH","124","686"
"*","48","STITCH","116","679"
"*","49","STITCH","126","681"
"*","50","STITCH","117","677"
"*","51","STITCH","127","677"
"*","52","STITCH","117","675"
"*","53","STITCH","127","673"
"*","54","STITCH","116","673"
"*","55","STITCH","125","668"
"*","56","STITCH","115","672"
"*","57","STITCH","123","665"
"*","58","STITCH","113","670"
"*","59","STITCH","120","662"
"*","60","STITCH","110","670"
"*","61","STITCH","116","660"
"*","62","STITCH","108","669"
"*","63","STITCH","112","659"
"*","64","STITCH","104","668"
"*","65","STITCH","108","658"
"*","66","STITCH","100","667"
"*","67","STITCH","105","657"
"*","68","STITCH","96","666"
"*","69","STITCH","102","657"
"*","70","STITCH","92","664"
"*","71","STITCH","99","656"
"*","72","STITCH","89","661"
"*","73","STITCH","98","655"
"*","74","STITCH","87","657"
"*","75","STITCH","97","653"
"*","76","STITCH","87","652"
"*","77","STITCH","97","651"
"*","78","STITCH","87","648"
"*","79","STITCH","97","650"
"*","80","STITCH","89","643"
"*","81","STITCH","98","648"
"*","82","STITCH","92","640"
"*","83","STITCH","100","646"
"*","84","STITCH","96","638"
"*","85","STITCH","102","646"
"*","86","STITCH","100","636"
"*","87","STITCH","104","646"
"*","88","STITCH","104","635"
"*","89","STITCH","106","646"
"*","90","STITCH","108","635"
"*","91","STITCH","110","646"
"*","92","STITCH","112","635"
"*","93","STITCH","113","646"
"*","94","STITCH","116","636"
"*","95","STITCH","117","647"
"*","96","STITCH","120","637"
"*","97","STITCH","120","649"
"*","98","STITCH","122","638"
"*","99","STITCH","122","649"
"*","100","STITCH","122","649"
"*","101","STITCH","122","648"
"*","102","STITCH","122","649"
"*","103","STITCH","122","649"
"*","104","END","122","649"
