"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","79"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","27.0"
">","EXTENTS_TOP:","107.0"
">","EXTENTS_RIGHT:","205"
">","EXTENTS_BOTTOM:","690"
">","EXTENTS_WIDTH:","178.0"
">","EXTENTS_HEIGHT:","583.0"
">","COMMAND_STITCH","73"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","80"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2914"
"@","+X","890"
"@","-Y","2914"
"@","-X","890"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#24adb7","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","27.0","107.0"
"*","1","JUMP","54.0","214.0"
"*","2","JUMP","81.0","321.0"
"*","3","JUMP","108.0","428.0"
"*","4","JUMP","135.0","535.0"
"*","5","STITCH","162","642"
"*","6","STITCH","162","642"
"*","7","STITCH","163","642"
"*","8","STITCH","162","642"
"*","9","STITCH","162","642"
"*","10","STITCH","177","642"
"*","11","STITCH","183","642"
"*","12","STITCH","177","642"
"*","13","STITCH","162","642"
"*","14","STITCH","162","636"
"*","15","STITCH","162","648"
"*","16","STITCH","166","636"
"*","17","STITCH","166","648"
"*","18","STITCH","169","636"
"*","19","STITCH","170","648"
"*","20","STITCH","173","636"
"*","21","STITCH","174","648"
"*","22","STITCH","177","636"
"*","23","STITCH","178","648"
"*","24","STITCH","181","636"
"*","25","STITCH","182","648"
"*","26","STITCH","183","636"
"*","27","STITCH","183","648"
"*","28","STITCH","183","662"
"*","29","STITCH","183","677"
"*","30","STITCH","183","689"
"*","31","STITCH","189","690"
"*","32","STITCH","178","690"
"*","33","STITCH","189","686"
"*","34","STITCH","178","686"
"*","35","STITCH","189","682"
"*","36","STITCH","178","682"
"*","37","STITCH","189","678"
"*","38","STITCH","178","678"
"*","39","STITCH","189","674"
"*","40","STITCH","178","674"
"*","41","STITCH","189","670"
"*","42","STITCH","178","670"
"*","43","STITCH","189","666"
"*","44","STITCH","178","666"
"*","45","STITCH","189","662"
"*","46","STITCH","178","662"
"*","47","STITCH","189","658"
"*","48","STITCH","178","658"
"*","49","STITCH","189","654"
"*","50","STITCH","178","654"
"*","51","STITCH","189","650"
"*","52","STITCH","178","650"
"*","53","STITCH","189","646"
"*","54","STITCH","178","646"
"*","55","STITCH","183","642"
"*","56","STITCH","198","642"
"*","57","STITCH","205","642"
"*","58","STITCH","198","642"
"*","59","STITCH","183","642"
"*","60","STITCH","183","636"
"*","61","STITCH","183","648"
"*","62","STITCH","187","636"
"*","63","STITCH","187","648"
"*","64","STITCH","191","636"
"*","65","STITCH","191","648"
"*","66","STITCH","195","636"
"*","67","STITCH","195","648"
"*","68","STITCH","199","636"
"*","69","STITCH","199","648"
"*","70","STITCH","203","636"
"*","71","STITCH","203","648"
"*","72","STITCH","205","636"
"*","73","STITCH","205","648"
"*","74","STITCH","205","647"
"*","75","STITCH","205","646"
"*","76","STITCH","205","647"
"*","77","STITCH","205","648"
"*","78","END","205","648"
