"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","99"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","41.0"
">","EXTENTS_TOP:","106.0"
">","EXTENTS_RIGHT:","285"
">","EXTENTS_BOTTOM:","693"
">","EXTENTS_WIDTH:","244.0"
">","EXTENTS_HEIGHT:","587.0"
">","COMMAND_STITCH","93"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","100"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2934"
"@","+X","1222"
"@","-Y","2934"
"@","-X","1222"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#291f1e","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","41.0","106.0"
"*","1","JUMP","83.0","213.0"
"*","2","JUMP","124.0","319.0"
"*","3","JUMP","165.0","425.0"
"*","4","JUMP","207.0","532.0"
"*","5","STITCH","248","638"
"*","6","STITCH","248","639"
"*","7","STITCH","248","640"
"*","8","STITCH","248","639"
"*","9","STITCH","248","638"
"*","10","STITCH","248","653"
"*","11","STITCH","248","668"
"*","12","STITCH","250","681"
"*","13","STITCH","260","688"
"*","14","STITCH","272","686"
"*","15","STITCH","279","676"
"*","16","STITCH","280","661"
"*","17","STITCH","280","647"
"*","18","STITCH","280","638"
"*","19","STITCH","280","647"
"*","20","STITCH","280","661"
"*","21","STITCH","279","676"
"*","22","STITCH","272","686"
"*","23","STITCH","260","688"
"*","24","STITCH","250","681"
"*","25","STITCH","248","668"
"*","26","STITCH","248","653"
"*","27","STITCH","248","638"
"*","28","STITCH","242","638"
"*","29","STITCH","253","638"
"*","30","STITCH","242","642"
"*","31","STITCH","253","642"
"*","32","STITCH","242","646"
"*","33","STITCH","253","646"
"*","34","STITCH","242","650"
"*","35","STITCH","253","650"
"*","36","STITCH","242","655"
"*","37","STITCH","253","654"
"*","38","STITCH","242","659"
"*","39","STITCH","253","658"
"*","40","STITCH","242","663"
"*","41","STITCH","253","662"
"*","42","STITCH","242","667"
"*","43","STITCH","253","665"
"*","44","STITCH","242","671"
"*","45","STITCH","253","669"
"*","46","STITCH","242","675"
"*","47","STITCH","253","672"
"*","48","STITCH","243","679"
"*","49","STITCH","253","675"
"*","50","STITCH","245","683"
"*","51","STITCH","254","678"
"*","52","STITCH","247","687"
"*","53","STITCH","255","680"
"*","54","STITCH","251","689"
"*","55","STITCH","257","682"
"*","56","STITCH","255","691"
"*","57","STITCH","259","682"
"*","58","STITCH","259","692"
"*","59","STITCH","261","683"
"*","60","STITCH","263","693"
"*","61","STITCH","263","683"
"*","62","STITCH","268","692"
"*","63","STITCH","266","683"
"*","64","STITCH","272","692"
"*","65","STITCH","268","683"
"*","66","STITCH","276","690"
"*","67","STITCH","270","682"
"*","68","STITCH","280","687"
"*","69","STITCH","272","680"
"*","70","STITCH","282","684"
"*","71","STITCH","273","678"
"*","72","STITCH","284","680"
"*","73","STITCH","274","675"
"*","74","STITCH","285","676"
"*","75","STITCH","274","673"
"*","76","STITCH","285","671"
"*","77","STITCH","274","670"
"*","78","STITCH","285","667"
"*","79","STITCH","274","666"
"*","80","STITCH","285","663"
"*","81","STITCH","274","662"
"*","82","STITCH","285","659"
"*","83","STITCH","274","658"
"*","84","STITCH","285","655"
"*","85","STITCH","274","654"
"*","86","STITCH","285","651"
"*","87","STITCH","274","651"
"*","88","STITCH","285","647"
"*","89","STITCH","274","647"
"*","90","STITCH","285","643"
"*","91","STITCH","274","643"
"*","92","STITCH","285","638"
"*","93","STITCH","274","638"
"*","94","STITCH","275","638"
"*","95","STITCH","276","638"
"*","96","STITCH","275","638"
"*","97","STITCH","274","638"
"*","98","END","274","638"
