"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","92"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","55.0"
">","EXTENTS_TOP:","106.0"
">","EXTENTS_RIGHT:","372"
">","EXTENTS_BOTTOM:","690"
">","EXTENTS_WIDTH:","317.0"
">","EXTENTS_HEIGHT:","584.0"
">","COMMAND_STITCH","86"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","93"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2920"
"@","+X","1591"
"@","-Y","2920"
"@","-X","1591"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#32a096","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","55.0","106.0"
"*","1","JUMP","109.0","213.0"
"*","2","JUMP","164.0","319.0"
"*","3","JUMP","218.0","425.0"
"*","4","JUMP","273.0","532.0"
"*","5","STITCH","327","638"
"*","6","STITCH","327","639"
"*","7","STITCH","327","640"
"*","8","STITCH","327","639"
"*","9","STITCH","327","638"
"*","10","STITCH","332","652"
"*","11","STITCH","337","666"
"*","12","STITCH","343","680"
"*","13","STITCH","346","690"
"*","14","STITCH","343","680"
"*","15","STITCH","337","666"
"*","16","STITCH","332","652"
"*","17","STITCH","327","638"
"*","18","STITCH","321","638"
"*","19","STITCH","332","638"
"*","20","STITCH","323","642"
"*","21","STITCH","334","642"
"*","22","STITCH","324","646"
"*","23","STITCH","335","646"
"*","24","STITCH","325","650"
"*","25","STITCH","337","650"
"*","26","STITCH","327","653"
"*","27","STITCH","338","653"
"*","28","STITCH","328","657"
"*","29","STITCH","339","657"
"*","30","STITCH","330","661"
"*","31","STITCH","341","661"
"*","32","STITCH","331","665"
"*","33","STITCH","342","665"
"*","34","STITCH","332","668"
"*","35","STITCH","344","668"
"*","36","STITCH","334","672"
"*","37","STITCH","345","672"
"*","38","STITCH","335","676"
"*","39","STITCH","346","676"
"*","40","STITCH","337","680"
"*","41","STITCH","348","679"
"*","42","STITCH","338","683"
"*","43","STITCH","350","683"
"*","44","STITCH","340","687"
"*","45","STITCH","350","686"
"*","46","STITCH","341","690"
"*","47","STITCH","350","689"
"*","48","STITCH","348","689"
"*","49","STITCH","352","676"
"*","50","STITCH","358","662"
"*","51","STITCH","363","648"
"*","52","STITCH","367","638"
"*","53","STITCH","363","648"
"*","54","STITCH","358","662"
"*","55","STITCH","352","676"
"*","56","STITCH","348","689"
"*","57","STITCH","353","690"
"*","58","STITCH","343","689"
"*","59","STITCH","354","686"
"*","60","STITCH","343","685"
"*","61","STITCH","355","682"
"*","62","STITCH","344","682"
"*","63","STITCH","357","679"
"*","64","STITCH","346","678"
"*","65","STITCH","358","675"
"*","66","STITCH","347","675"
"*","67","STITCH","360","671"
"*","68","STITCH","349","671"
"*","69","STITCH","361","667"
"*","70","STITCH","350","667"
"*","71","STITCH","363","664"
"*","72","STITCH","351","664"
"*","73","STITCH","364","660"
"*","74","STITCH","353","660"
"*","75","STITCH","365","656"
"*","76","STITCH","354","656"
"*","77","STITCH","367","652"
"*","78","STITCH","356","652"
"*","79","STITCH","368","649"
"*","80","STITCH","357","649"
"*","81","STITCH","370","645"
"*","82","STITCH","358","645"
"*","83","STITCH","371","641"
"*","84","STITCH","360","641"
"*","85","STITCH","372","638"
"*","86","STITCH","361","638"
"*","87","STITCH","362","638"
"*","88","STITCH","362","638"
"*","89","STITCH","362","638"
"*","90","STITCH","361","638"
"*","91","END","361","638"
