"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","162"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","68.0"
">","EXTENTS_TOP:","106.0"
">","EXTENTS_RIGHT:","473"
">","EXTENTS_BOTTOM:","690"
">","EXTENTS_WIDTH:","405.0"
">","EXTENTS_HEIGHT:","584.0"
">","COMMAND_STITCH","156"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","163"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2920"
"@","+X","2025"
"@","-Y","2920"
"@","-X","2025"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#fd97b3","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","68.0","106.0"
"*","1","JUMP","137.0","213.0"
"*","2","JUMP","205.0","319.0"
"*","3","JUMP","273.0","425.0"
"*","4","JUMP","342.0","532.0"
"*","5","STITCH","410","638"
"*","6","STITCH","410","639"
"*","7","STITCH","410","640"
"*","8","STITCH","410","639"
"*","9","STITCH","410","638"
"*","10","STITCH","413","653"
"*","11","STITCH","417","667"
"*","12","STITCH","420","682"
"*","13","STITCH","422","689"
"*","14","STITCH","420","682"
"*","15","STITCH","417","667"
"*","16","STITCH","413","653"
"*","17","STITCH","410","638"
"*","18","STITCH","415","638"
"*","19","STITCH","404","638"
"*","20","STITCH","416","642"
"*","21","STITCH","405","642"
"*","22","STITCH","417","646"
"*","23","STITCH","406","646"
"*","24","STITCH","418","650"
"*","25","STITCH","407","650"
"*","26","STITCH","419","654"
"*","27","STITCH","408","654"
"*","28","STITCH","420","658"
"*","29","STITCH","409","658"
"*","30","STITCH","421","662"
"*","31","STITCH","410","662"
"*","32","STITCH","422","666"
"*","33","STITCH","411","665"
"*","34","STITCH","423","669"
"*","35","STITCH","412","669"
"*","36","STITCH","424","673"
"*","37","STITCH","413","673"
"*","38","STITCH","425","677"
"*","39","STITCH","414","677"
"*","40","STITCH","426","681"
"*","41","STITCH","415","681"
"*","42","STITCH","428","684"
"*","43","STITCH","416","685"
"*","44","STITCH","428","689"
"*","45","STITCH","417","690"
"*","46","STITCH","425","689"
"*","47","STITCH","429","675"
"*","48","STITCH","432","661"
"*","49","STITCH","436","646"
"*","50","STITCH","437","640"
"*","51","STITCH","436","646"
"*","52","STITCH","432","661"
"*","53","STITCH","429","675"
"*","54","STITCH","425","689"
"*","55","STITCH","430","690"
"*","56","STITCH","420","689"
"*","57","STITCH","431","686"
"*","58","STITCH","420","685"
"*","59","STITCH","432","682"
"*","60","STITCH","422","682"
"*","61","STITCH","433","678"
"*","62","STITCH","423","678"
"*","63","STITCH","434","674"
"*","64","STITCH","424","674"
"*","65","STITCH","435","670"
"*","66","STITCH","425","670"
"*","67","STITCH","436","667"
"*","68","STITCH","426","666"
"*","69","STITCH","437","663"
"*","70","STITCH","427","663"
"*","71","STITCH","438","659"
"*","72","STITCH","428","659"
"*","73","STITCH","439","655"
"*","74","STITCH","429","655"
"*","75","STITCH","440","651"
"*","76","STITCH","429","651"
"*","77","STITCH","441","647"
"*","78","STITCH","430","647"
"*","79","STITCH","442","644"
"*","80","STITCH","431","643"
"*","81","STITCH","442","640"
"*","82","STITCH","432","640"
"*","83","STITCH","440","640"
"*","84","STITCH","443","655"
"*","85","STITCH","447","669"
"*","86","STITCH","451","683"
"*","87","STITCH","452","689"
"*","88","STITCH","451","683"
"*","89","STITCH","447","669"
"*","90","STITCH","443","655"
"*","91","STITCH","440","640"
"*","92","STITCH","435","641"
"*","93","STITCH","445","640"
"*","94","STITCH","435","645"
"*","95","STITCH","446","644"
"*","96","STITCH","436","648"
"*","97","STITCH","447","648"
"*","98","STITCH","437","652"
"*","99","STITCH","448","652"
"*","100","STITCH","438","656"
"*","101","STITCH","449","656"
"*","102","STITCH","439","659"
"*","103","STITCH","450","659"
"*","104","STITCH","440","663"
"*","105","STITCH","451","663"
"*","106","STITCH","441","667"
"*","107","STITCH","452","667"
"*","108","STITCH","442","671"
"*","109","STITCH","453","671"
"*","110","STITCH","443","675"
"*","111","STITCH","454","675"
"*","112","STITCH","444","679"
"*","113","STITCH","455","678"
"*","114","STITCH","445","683"
"*","115","STITCH","456","682"
