"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","106"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","85.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","554"
">","EXTENTS_BOTTOM:","690"
">","EXTENTS_WIDTH:","469.0"
">","EXTENTS_HEIGHT:","575.0"
">","COMMAND_STITCH","100"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","107"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2874"
"@","+X","2347"
"@","-Y","2874"
"@","-X","2347"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#a563d4","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","85.0","115.0"
"*","1","JUMP","171.0","230.0"
"*","2","JUMP","256.0","345.0"
"*","3","JUMP","341.0","460.0"
"*","4","JUMP","427.0","575.0"
"*","5","STITCH","512","690"
"*","6","STITCH","513","689"
"*","7","STITCH","513","688"
"*","8","STITCH","513","689"
"*","9","STITCH","512","690"
"*","10","STITCH","520","679"
"*","11","STITCH","529","665"
"*","12","STITCH","520","679"
"*","13","STITCH","512","690"
"*","14","STITCH","506","690"
"*","15","STITCH","518","690"
"*","16","STITCH","509","686"
"*","17","STITCH","520","687"
"*","18","STITCH","511","683"
"*","19","STITCH","521","685"
"*","20","STITCH","513","679"
"*","21","STITCH","523","682"
"*","22","STITCH","516","676"
"*","23","STITCH","525","680"
"*","24","STITCH","518","672"
"*","25","STITCH","526","678"
"*","26","STITCH","520","668"
"*","27","STITCH","528","675"
"*","28","STITCH","523","665"
"*","29","STITCH","530","673"
"*","30","STITCH","526","661"
"*","31","STITCH","532","670"
"*","32","STITCH","529","660"
"*","33","STITCH","520","647"
"*","34","STITCH","515","639"
"*","35","STITCH","520","638"
"*","36","STITCH","509","638"
"*","37","STITCH","522","641"
"*","38","STITCH","511","642"
"*","39","STITCH","524","643"
"*","40","STITCH","513","645"
"*","41","STITCH","525","646"
"*","42","STITCH","516","649"
"*","43","STITCH","527","648"
"*","44","STITCH","518","653"
"*","45","STITCH","529","651"
"*","46","STITCH","520","656"
"*","47","STITCH","530","653"
"*","48","STITCH","523","660"
"*","49","STITCH","532","656"
"*","50","STITCH","525","664"
"*","51","STITCH","533","660"
"*","52","STITCH","541","647"
"*","53","STITCH","547","639"
"*","54","STITCH","542","638"
"*","55","STITCH","553","638"
"*","56","STITCH","540","641"
"*","57","STITCH","551","642"
"*","58","STITCH","538","643"
"*","59","STITCH","549","645"
"*","60","STITCH","537","645"
"*","61","STITCH","546","649"
"*","62","STITCH","535","648"
"*","63","STITCH","544","653"
"*","64","STITCH","534","650"
"*","65","STITCH","542","656"
"*","66","STITCH","532","652"
"*","67","STITCH","539","660"
"*","68","STITCH","531","655"
"*","69","STITCH","537","663"
"*","70","STITCH","530","656"
"*","71","STITCH","536","665"
"*","72","STITCH","529","660"
"*","73","STITCH","537","671"
"*","74","STITCH","544","683"
"*","75","STITCH","549","690"
"*","76","STITCH","544","683"
"*","77","STITCH","537","671"
"*","78","STITCH","529","660"
"*","79","STITCH","525","664"
"*","80","STITCH","532","656"
"*","81","STITCH","527","667"
"*","82","STITCH","535","659"
"*","83","STITCH","529","669"
"*","84","STITCH","537","663"
"*","85","STITCH","531","672"
"*","86","STITCH","539","666"
"*","87","STITCH","532","675"
"*","88","STITCH","542","670"
"*","89","STITCH","534","677"
"*","90","STITCH","544","673"
"*","91","STITCH","536","680"
"*","92","STITCH","546","677"
"*","93","STITCH","538","683"
"*","94","STITCH","548","680"
"*","95","STITCH","540","685"
"*","96","STITCH","551","684"
"*","97","STITCH","542","688"
"*","98","STITCH","553","687"
"*","99","STITCH","543","690"
"*","100","STITCH","554","690"
"*","101","STITCH","554","690"
"*","102","STITCH","553","690"
"*","103","STITCH","554","690"
"*","104","STITCH","554","690"
"*","105","END","554","690"
