"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","78"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","99.0"
">","EXTENTS_TOP:","106.0"
">","EXTENTS_RIGHT:","633"
">","EXTENTS_BOTTOM:","690"
">","EXTENTS_WIDTH:","534.0"
">","EXTENTS_HEIGHT:","584.0"
">","COMMAND_STITCH","72"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","79"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2919"
"@","+X","2669"
"@","-Y","2919"
"@","-X","2669"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#61b752","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","99.0","106.0"
"*","1","JUMP","197.0","213.0"
"*","2","JUMP","296.0","319.0"
"*","3","JUMP","395.0","425.0"
"*","4","JUMP","493.0","532.0"
"*","5","STITCH","592","638"
"*","6","STITCH","592","639"
"*","7","STITCH","592","640"
"*","8","STITCH","592","639"
"*","9","STITCH","592","638"
"*","10","STITCH","599","649"
"*","11","STITCH","608","662"
"*","12","STITCH","599","649"
"*","13","STITCH","592","638"
"*","14","STITCH","586","638"
"*","15","STITCH","597","638"
"*","16","STITCH","588","642"
"*","17","STITCH","599","641"
"*","18","STITCH","590","645"
"*","19","STITCH","601","643"
"*","20","STITCH","592","649"
"*","21","STITCH","603","646"
"*","22","STITCH","595","653"
"*","23","STITCH","604","648"
"*","24","STITCH","597","656"
"*","25","STITCH","606","650"
"*","26","STITCH","599","660"
"*","27","STITCH","608","653"
"*","28","STITCH","602","663"
"*","29","STITCH","609","655"
"*","30","STITCH","605","667"
"*","31","STITCH","611","658"
"*","32","STITCH","609","663"
"*","33","STITCH","609","678"
"*","34","STITCH","609","689"
"*","35","STITCH","609","675"
"*","36","STITCH","612","661"
"*","37","STITCH","620","648"
"*","38","STITCH","627","638"
"*","39","STITCH","620","648"
"*","40","STITCH","612","661"
"*","41","STITCH","609","675"
"*","42","STITCH","609","690"
"*","43","STITCH","604","690"
"*","44","STITCH","615","690"
"*","45","STITCH","604","686"
"*","46","STITCH","615","686"
"*","47","STITCH","604","682"
"*","48","STITCH","615","682"
"*","49","STITCH","604","678"
"*","50","STITCH","615","678"
"*","51","STITCH","604","674"
"*","52","STITCH","615","674"
"*","53","STITCH","604","670"
"*","54","STITCH","615","670"
"*","55","STITCH","604","666"
"*","56","STITCH","615","666"
"*","57","STITCH","605","662"
"*","58","STITCH","617","662"
"*","59","STITCH","607","659"
"*","60","STITCH","619","659"
"*","61","STITCH","610","656"
"*","62","STITCH","621","656"
"*","63","STITCH","612","652"
"*","64","STITCH","623","652"
"*","65","STITCH","614","649"
"*","66","STITCH","626","649"
"*","67","STITCH","616","646"
"*","68","STITCH","628","646"
"*","69","STITCH","618","642"
"*","70","STITCH","630","642"
"*","71","STITCH","621","638"
"*","72","STITCH","633","638"
"*","73","STITCH","632","638"
"*","74","STITCH","631","638"
"*","75","STITCH","632","638"
"*","76","STITCH","633","638"
"*","77","END","633","638"
