"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","111"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","111.0"
">","EXTENTS_TOP:","107.0"
">","EXTENTS_RIGHT:","710"
">","EXTENTS_BOTTOM:","692"
">","EXTENTS_WIDTH:","599.0"
">","EXTENTS_HEIGHT:","585.0"
">","COMMAND_STITCH","105"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","112"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","2924"
"@","+X","2995"
"@","-Y","2924"
"@","-X","2995"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#a8115f","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","111.0","107.0"
"*","1","JUMP","223.0","214.0"
"*","2","JUMP","334.0","321.0"
"*","3","JUMP","445.0","428.0"
"*","4","JUMP","557.0","535.0"
"*","5","STITCH","668","642"
"*","6","STITCH","668","642"
"*","7","STITCH","669","642"
"*","8","STITCH","668","642"
"*","9","STITCH","668","642"
"*","10","STITCH","683","642"
"*","11","STITCH","697","642"
"*","12","STITCH","708","642"
"*","13","STITCH","697","642"
"*","14","STITCH","683","642"
"*","15","STITCH","668","642"
"*","16","STITCH","668","648"
"*","17","STITCH","668","636"
"*","18","STITCH","672","648"
"*","19","STITCH","672","636"
"*","20","STITCH","675","648"
"*","21","STITCH","676","636"
"*","22","STITCH","679","648"
"*","23","STITCH","680","636"
"*","24","STITCH","683","648"
"*","25","STITCH","684","636"
"*","26","STITCH","687","648"
"*","27","STITCH","688","636"
"*","28","STITCH","691","648"
"*","29","STITCH","692","636"
"*","30","STITCH","695","648"
"*","31","STITCH","696","636"
"*","32","STITCH","699","648"
"*","33","STITCH","700","636"
"*","34","STITCH","703","648"
"*","35","STITCH","704","636"
"*","36","STITCH","707","648"
"*","37","STITCH","708","636"
"*","38","STITCH","704","645"
"*","39","STITCH","694","657"
"*","40","STITCH","684","668"
"*","41","STITCH","674","679"
"*","42","STITCH","671","683"
"*","43","STITCH","674","679"
"*","44","STITCH","684","668"
"*","45","STITCH","694","657"
"*","46","STITCH","704","645"
"*","47","STITCH","697","646"
"*","48","STITCH","710","645"
"*","49","STITCH","695","649"
"*","50","STITCH","707","648"
"*","51","STITCH","692","652"
"*","52","STITCH","705","651"
"*","53","STITCH","690","655"
"*","54","STITCH","702","654"
"*","55","STITCH","687","658"
"*","56","STITCH","700","657"
"*","57","STITCH","684","661"
"*","58","STITCH","697","660"
"*","59","STITCH","682","664"
"*","60","STITCH","694","663"
"*","61","STITCH","679","667"
"*","62","STITCH","692","666"
"*","63","STITCH","676","670"
"*","64","STITCH","689","669"
"*","65","STITCH","674","673"
"*","66","STITCH","687","672"
"*","67","STITCH","671","676"
"*","68","STITCH","684","675"
"*","69","STITCH","669","679"
"*","70","STITCH","681","678"
"*","71","STITCH","666","682"
"*","72","STITCH","679","681"
"*","73","STITCH","665","683"
"*","74","STITCH","678","682"
"*","75","STITCH","667","686"
"*","76","STITCH","682","686"
"*","77","STITCH","697","686"
"*","78","STITCH","709","686"
"*","79","STITCH","697","686"
"*","80","STITCH","682","686"
"*","81","STITCH","667","686"
"*","82","STITCH","667","692"
"*","83","STITCH","667","681"
"*","84","STITCH","671","692"
"*","85","STITCH","671","681"
"*","86","STITCH","675","692"
"*","87","STITCH","675","681"
"*","88","STITCH","679","692"
"*","89","STITCH","679","681"
"*","90","STITCH","683","692"
"*","91","STITCH","683","681"
"*","92","STITCH","687","692"
"*","93","STITCH","687","681"
"*","94","STITCH","691","692"
"*","95","STITCH","691","681"
"*","96","STITCH","695","692"
"*","97","STITCH","695","681"
"*","98","STITCH","699","692"
"*","99","STITCH","699","681"
"*","100","STITCH","703","692"
"*","101","STITCH","703","681"
"*","102","STITCH","707","692"
"*","103","STITCH","707","681"
"*","104","STITCH","709","692"
"*","105","STITCH","709","681"
"*","106","STITCH","709","681"
"*","107","STITCH","709","682"
"*","108","STITCH","709","681"
"*","109","STITCH","709","681"
"*","110","END","709","681"
