"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","108"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","66"
">","EXTENTS_TOP:","107"
">","EXTENTS_RIGHT:","103"
">","EXTENTS_BOTTOM:","151"
">","EXTENTS_WIDTH:","37"
">","EXTENTS_HEIGHT:","44"
">","COMMAND_STITCH","107"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","109"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","222"
"@","+X","182"
"@","-Y","222"
"@","-X","182"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#03970e","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","STITCH","71","115"
"*","1","STITCH","72","115"
"*","2","STITCH","72","114"
"*","3","STITCH","72","115"
"*","4","STITCH","71","115"
"*","5","STITCH","84","112"
"*","6","STITCH","95","117"
"*","7","STITCH","97","124"
"*","8","STITCH","95","117"
"*","9","STITCH","84","112"
"*","10","STITCH","71","115"
"*","11","STITCH","71","110"
"*","12","STITCH","71","120"
"*","13","STITCH","74","108"
"*","14","STITCH","74","118"
"*","15","STITCH","78","107"
"*","16","STITCH","78","117"
"*","17","STITCH","82","107"
"*","18","STITCH","81","117"
"*","19","STITCH","87","107"
"*","20","STITCH","84","117"
"*","21","STITCH","91","108"
"*","22","STITCH","86","117"
"*","23","STITCH","95","110"
"*","24","STITCH","88","117"
"*","25","STITCH","98","113"
"*","26","STITCH","90","118"
"*","27","STITCH","101","116"
"*","28","STITCH","91","120"
"*","29","STITCH","102","121"
"*","30","STITCH","92","122"
"*","31","STITCH","102","124"
"*","32","STITCH","92","124"
"*","33","STITCH","94","126"
"*","34","STITCH","80","127"
"*","35","STITCH","71","134"
"*","36","STITCH","75","145"
"*","37","STITCH","88","146"
"*","38","STITCH","95","140"
"*","39","STITCH","88","146"
"*","40","STITCH","75","145"
"*","41","STITCH","71","134"
"*","42","STITCH","80","127"
"*","43","STITCH","94","126"
"*","44","STITCH","94","122"
"*","45","STITCH","94","131"
"*","46","STITCH","90","122"
"*","47","STITCH","91","131"
"*","48","STITCH","86","122"
"*","49","STITCH","88","131"
"*","50","STITCH","82","122"
"*","51","STITCH","84","131"
"*","52","STITCH","78","123"
"*","53","STITCH","81","132"
"*","54","STITCH","73","125"
"*","55","STITCH","79","132"
"*","56","STITCH","70","127"
"*","57","STITCH","78","133"
"*","58","STITCH","67","131"
"*","59","STITCH","77","134"
"*","60","STITCH","66","136"
"*","61","STITCH","76","136"
"*","62","STITCH","66","140"
"*","63","STITCH","76","138"
"*","64","STITCH","68","144"
"*","65","STITCH","77","140"
"*","66","STITCH","70","148"
"*","67","STITCH","78","141"
"*","68","STITCH","74","150"
"*","69","STITCH","80","142"
"*","70","STITCH","78","151"
"*","71","STITCH","83","142"
"*","72","STITCH","82","151"
"*","73","STITCH","85","142"
"*","74","STITCH","87","151"
"*","75","STITCH","89","141"
"*","76","STITCH","91","150"
"*","77","STITCH","91","138"
"*","78","STITCH","94","147"
"*","79","STITCH","93","136"
"*","80","STITCH","95","146"
"*","81","STITCH","95","134"
"*","82","STITCH","97","140"
"*","83","STITCH","97","126"
"*","84","STITCH","97","124"
"*","85","STITCH","97","139"
"*","86","STITCH","97","149"
"*","87","STITCH","97","139"
"*","88","STITCH","97","124"
"*","89","STITCH","102","124"
"*","90","STITCH","92","124"
"*","91","STITCH","102","128"
"*","92","STITCH","92","128"
"*","93","STITCH","102","132"
"*","94","STITCH","92","132"
"*","95","STITCH","103","136"
"*","96","STITCH","92","136"
"*","97","STITCH","102","140"
"*","98","STITCH","92","140"
"*","99","STITCH","102","144"
"*","100","STITCH","92","144"
"*","101","STITCH","102","149"
"*","102","STITCH","92","149"
"*","103","STITCH","93","149"
"*","104","STITCH","94","149"
"*","105","STITCH","93","149"
"*","106","STITCH","92","149"
"*","107","END","92","149"
