"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","109"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","75.0"
">","EXTENTS_TOP:","75.0"
">","EXTENTS_RIGHT:","183"
">","EXTENTS_BOTTOM:","151"
">","EXTENTS_WIDTH:","108.0"
">","EXTENTS_HEIGHT:","76.0"
">","COMMAND_STITCH","107"
">","COMMAND_JUMP","1"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","110"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","386"
"@","+X","541"
"@","-Y","386"
"@","-X","541"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#318c0b","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","75.0","75.0"
"*","1","STITCH","150","149"
"*","2","STITCH","150","148"
"*","3","STITCH","150","147"
"*","4","STITCH","150","148"
"*","5","STITCH","150","149"
"*","6","STITCH","150","134"
"*","7","STITCH","150","114"
"*","8","STITCH","150","134"
"*","9","STITCH","150","149"
"*","10","STITCH","145","149"
"*","11","STITCH","155","149"
"*","12","STITCH","145","145"
"*","13","STITCH","155","145"
"*","14","STITCH","145","141"
"*","15","STITCH","155","141"
"*","16","STITCH","145","137"
"*","17","STITCH","155","137"
"*","18","STITCH","145","133"
"*","19","STITCH","155","133"
"*","20","STITCH","145","129"
"*","21","STITCH","155","129"
"*","22","STITCH","145","125"
"*","23","STITCH","155","125"
"*","24","STITCH","145","121"
"*","25","STITCH","155","121"
"*","26","STITCH","145","117"
"*","27","STITCH","155","117"
"*","28","STITCH","145","114"
"*","29","STITCH","155","114"
"*","30","STITCH","150","114"
"*","31","STITCH","150","99"
"*","32","STITCH","150","96"
"*","33","STITCH","145","95"
"*","34","STITCH","155","95"
"*","35","STITCH","145","99"
"*","36","STITCH","155","99"
"*","37","STITCH","145","103"
"*","38","STITCH","155","103"
"*","39","STITCH","145","107"
"*","40","STITCH","155","107"
"*","41","STITCH","145","111"
"*","42","STITCH","155","111"
"*","43","STITCH","145","114"
"*","44","STITCH","155","114"
"*","45","STITCH","153","118"
"*","46","STITCH","166","112"
"*","47","STITCH","176","119"
"*","48","STITCH","178","129"
"*","49","STITCH","176","119"
"*","50","STITCH","166","112"
"*","51","STITCH","153","118"
"*","52","STITCH","153","124"
"*","53","STITCH","153","112"
"*","54","STITCH","155","121"
"*","55","STITCH","156","110"
"*","56","STITCH","158","118"
"*","57","STITCH","160","108"
"*","58","STITCH","161","117"
"*","59","STITCH","164","107"
"*","60","STITCH","165","116"
"*","61","STITCH","168","107"
"*","62","STITCH","167","117"
"*","63","STITCH","172","109"
"*","64","STITCH","169","119"
"*","65","STITCH","176","111"
"*","66","STITCH","171","120"
"*","67","STITCH","179","114"
"*","68","STITCH","172","123"
"*","69","STITCH","181","118"
"*","70","STITCH","172","125"
"*","71","STITCH","182","122"
"*","72","STITCH","173","128"
"*","73","STITCH","183","126"
"*","74","STITCH","173","129"
"*","75","STITCH","183","129"
"*","76","STITCH","178","129"
"*","77","STITCH","173","143"
"*","78","STITCH","159","146"
"*","79","STITCH","153","141"
"*","80","STITCH","153","135"
"*","81","STITCH","153","146"
"*","82","STITCH","155","138"
"*","83","STITCH","156","149"
"*","84","STITCH","157","140"
"*","85","STITCH","160","151"
"*","86","STITCH","161","142"
"*","87","STITCH","164","151"
"*","88","STITCH","164","142"
"*","89","STITCH","168","151"
"*","90","STITCH","168","141"
"*","91","STITCH","172","150"
"*","92","STITCH","170","140"
"*","93","STITCH","176","148"
"*","94","STITCH","171","138"
"*","95","STITCH","179","144"
"*","96","STITCH","172","136"
"*","97","STITCH","181","141"
"*","98","STITCH","172","133"
"*","99","STITCH","182","137"
"*","100","STITCH","173","131"
"*","101","STITCH","183","132"
"*","102","STITCH","173","129"
"*","103","STITCH","183","129"
"*","104","STITCH","182","129"
"*","105","STITCH","182","129"
"*","106","STITCH","182","129"
"*","107","STITCH","183","129"
"*","108","END","183","129"
