"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","72"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","113.0"
">","EXTENTS_TOP:","66.0"
">","EXTENTS_RIGHT:","252"
">","EXTENTS_BOTTOM:","151"
">","EXTENTS_WIDTH:","139.0"
">","EXTENTS_HEIGHT:","85.0"
">","COMMAND_STITCH","70"
">","COMMAND_JUMP","1"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","73"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","427"
"@","+X","700"
"@","-Y","427"
"@","-X","700"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#fbcb36","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","113.0","66.0"
"*","1","STITCH","225","132"
"*","2","STITCH","225","131"
"*","3","STITCH","225","130"
"*","4","STITCH","225","131"
"*","5","STITCH","225","132"
"*","6","STITCH","229","118"
"*","7","STITCH","242","112"
"*","8","STITCH","251","114"
"*","9","STITCH","239","112"
"*","10","STITCH","228","118"
"*","11","STITCH","225","131"
"*","12","STITCH","230","143"
"*","13","STITCH","242","147"
"*","14","STITCH","252","144"
"*","15","STITCH","242","147"
"*","16","STITCH","230","143"
"*","17","STITCH","225","131"
"*","18","STITCH","228","118"
"*","19","STITCH","239","112"
"*","20","STITCH","252","115"
"*","21","STITCH","252","110"
"*","22","STITCH","252","120"
"*","23","STITCH","248","108"
"*","24","STITCH","248","118"
"*","25","STITCH","244","108"
"*","26","STITCH","245","117"
"*","27","STITCH","240","107"
"*","28","STITCH","242","117"
"*","29","STITCH","236","108"
"*","30","STITCH","240","117"
"*","31","STITCH","231","109"
"*","32","STITCH","237","117"
"*","33","STITCH","228","111"
"*","34","STITCH","235","118"
"*","35","STITCH","225","114"
"*","36","STITCH","233","120"
"*","37","STITCH","222","118"
"*","38","STITCH","232","122"
"*","39","STITCH","221","122"
"*","40","STITCH","231","125"
"*","41","STITCH","220","126"
"*","42","STITCH","230","127"
"*","43","STITCH","220","130"
"*","44","STITCH","230","130"
"*","45","STITCH","220","135"
"*","46","STITCH","230","133"
"*","47","STITCH","221","139"
"*","48","STITCH","231","135"
"*","49","STITCH","223","143"
"*","50","STITCH","232","137"
"*","51","STITCH","226","146"
"*","52","STITCH","233","139"
"*","53","STITCH","229","149"
"*","54","STITCH","235","141"
"*","55","STITCH","233","150"
"*","56","STITCH","238","142"
"*","57","STITCH","237","151"
"*","58","STITCH","240","142"
"*","59","STITCH","242","151"
"*","60","STITCH","243","142"
"*","61","STITCH","246","151"
"*","62","STITCH","246","142"
"*","63","STITCH","250","150"
"*","64","STITCH","250","140"
"*","65","STITCH","252","149"
"*","66","STITCH","252","139"
"*","67","STITCH","252","140"
"*","68","STITCH","252","141"
"*","69","STITCH","252","140"
"*","70","STITCH","252","139"
"*","71","END","252","139"
