"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","109"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","99.0"
">","EXTENTS_TOP:","44.0"
">","EXTENTS_RIGHT:","329"
">","EXTENTS_BOTTOM:","151"
">","EXTENTS_WIDTH:","230.0"
">","EXTENTS_HEIGHT:","107.0"
">","COMMAND_STITCH","106"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","110"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","537"
"@","+X","1152"
"@","-Y","537"
"@","-X","1152"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#508bb7","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","99.0","44.0"
"*","1","JUMP","197.0","88.0"
"*","2","STITCH","296","132"
"*","3","STITCH","297","131"
"*","4","STITCH","297","131"
"*","5","STITCH","297","131"
"*","6","STITCH","296","132"
"*","7","STITCH","299","118"
"*","8","STITCH","312","112"
"*","9","STITCH","321","117"
"*","10","STITCH","321","119"
"*","11","STITCH","310","112"
"*","12","STITCH","299","118"
"*","13","STITCH","296","131"
"*","14","STITCH","301","143"
"*","15","STITCH","312","147"
"*","16","STITCH","321","139"
"*","17","STITCH","312","147"
"*","18","STITCH","301","143"
"*","19","STITCH","296","131"
"*","20","STITCH","299","118"
"*","21","STITCH","310","112"
"*","22","STITCH","321","119"
"*","23","STITCH","321","112"
"*","24","STITCH","321","126"
"*","25","STITCH","319","110"
"*","26","STITCH","320","122"
"*","27","STITCH","316","108"
"*","28","STITCH","317","119"
"*","29","STITCH","313","108"
"*","30","STITCH","314","117"
"*","31","STITCH","309","107"
"*","32","STITCH","311","116"
"*","33","STITCH","304","108"
"*","34","STITCH","309","116"
"*","35","STITCH","300","109"
"*","36","STITCH","306","117"
"*","37","STITCH","297","112"
"*","38","STITCH","304","119"
"*","39","STITCH","294","115"
"*","40","STITCH","303","121"
"*","41","STITCH","293","119"
"*","42","STITCH","302","124"
"*","43","STITCH","291","123"
"*","44","STITCH","302","126"
"*","45","STITCH","291","128"
"*","46","STITCH","301","129"
"*","47","STITCH","291","132"
"*","48","STITCH","302","131"
"*","49","STITCH","292","136"
"*","50","STITCH","302","134"
"*","51","STITCH","293","141"
"*","52","STITCH","302","136"
"*","53","STITCH","295","144"
"*","54","STITCH","303","138"
"*","55","STITCH","298","148"
"*","56","STITCH","305","140"
"*","57","STITCH","302","150"
"*","58","STITCH","307","142"
"*","59","STITCH","306","151"
"*","60","STITCH","309","142"
"*","61","STITCH","310","151"
"*","62","STITCH","312","142"
"*","63","STITCH","313","151"
"*","64","STITCH","316","141"
"*","65","STITCH","317","150"
"*","66","STITCH","318","138"
"*","67","STITCH","319","148"
"*","68","STITCH","320","135"
"*","69","STITCH","321","146"
"*","70","STITCH","321","133"
"*","71","STITCH","324","148"
"*","72","STITCH","324","133"
"*","73","STITCH","324","118"
"*","74","STITCH","324","103"
"*","75","STITCH","324","96"
"*","76","STITCH","319","95"
"*","77","STITCH","329","95"
"*","78","STITCH","319","99"
"*","79","STITCH","329","99"
"*","80","STITCH","319","103"
"*","81","STITCH","329","103"
"*","82","STITCH","319","107"
"*","83","STITCH","329","107"
"*","84","STITCH","319","111"
"*","85","STITCH","329","111"
"*","86","STITCH","319","115"
"*","87","STITCH","329","115"
"*","88","STITCH","319","119"
"*","89","STITCH","329","119"
"*","90","STITCH","319","123"
"*","91","STITCH","329","123"
"*","92","STITCH","319","127"
"*","93","STITCH","329","127"
"*","94","STITCH","319","131"
"*","95","STITCH","329","131"
"*","96","STITCH","319","135"
"*","97","STITCH","329","135"
"*","98","STITCH","319","139"
"*","99","STITCH","329","139"
"*","100","STITCH","319","143"
"*","101","STITCH","329","143"
"*","102","STITCH","319","149"
"*","103","STITCH","329","149"
"*","104","STITCH","329","149"
"*","105","STITCH","328","149"
"*","106","STITCH","329","149"
"*","107","STITCH","329","149"
"*","108","END","329","149"
