"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","108"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","95.0"
">","EXTENTS_TOP:","32.0"
">","EXTENTS_RIGHT:","409"
">","EXTENTS_BOTTOM:","151"
">","EXTENTS_WIDTH:","314.0"
">","EXTENTS_HEIGHT:","119.0"
">","COMMAND_STITCH","104"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","109"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","597"
"@","+X","1574"
"@","-Y","597"
"@","-X","1574"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#3b2c6d","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","95.0","32.0"
"*","1","JUMP","189.0","64.0"
"*","2","JUMP","284.0","95.0"
"*","3","STITCH","378","127"
"*","4","STITCH","379","127"
"*","5","STITCH","379","127"
"*","6","STITCH","379","127"
"*","7","STITCH","378","127"
"*","8","STITCH","393","127"
"*","9","STITCH","400","127"
"*","10","STITCH","393","127"
"*","11","STITCH","378","127"
"*","12","STITCH","378","132"
"*","13","STITCH","378","123"
"*","14","STITCH","382","132"
"*","15","STITCH","382","123"
"*","16","STITCH","386","132"
"*","17","STITCH","386","123"
"*","18","STITCH","390","132"
"*","19","STITCH","390","123"
"*","20","STITCH","394","132"
"*","21","STITCH","394","123"
"*","22","STITCH","398","132"
"*","23","STITCH","398","122"
"*","24","STITCH","401","132"
"*","25","STITCH","400","122"
"*","26","STITCH","404","128"
"*","27","STITCH","402","116"
"*","28","STITCH","392","108"
"*","29","STITCH","380","112"
"*","30","STITCH","375","123"
"*","31","STITCH","375","136"
"*","32","STITCH","383","145"
"*","33","STITCH","398","146"
"*","34","STITCH","405","143"
"*","35","STITCH","398","146"
"*","36","STITCH","383","145"
"*","37","STITCH","375","136"
"*","38","STITCH","375","123"
"*","39","STITCH","380","112"
"*","40","STITCH","392","108"
"*","41","STITCH","402","116"
"*","42","STITCH","404","128"
"*","43","STITCH","409","128"
"*","44","STITCH","398","128"
"*","45","STITCH","409","124"
"*","46","STITCH","398","126"
"*","47","STITCH","408","120"
"*","48","STITCH","398","123"
"*","49","STITCH","407","115"
"*","50","STITCH","398","121"
"*","51","STITCH","405","111"
"*","52","STITCH","398","119"
"*","53","STITCH","402","108"
"*","54","STITCH","397","116"
"*","55","STITCH","399","105"
"*","56","STITCH","395","115"
"*","57","STITCH","395","104"
"*","58","STITCH","393","114"
"*","59","STITCH","390","103"
"*","60","STITCH","390","113"
"*","61","STITCH","386","104"
"*","62","STITCH","388","113"
"*","63","STITCH","382","105"
"*","64","STITCH","386","114"
"*","65","STITCH","378","107"
"*","66","STITCH","384","115"
"*","67","STITCH","375","110"
"*","68","STITCH","382","117"
"*","69","STITCH","372","114"
"*","70","STITCH","381","119"
"*","71","STITCH","371","118"
"*","72","STITCH","380","122"
"*","73","STITCH","370","122"
"*","74","STITCH","380","124"
"*","75","STITCH","369","126"
"*","76","STITCH","380","126"
"*","77","STITCH","369","131"
"*","78","STITCH","380","129"
"*","79","STITCH","370","135"
"*","80","STITCH","380","131"
"*","81","STITCH","371","139"
"*","82","STITCH","380","134"
"*","83","STITCH","373","143"
"*","84","STITCH","381","136"
"*","85","STITCH","376","146"
"*","86","STITCH","383","138"
"*","87","STITCH","380","149"
"*","88","STITCH","384","140"
"*","89","STITCH","383","150"
"*","90","STITCH","387","141"
"*","91","STITCH","387","151"
"*","92","STITCH","391","142"
"*","93","STITCH","392","151"
"*","94","STITCH","394","142"
"*","95","STITCH","396","151"
"*","96","STITCH","398","141"
"*","97","STITCH","400","150"
"*","98","STITCH","401","140"
"*","99","STITCH","404","149"
"*","100","STITCH","404","138"
"*","101","STITCH","405","148"
"*","102","STITCH","405","138"
"*","103","STITCH","405","139"
"*","104","STITCH","405","139"
"*","105","STITCH","405","139"
"*","106","STITCH","405","138"
"*","107","END","405","138"
