"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","80"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","111.0"
">","EXTENTS_TOP:","29.0"
">","EXTENTS_RIGHT:","470"
">","EXTENTS_BOTTOM:","149"
">","EXTENTS_WIDTH:","359.0"
">","EXTENTS_HEIGHT:","120.0"
">","COMMAND_STITCH","76"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","81"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","598"
"@","+X","1793"
"@","-Y","598"
"@","-X","1793"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#b8d007","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","111.0","29.0"
"*","1","JUMP","223.0","58.0"
"*","2","JUMP","334.0","87.0"
"*","3","STITCH","445","116"
"*","4","STITCH","446","116"
"*","5","STITCH","447","116"
"*","6","STITCH","446","116"
"*","7","STITCH","445","116"
"*","8","STITCH","451","116"
"*","9","STITCH","445","116"
"*","10","STITCH","445","111"
"*","11","STITCH","445","121"
"*","12","STITCH","449","111"
"*","13","STITCH","449","121"
"*","14","STITCH","451","111"
"*","15","STITCH","451","121"
"*","16","STITCH","455","116"
"*","17","STITCH","468","116"
"*","18","STITCH","468","121"
"*","19","STITCH","468","111"
"*","20","STITCH","464","121"
"*","21","STITCH","464","111"
"*","22","STITCH","460","121"
"*","23","STITCH","460","111"
"*","24","STITCH","458","121"
"*","25","STITCH","458","111"
"*","26","STITCH","455","111"
"*","27","STITCH","460","98"
"*","28","STITCH","469","98"
"*","29","STITCH","457","100"
"*","30","STITCH","454","111"
"*","31","STITCH","454","126"
"*","32","STITCH","454","141"
"*","33","STITCH","454","149"
"*","34","STITCH","454","141"
"*","35","STITCH","454","126"
"*","36","STITCH","454","111"
"*","37","STITCH","457","100"
"*","38","STITCH","470","98"
"*","39","STITCH","470","102"
"*","40","STITCH","470","93"
"*","41","STITCH","466","102"
"*","42","STITCH","466","93"
"*","43","STITCH","464","102"
"*","44","STITCH","461","93"
"*","45","STITCH","462","103"
"*","46","STITCH","457","94"
"*","47","STITCH","461","104"
"*","48","STITCH","453","97"
"*","49","STITCH","460","105"
"*","50","STITCH","450","100"
"*","51","STITCH","460","106"
"*","52","STITCH","449","105"
"*","53","STITCH","460","109"
"*","54","STITCH","449","109"
"*","55","STITCH","460","113"
"*","56","STITCH","449","113"
"*","57","STITCH","460","117"
"*","58","STITCH","449","117"
"*","59","STITCH","460","121"
"*","60","STITCH","449","121"
"*","61","STITCH","460","125"
"*","62","STITCH","449","125"
"*","63","STITCH","460","129"
"*","64","STITCH","449","129"
"*","65","STITCH","460","133"
"*","66","STITCH","449","133"
"*","67","STITCH","460","137"
"*","68","STITCH","449","137"
"*","69","STITCH","460","141"
"*","70","STITCH","449","141"
"*","71","STITCH","460","145"
"*","72","STITCH","449","145"
"*","73","STITCH","460","149"
"*","74","STITCH","449","149"
"*","75","STITCH","450","149"
"*","76","STITCH","451","149"
"*","77","STITCH","450","149"
"*","78","STITCH","449","149"
"*","79","END","449","149"
