"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","128"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","102.0"
">","EXTENTS_TOP:","32.0"
">","EXTENTS_RIGHT:","542"
">","EXTENTS_BOTTOM:","167"
">","EXTENTS_WIDTH:","440.0"
">","EXTENTS_HEIGHT:","135.0"
">","COMMAND_STITCH","123"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","129"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","677"
"@","+X","2198"
"@","-Y","677"
"@","-X","2198"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#015a29","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","102.0","32.0"
"*","1","JUMP","204.0","64.0"
"*","2","JUMP","306.0","96.0"
"*","3","JUMP","408.0","128.0"
"*","4","STITCH","510","160"
"*","5","STITCH","511","160"
"*","6","STITCH","511","160"
"*","7","STITCH","511","160"
"*","8","STITCH","510","160"
"*","9","STITCH","523","162"
"*","10","STITCH","534","156"
"*","11","STITCH","536","144"
"*","12","STITCH","534","156"
"*","13","STITCH","523","162"
"*","14","STITCH","510","160"
"*","15","STITCH","510","165"
"*","16","STITCH","510","154"
"*","17","STITCH","514","166"
"*","18","STITCH","513","156"
"*","19","STITCH","518","167"
"*","20","STITCH","517","157"
"*","21","STITCH","522","167"
"*","22","STITCH","520","157"
"*","23","STITCH","526","167"
"*","24","STITCH","523","157"
"*","25","STITCH","531","166"
"*","26","STITCH","525","157"
"*","27","STITCH","534","164"
"*","28","STITCH","527","156"
"*","29","STITCH","537","161"
"*","30","STITCH","529","154"
"*","31","STITCH","539","157"
"*","32","STITCH","530","152"
"*","33","STITCH","541","153"
"*","34","STITCH","531","150"
"*","35","STITCH","541","149"
"*","36","STITCH","531","148"
"*","37","STITCH","542","144"
"*","38","STITCH","531","144"
"*","39","STITCH","533","138"
"*","40","STITCH","523","146"
"*","41","STITCH","512","140"
"*","42","STITCH","509","128"
"*","43","STITCH","513","116"
"*","44","STITCH","526","113"
"*","45","STITCH","533","120"
"*","46","STITCH","526","113"
"*","47","STITCH","513","116"
"*","48","STITCH","509","128"
"*","49","STITCH","512","140"
"*","50","STITCH","523","146"
"*","51","STITCH","533","138"
"*","52","STITCH","533","146"
"*","53","STITCH","533","131"
"*","54","STITCH","531","148"
"*","55","STITCH","532","135"
"*","56","STITCH","528","150"
"*","57","STITCH","530","138"
"*","58","STITCH","525","151"
"*","59","STITCH","526","140"
"*","60","STITCH","521","151"
"*","61","STITCH","524","141"
"*","62","STITCH","517","151"
"*","63","STITCH","521","141"
"*","64","STITCH","513","149"
"*","65","STITCH","519","140"
"*","66","STITCH","509","146"
"*","67","STITCH","517","139"
"*","68","STITCH","507","142"
"*","69","STITCH","516","137"
"*","70","STITCH","505","139"
"*","71","STITCH","515","135"
"*","72","STITCH","504","134"
"*","73","STITCH","514","132"
"*","74","STITCH","503","130"
"*","75","STITCH","514","130"
"*","76","STITCH","503","126"
"*","77","STITCH","514","127"
"*","78","STITCH","504","121"
"*","79","STITCH","514","125"
"*","80","STITCH","506","117"
"*","81","STITCH","515","123"
"*","82","STITCH","508","113"
"*","83","STITCH","516","121"
"*","84","STITCH","511","110"
"*","85","STITCH","517","119"
"*","86","STITCH","515","108"
"*","87","STITCH","519","118"
"*","88","STITCH","519","107"
"*","89","STITCH","521","117"
"*","90","STITCH","523","107"
"*","91","STITCH","525","117"
"*","92","STITCH","526","108"
"*","93","STITCH","529","119"
"*","94","STITCH","530","110"
"*","95","STITCH","531","122"
"*","96","STITCH","533","113"
"*","97","STITCH","533","126"
"*","98","STITCH","536","110"
"*","99","STITCH","536","125"
"*","100","STITCH","536","144"
"*","101","STITCH","536","125"
"*","102","STITCH","536","110"
"*","103","STITCH","542","110"
"*","104","STITCH","531","110"
"*","105","STITCH","542","114"
"*","106","STITCH","531","114"
"*","107","STITCH","542","118"
"*","108","STITCH","531","118"
"*","109","STITCH","542","122"
"*","110","STITCH","531","122"
"*","111","STITCH","542","126"
"*","112","STITCH","531","126"
"*","113","STITCH","542","130"
"*","114","STITCH","531","130"
"*","115","STITCH","542","134"
"*","116","STITCH","531","134"
"*","117","STITCH","542","138"
"*","118","STITCH","531","138"
"*","119","STITCH","542","142"
"*","120","STITCH","531","142"
"*","121","STITCH","542","144"
"*","122","STITCH","531","144"
"*","123","STITCH","532","144"
"*","124","STITCH","533","144"
"*","125","STITCH","532","144"
"*","126","STITCH","531","144"
"*","127","END","531","144"
