"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","98"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","118.0"
">","EXTENTS_TOP:","30.0"
">","EXTENTS_RIGHT:","620"
">","EXTENTS_BOTTOM:","149"
">","EXTENTS_WIDTH:","502.0"
">","EXTENTS_HEIGHT:","119.0"
">","COMMAND_STITCH","93"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","99"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","593"
"@","+X","2509"
"@","-Y","593"
"@","-X","2509"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#dc9aa1","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","118.0","30.0"
"*","1","JUMP","236.0","60.0"
"*","2","JUMP","353.0","89.0"
"*","3","JUMP","471.0","119.0"
"*","4","STITCH","589","149"
"*","5","STITCH","589","148"
"*","6","STITCH","589","147"
"*","7","STITCH","589","148"
"*","8","STITCH","589","149"
"*","9","STITCH","589","134"
"*","10","STITCH","589","116"
"*","11","STITCH","589","134"
"*","12","STITCH","589","149"
"*","13","STITCH","594","149"
"*","14","STITCH","583","149"
"*","15","STITCH","594","145"
"*","16","STITCH","583","145"
"*","17","STITCH","594","141"
"*","18","STITCH","583","141"
"*","19","STITCH","594","137"
"*","20","STITCH","583","137"
"*","21","STITCH","594","133"
"*","22","STITCH","583","133"
"*","23","STITCH","594","129"
"*","24","STITCH","583","129"
"*","25","STITCH","594","125"
"*","26","STITCH","583","125"
"*","27","STITCH","594","121"
"*","28","STITCH","583","121"
"*","29","STITCH","594","116"
"*","30","STITCH","583","116"
"*","31","STITCH","589","113"
"*","32","STITCH","589","98"
"*","33","STITCH","589","95"
"*","34","STITCH","589","110"
"*","35","STITCH","589","116"
"*","36","STITCH","589","110"
"*","37","STITCH","589","95"
"*","38","STITCH","583","95"
"*","39","STITCH","594","95"
"*","40","STITCH","583","99"
"*","41","STITCH","594","99"
"*","42","STITCH","583","103"
"*","43","STITCH","594","103"
"*","44","STITCH","583","107"
"*","45","STITCH","594","107"
"*","46","STITCH","583","111"
"*","47","STITCH","594","111"
"*","48","STITCH","583","116"
"*","49","STITCH","594","116"
"*","50","STITCH","592","120"
"*","51","STITCH","603","112"
"*","52","STITCH","613","118"
"*","53","STITCH","615","132"
"*","54","STITCH","615","149"
"*","55","STITCH","615","132"
"*","56","STITCH","613","118"
"*","57","STITCH","603","112"
"*","58","STITCH","592","120"
"*","59","STITCH","592","127"
"*","60","STITCH","592","114"
"*","61","STITCH","594","123"
"*","62","STITCH","593","112"
"*","63","STITCH","597","120"
"*","64","STITCH","596","110"
"*","65","STITCH","599","118"
"*","66","STITCH","600","108"
"*","67","STITCH","602","117"
"*","68","STITCH","604","107"
"*","69","STITCH","604","117"
"*","70","STITCH","609","108"
"*","71","STITCH","606","117"
"*","72","STITCH","613","109"
"*","73","STITCH","608","119"
"*","74","STITCH","616","112"
"*","75","STITCH","609","121"
"*","76","STITCH","618","116"
"*","77","STITCH","609","123"
"*","78","STITCH","619","120"
"*","79","STITCH","609","125"
"*","80","STITCH","620","125"
"*","81","STITCH","609","129"
"*","82","STITCH","620","129"
"*","83","STITCH","609","133"
"*","84","STITCH","620","133"
"*","85","STITCH","609","137"
"*","86","STITCH","620","137"
"*","87","STITCH","609","141"
"*","88","STITCH","620","141"
"*","89","STITCH","609","145"
"*","90","STITCH","620","145"
"*","91","STITCH","609","149"
"*","92","STITCH","620","149"
"*","93","STITCH","619","149"
"*","94","STITCH","618","149"
"*","95","STITCH","619","149"
"*","96","STITCH","620","149"
"*","97","END","620","149"
