"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","50"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","110.0"
">","EXTENTS_TOP:","25.0"
">","EXTENTS_RIGHT:","667"
">","EXTENTS_BOTTOM:","148"
">","EXTENTS_WIDTH:","557.0"
">","EXTENTS_HEIGHT:","123.0"
">","COMMAND_STITCH","44"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","51"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","614"
"@","+X","2785"
"@","-Y","614"
"@","-X","2785"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#c5a4c9","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","110.0","25.0"
"*","1","JUMP","221.0","49.0"
"*","2","JUMP","331.0","74.0"
"*","3","JUMP","441.0","99.0"
"*","4","JUMP","552.0","123.0"
"*","5","STITCH","662","148"
"*","6","STITCH","662","147"
"*","7","STITCH","662","146"
"*","8","STITCH","662","147"
"*","9","STITCH","662","148"
"*","10","STITCH","662","133"
"*","11","STITCH","662","118"
"*","12","STITCH","662","111"
"*","13","STITCH","662","118"
"*","14","STITCH","662","133"
"*","15","STITCH","662","148"
"*","16","STITCH","667","148"
"*","17","STITCH","657","148"
"*","18","STITCH","667","144"
"*","19","STITCH","657","144"
"*","20","STITCH","667","140"
"*","21","STITCH","657","140"
"*","22","STITCH","667","136"
"*","23","STITCH","657","136"
"*","24","STITCH","667","132"
"*","25","STITCH","657","132"
"*","26","STITCH","667","128"
"*","27","STITCH","657","128"
"*","28","STITCH","667","124"
"*","29","STITCH","657","124"
"*","30","STITCH","667","120"
"*","31","STITCH","657","120"
"*","32","STITCH","667","116"
"*","33","STITCH","657","116"
"*","34","STITCH","667","111"
"*","35","STITCH","657","111"
"*","36","STITCH","662","97"
"*","37","STITCH","662","89"
"*","38","STITCH","662","97"
"*","39","STITCH","657","97"
"*","40","STITCH","667","97"
"*","41","STITCH","657","93"
"*","42","STITCH","667","93"
"*","43","STITCH","657","89"
"*","44","STITCH","667","89"
"*","45","STITCH","666","89"
"*","46","STITCH","665","89"
"*","47","STITCH","666","89"
"*","48","STITCH","667","89"
"*","49","END","667","89"
