"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","63"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","25.0"
">","EXTENTS_TOP:","89.0"
">","EXTENTS_RIGHT:","93"
">","EXTENTS_BOTTOM:","271"
">","EXTENTS_WIDTH:","68.0"
">","EXTENTS_HEIGHT:","182.0"
">","COMMAND_STITCH","60"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","64"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","909"
"@","+X","340"
"@","-Y","909"
"@","-X","340"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#18ed37","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","25.0","89.0"
"*","1","JUMP","50.0","177.0"
"*","2","STITCH","75","266"
"*","3","STITCH","76","266"
"*","4","STITCH","77","266"
"*","5","STITCH","76","266"
"*","6","STITCH","75","266"
"*","7","STITCH","86","263"
"*","8","STITCH","88","249"
"*","9","STITCH","88","234"
"*","10","STITCH","88","217"
"*","11","STITCH","88","234"
"*","12","STITCH","88","249"
"*","13","STITCH","86","263"
"*","14","STITCH","75","266"
"*","15","STITCH","75","271"
"*","16","STITCH","75","261"
"*","17","STITCH","80","271"
"*","18","STITCH","77","262"
"*","19","STITCH","84","270"
"*","20","STITCH","79","262"
"*","21","STITCH","88","268"
"*","22","STITCH","81","261"
"*","23","STITCH","91","265"
"*","24","STITCH","82","259"
"*","25","STITCH","92","260"
"*","26","STITCH","82","257"
"*","27","STITCH","93","256"
"*","28","STITCH","83","255"
"*","29","STITCH","93","252"
"*","30","STITCH","83","251"
"*","31","STITCH","93","248"
"*","32","STITCH","83","247"
"*","33","STITCH","93","244"
"*","34","STITCH","83","244"
"*","35","STITCH","93","240"
"*","36","STITCH","83","240"
"*","37","STITCH","93","236"
"*","38","STITCH","83","236"
"*","39","STITCH","93","232"
"*","40","STITCH","83","232"
"*","41","STITCH","93","228"
"*","42","STITCH","83","228"
"*","43","STITCH","93","224"
"*","44","STITCH","83","224"
"*","45","STITCH","93","220"
"*","46","STITCH","83","220"
"*","47","STITCH","93","217"
"*","48","STITCH","83","217"
"*","49","STITCH","88","204"
"*","50","STITCH","88","196"
"*","51","STITCH","88","204"
"*","52","STITCH","93","204"
"*","53","STITCH","83","204"
"*","54","STITCH","93","200"
"*","55","STITCH","83","200"
"*","56","STITCH","93","196"
"*","57","STITCH","83","196"
"*","58","STITCH","83","196"
"*","59","STITCH","84","196"
"*","60","STITCH","83","196"
"*","61","STITCH","83","196"
"*","62","END","83","196"
