"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","92"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","47.0"
">","EXTENTS_TOP:","85.0"
">","EXTENTS_RIGHT:","173"
">","EXTENTS_BOTTOM:","254"
">","EXTENTS_WIDTH:","126.0"
">","EXTENTS_HEIGHT:","169.0"
">","COMMAND_STITCH","89"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","93"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","846"
"@","+X","630"
"@","-Y","846"
"@","-X","630"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#29d6ca","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","47.0","85.0"
"*","1","JUMP","93.0","169.0"
"*","2","STITCH","140","254"
"*","3","STITCH","140","253"
"*","4","STITCH","140","253"
"*","5","STITCH","140","253"
"*","6","STITCH","140","254"
"*","7","STITCH","140","239"
"*","8","STITCH","140","234"
"*","9","STITCH","140","239"
"*","10","STITCH","140","254"
"*","11","STITCH","135","254"
"*","12","STITCH","145","254"
"*","13","STITCH","135","250"
"*","14","STITCH","145","250"
"*","15","STITCH","135","246"
"*","16","STITCH","145","246"
"*","17","STITCH","135","242"
"*","18","STITCH","145","242"
"*","19","STITCH","135","238"
"*","20","STITCH","145","238"
"*","21","STITCH","135","234"
"*","22","STITCH","145","234"
"*","23","STITCH","140","233"
"*","24","STITCH","140","218"
"*","25","STITCH","140","203"
"*","26","STITCH","140","201"
"*","27","STITCH","145","201"
"*","28","STITCH","135","201"
"*","29","STITCH","145","205"
"*","30","STITCH","135","205"
"*","31","STITCH","145","209"
"*","32","STITCH","135","209"
"*","33","STITCH","145","213"
"*","34","STITCH","135","213"
"*","35","STITCH","145","217"
"*","36","STITCH","135","217"
"*","37","STITCH","145","221"
"*","38","STITCH","135","221"
"*","39","STITCH","145","225"
"*","40","STITCH","135","225"
"*","41","STITCH","145","229"
"*","42","STITCH","135","229"
"*","43","STITCH","145","234"
"*","44","STITCH","135","234"
"*","45","STITCH","147","233"
"*","46","STITCH","158","223"
"*","47","STITCH","165","216"
"*","48","STITCH","166","216"
"*","49","STITCH","155","225"
"*","50","STITCH","148","236"
"*","51","STITCH","159","246"
"*","52","STITCH","167","254"
"*","53","STITCH","159","246"
"*","54","STITCH","148","236"
"*","55","STITCH","155","225"
"*","56","STITCH","166","216"
"*","57","STITCH","160","216"
"*","58","STITCH","172","216"
"*","59","STITCH","157","218"
"*","60","STITCH","169","218"
"*","61","STITCH","154","221"
"*","62","STITCH","166","221"
"*","63","STITCH","151","223"
"*","64","STITCH","163","224"
"*","65","STITCH","148","226"
"*","66","STITCH","160","226"
"*","67","STITCH","146","228"
"*","68","STITCH","157","229"
"*","69","STITCH","143","231"
"*","70","STITCH","154","232"
"*","71","STITCH","141","234"
"*","72","STITCH","152","234"
"*","73","STITCH","143","238"
"*","74","STITCH","155","237"
"*","75","STITCH","146","240"
"*","76","STITCH","158","240"
"*","77","STITCH","149","243"
"*","78","STITCH","161","242"
"*","79","STITCH","152","246"
"*","80","STITCH","164","245"
"*","81","STITCH","155","248"
"*","82","STITCH","167","248"
"*","83","STITCH","157","251"
"*","84","STITCH","170","251"
"*","85","STITCH","161","254"
"*","86","STITCH","173","254"
"*","87","STITCH","172","254"
"*","88","STITCH","171","254"
"*","89","STITCH","172","254"
"*","90","STITCH","173","254"
"*","91","END","173","254"
