"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","50"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","71.0"
">","EXTENTS_TOP:","85.0"
">","EXTENTS_RIGHT:","219"
">","EXTENTS_BOTTOM:","254"
">","EXTENTS_WIDTH:","148.0"
">","EXTENTS_HEIGHT:","169.0"
">","COMMAND_STITCH","47"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","51"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","846"
"@","+X","742"
"@","-Y","846"
"@","-X","742"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#83f54a","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","71.0","85.0"
"*","1","JUMP","143.0","169.0"
"*","2","STITCH","214","254"
"*","3","STITCH","214","253"
"*","4","STITCH","214","253"
"*","5","STITCH","214","253"
"*","6","STITCH","214","254"
"*","7","STITCH","214","239"
"*","8","STITCH","214","224"
"*","9","STITCH","214","209"
"*","10","STITCH","214","199"
"*","11","STITCH","214","209"
"*","12","STITCH","214","224"
"*","13","STITCH","214","239"
"*","14","STITCH","214","254"
"*","15","STITCH","209","254"
"*","16","STITCH","219","254"
"*","17","STITCH","209","250"
"*","18","STITCH","219","250"
"*","19","STITCH","209","246"
"*","20","STITCH","219","246"
"*","21","STITCH","209","242"
"*","22","STITCH","219","242"
"*","23","STITCH","209","238"
"*","24","STITCH","219","238"
"*","25","STITCH","209","234"
"*","26","STITCH","219","234"
"*","27","STITCH","209","230"
"*","28","STITCH","219","230"
"*","29","STITCH","209","226"
"*","30","STITCH","219","226"
"*","31","STITCH","209","222"
"*","32","STITCH","219","222"
"*","33","STITCH","209","218"
"*","34","STITCH","219","218"
"*","35","STITCH","209","214"
"*","36","STITCH","219","214"
"*","37","STITCH","209","210"
"*","38","STITCH","219","210"
"*","39","STITCH","209","206"
"*","40","STITCH","219","206"
"*","41","STITCH","209","202"
"*","42","STITCH","219","202"
"*","43","STITCH","209","199"
"*","44","STITCH","219","199"
"*","45","STITCH","219","199"
"*","46","STITCH","218","199"
"*","47","STITCH","219","199"
"*","48","STITCH","219","199"
"*","49","END","219","199"
