"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","130"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","89.0"
">","EXTENTS_TOP:","85.0"
">","EXTENTS_RIGHT:","322"
">","EXTENTS_BOTTOM:","254"
">","EXTENTS_WIDTH:","233.0"
">","EXTENTS_HEIGHT:","169.0"
">","COMMAND_STITCH","127"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","131"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","846"
"@","+X","1163"
"@","-Y","846"
"@","-X","1163"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#dca025","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","89.0","85.0"
"*","1","JUMP","178.0","169.0"
"*","2","STITCH","267","254"
"*","3","STITCH","267","253"
"*","4","STITCH","267","253"
"*","5","STITCH","267","253"
"*","6","STITCH","267","254"
"*","7","STITCH","267","239"
"*","8","STITCH","267","220"
"*","9","STITCH","267","239"
"*","10","STITCH","267","254"
"*","11","STITCH","261","254"
"*","12","STITCH","272","254"
"*","13","STITCH","261","250"
"*","14","STITCH","272","250"
"*","15","STITCH","261","246"
"*","16","STITCH","272","246"
"*","17","STITCH","261","242"
"*","18","STITCH","272","242"
"*","19","STITCH","261","238"
"*","20","STITCH","272","238"
"*","21","STITCH","261","234"
"*","22","STITCH","272","234"
"*","23","STITCH","261","230"
"*","24","STITCH","272","230"
"*","25","STITCH","261","226"
"*","26","STITCH","272","226"
"*","27","STITCH","261","222"
"*","28","STITCH","272","222"
"*","29","STITCH","261","220"
"*","30","STITCH","272","220"
"*","31","STITCH","267","220"
"*","32","STITCH","261","216"
"*","33","STITCH","272","216"
"*","34","STITCH","261","220"
"*","35","STITCH","272","220"
"*","36","STITCH","270","224"
"*","37","STITCH","281","218"
"*","38","STITCH","291","225"
"*","39","STITCH","291","231"
"*","40","STITCH","291","225"
"*","41","STITCH","281","218"
"*","42","STITCH","270","224"
"*","43","STITCH","270","230"
"*","44","STITCH","270","218"
"*","45","STITCH","272","227"
"*","46","STITCH","273","216"
"*","47","STITCH","275","225"
"*","48","STITCH","276","214"
"*","49","STITCH","279","223"
"*","50","STITCH","280","213"
"*","51","STITCH","281","223"
"*","52","STITCH","284","213"
"*","53","STITCH","283","223"
"*","54","STITCH","289","214"
"*","55","STITCH","285","224"
"*","56","STITCH","292","217"
"*","57","STITCH","285","226"
"*","58","STITCH","295","221"
"*","59","STITCH","286","228"
"*","60","STITCH","296","225"
"*","61","STITCH","286","230"
"*","62","STITCH","297","229"
"*","63","STITCH","286","231"
"*","64","STITCH","297","231"
"*","65","STITCH","292","232"
"*","66","STITCH","292","247"
"*","67","STITCH","292","254"
"*","68","STITCH","286","254"
"*","69","STITCH","297","254"
"*","70","STITCH","286","250"
"*","71","STITCH","297","250"
"*","72","STITCH","286","246"
"*","73","STITCH","297","246"
"*","74","STITCH","286","242"
"*","75","STITCH","297","242"
"*","76","STITCH","286","238"
"*","77","STITCH","297","238"
"*","78","STITCH","286","234"
"*","79","STITCH","297","234"
"*","80","STITCH","286","231"
"*","81","STITCH","297","231"
"*","82","STITCH","294","225"
"*","83","STITCH","306","218"
"*","84","STITCH","315","225"
"*","85","STITCH","316","239"
"*","86","STITCH","316","254"
"*","87","STITCH","316","239"
"*","88","STITCH","315","225"
"*","89","STITCH","306","218"
"*","90","STITCH","294","225"
"*","91","STITCH","296","231"
"*","92","STITCH","292","218"
"*","93","STITCH","297","228"
"*","94","STITCH","295","216"
"*","95","STITCH","299","225"
"*","96","STITCH","299","214"
"*","97","STITCH","302","224"
"*","98","STITCH","303","213"
"*","99","STITCH","306","223"
"*","100","STITCH","307","213"
"*","101","STITCH","309","224"
"*","102","STITCH","312","213"
"*","103","STITCH","311","226"
"*","104","STITCH","315","215"
"*","105","STITCH","312","229"
"*","106","STITCH","318","219"
"*","107","STITCH","312","232"
"*","108","STITCH","320","222"
"*","109","STITCH","312","235"
"*","110","STITCH","321","226"
"*","111","STITCH","312","238"
"*","112","STITCH","321","231"
"*","113","STITCH","312","241"
"*","114","STITCH","321","235"
"*","115","STITCH","311","244"
"*","116","STITCH","321","239"
"*","117","STITCH","311","247"
"*","118","STITCH","321","243"
"*","119","STITCH","311","250"
"*","120","STITCH","322","247"
"*","121","STITCH","311","252"
"*","122","STITCH","322","252"
"*","123","STITCH","311","254"
"*","124","STITCH","322","254"
"*","125","STITCH","321","254"
"*","126","STITCH","320","254"
"*","127","STITCH","321","254"
"*","128","STITCH","322","254"
"*","129","END","322","254"
