"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","83"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","92.0"
">","EXTENTS_TOP:","64.0"
">","EXTENTS_RIGHT:","398"
">","EXTENTS_BOTTOM:","254"
">","EXTENTS_WIDTH:","306.0"
">","EXTENTS_HEIGHT:","190.0"
">","COMMAND_STITCH","79"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","84"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","951"
"@","+X","1532"
"@","-Y","951"
"@","-X","1532"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#8f46d5","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","92.0","64.0"
"*","1","JUMP","184.0","127.0"
"*","2","JUMP","276.0","191.0"
"*","3","STITCH","368","254"
"*","4","STITCH","368","253"
"*","5","STITCH","368","253"
"*","6","STITCH","368","253"
"*","7","STITCH","368","254"
"*","8","STITCH","368","239"
"*","9","STITCH","368","220"
"*","10","STITCH","368","239"
"*","11","STITCH","368","254"
"*","12","STITCH","363","254"
"*","13","STITCH","373","254"
"*","14","STITCH","363","250"
"*","15","STITCH","373","250"
"*","16","STITCH","363","246"
"*","17","STITCH","373","246"
"*","18","STITCH","363","242"
"*","19","STITCH","373","242"
"*","20","STITCH","363","238"
"*","21","STITCH","373","238"
"*","22","STITCH","363","234"
"*","23","STITCH","373","234"
"*","24","STITCH","363","230"
"*","25","STITCH","373","230"
"*","26","STITCH","363","226"
"*","27","STITCH","373","226"
"*","28","STITCH","363","222"
"*","29","STITCH","373","222"
"*","30","STITCH","363","220"
"*","31","STITCH","373","220"
"*","32","STITCH","368","220"
"*","33","STITCH","363","216"
"*","34","STITCH","373","216"
"*","35","STITCH","363","220"
"*","36","STITCH","373","220"
"*","37","STITCH","371","224"
"*","38","STITCH","383","218"
"*","39","STITCH","393","226"
"*","40","STITCH","393","240"
"*","41","STITCH","393","254"
"*","42","STITCH","393","240"
"*","43","STITCH","393","226"
"*","44","STITCH","383","218"
"*","45","STITCH","371","224"
"*","46","STITCH","371","230"
"*","47","STITCH","371","218"
"*","48","STITCH","374","227"
"*","49","STITCH","375","216"
"*","50","STITCH","377","225"
"*","51","STITCH","378","214"
"*","52","STITCH","380","223"
"*","53","STITCH","382","213"
"*","54","STITCH","383","223"
"*","55","STITCH","386","213"
"*","56","STITCH","386","224"
"*","57","STITCH","390","214"
"*","58","STITCH","388","226"
"*","59","STITCH","393","217"
"*","60","STITCH","388","229"
"*","61","STITCH","396","220"
"*","62","STITCH","388","232"
"*","63","STITCH","397","224"
"*","64","STITCH","388","235"
"*","65","STITCH","398","228"
"*","66","STITCH","388","238"
"*","67","STITCH","398","232"
"*","68","STITCH","388","241"
"*","69","STITCH","398","236"
"*","70","STITCH","388","244"
"*","71","STITCH","398","241"
"*","72","STITCH","388","247"
"*","73","STITCH","398","245"
"*","74","STITCH","388","250"
"*","75","STITCH","398","249"
"*","76","STITCH","388","254"
"*","77","STITCH","398","254"
"*","78","STITCH","398","254"
"*","79","STITCH","397","254"
"*","80","STITCH","398","254"
"*","81","STITCH","398","254"
"*","82","END","398","254"
