"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","96"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","111.0"
">","EXTENTS_TOP:","59.0"
">","EXTENTS_RIGHT:","478"
">","EXTENTS_BOTTOM:","256"
">","EXTENTS_WIDTH:","367.0"
">","EXTENTS_HEIGHT:","197.0"
">","COMMAND_STITCH","92"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","97"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","986"
"@","+X","1833"
"@","-Y","986"
"@","-X","1833"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#c19bd8","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","111.0","59.0"
"*","1","JUMP","222.0","117.0"
"*","2","JUMP","332.0","176.0"
"*","3","STITCH","443","234"
"*","4","STITCH","444","234"
"*","5","STITCH","444","233"
"*","6","STITCH","444","234"
"*","7","STITCH","443","234"
"*","8","STITCH","448","221"
"*","9","STITCH","462","217"
"*","10","STITCH","472","228"
"*","11","STITCH","473","235"
"*","12","STITCH","472","234"
"*","13","STITCH","469","246"
"*","14","STITCH","458","251"
"*","15","STITCH","447","247"
"*","16","STITCH","444","235"
"*","17","STITCH","447","222"
"*","18","STITCH","457","217"
"*","19","STITCH","468","221"
"*","20","STITCH","472","234"
"*","21","STITCH","468","221"
"*","22","STITCH","457","217"
"*","23","STITCH","447","222"
"*","24","STITCH","444","235"
"*","25","STITCH","447","247"
"*","26","STITCH","458","251"
"*","27","STITCH","469","246"
"*","28","STITCH","472","234"
"*","29","STITCH","467","234"
"*","30","STITCH","478","234"
"*","31","STITCH","467","237"
"*","32","STITCH","477","238"
"*","33","STITCH","466","239"
"*","34","STITCH","476","243"
"*","35","STITCH","466","242"
"*","36","STITCH","475","247"
"*","37","STITCH","465","243"
"*","38","STITCH","472","250"
"*","39","STITCH","463","245"
"*","40","STITCH","469","253"
"*","41","STITCH","461","246"
"*","42","STITCH","465","255"
"*","43","STITCH","459","247"
"*","44","STITCH","461","256"
"*","45","STITCH","457","247"
"*","46","STITCH","456","256"
"*","47","STITCH","455","246"
"*","48","STITCH","452","255"
"*","49","STITCH","453","245"
"*","50","STITCH","448","254"
"*","51","STITCH","452","244"
"*","52","STITCH","444","251"
"*","53","STITCH","450","242"
"*","54","STITCH","441","247"
"*","55","STITCH","450","240"
"*","56","STITCH","440","243"
"*","57","STITCH","449","237"
"*","58","STITCH","439","239"
"*","59","STITCH","449","235"
"*","60","STITCH","438","235"
"*","61","STITCH","449","232"
"*","62","STITCH","438","231"
"*","63","STITCH","449","230"
"*","64","STITCH","439","226"
"*","65","STITCH","450","227"
"*","66","STITCH","441","222"
"*","67","STITCH","451","225"
"*","68","STITCH","443","219"
"*","69","STITCH","453","223"
"*","70","STITCH","446","215"
"*","71","STITCH","454","222"
"*","72","STITCH","450","213"
"*","73","STITCH","456","222"
"*","74","STITCH","454","212"
"*","75","STITCH","458","222"
"*","76","STITCH","459","212"
"*","77","STITCH","460","222"
"*","78","STITCH","463","213"
"*","79","STITCH","462","223"
"*","80","STITCH","467","214"
"*","81","STITCH","464","224"
"*","82","STITCH","471","217"
"*","83","STITCH","465","226"
"*","84","STITCH","474","220"
"*","85","STITCH","466","228"
"*","86","STITCH","476","224"
"*","87","STITCH","467","231"
"*","88","STITCH","477","228"
"*","89","STITCH","467","234"
"*","90","STITCH","478","234"
"*","91","STITCH","477","234"
"*","92","STITCH","476","234"
"*","93","STITCH","477","234"
"*","94","STITCH","478","234"
"*","95","END","478","234"
