"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","111"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","104.0"
">","EXTENTS_TOP:","43.0"
">","EXTENTS_RIGHT:","556"
">","EXTENTS_BOTTOM:","269"
">","EXTENTS_WIDTH:","452.0"
">","EXTENTS_HEIGHT:","226.0"
">","COMMAND_STITCH","106"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","112"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1129"
"@","+X","2259"
"@","-Y","1129"
"@","-X","2259"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#47d09b","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","104.0","43.0"
"*","1","JUMP","209.0","86.0"
"*","2","JUMP","313.0","130.0"
"*","3","JUMP","418.0","173.0"
"*","4","STITCH","522","216"
"*","5","STITCH","522","217"
"*","6","STITCH","522","217"
"*","7","STITCH","522","217"
"*","8","STITCH","522","216"
"*","9","STITCH","522","229"
"*","10","STITCH","522","216"
"*","11","STITCH","528","216"
"*","12","STITCH","517","216"
"*","13","STITCH","528","220"
"*","14","STITCH","517","220"
"*","15","STITCH","528","224"
"*","16","STITCH","517","224"
"*","17","STITCH","528","228"
"*","18","STITCH","517","228"
"*","19","STITCH","528","229"
"*","20","STITCH","517","229"
"*","21","STITCH","523","230"
"*","22","STITCH","523","245"
"*","23","STITCH","523","260"
"*","24","STITCH","522","269"
"*","25","STITCH","517","269"
"*","26","STITCH","528","269"
"*","27","STITCH","517","265"
"*","28","STITCH","528","265"
"*","29","STITCH","517","261"
"*","30","STITCH","528","261"
"*","31","STITCH","517","257"
"*","32","STITCH","528","257"
"*","33","STITCH","517","253"
"*","34","STITCH","528","253"
"*","35","STITCH","517","249"
"*","36","STITCH","528","249"
"*","37","STITCH","517","245"
"*","38","STITCH","528","245"
"*","39","STITCH","517","241"
"*","40","STITCH","528","241"
"*","41","STITCH","517","237"
"*","42","STITCH","528","237"
"*","43","STITCH","517","233"
"*","44","STITCH","528","233"
"*","45","STITCH","517","229"
"*","46","STITCH","528","229"
"*","47","STITCH","526","224"
"*","48","STITCH","538","218"
"*","49","STITCH","548","224"
"*","50","STITCH","550","235"
"*","51","STITCH","548","224"
"*","52","STITCH","538","218"
"*","53","STITCH","526","224"
"*","54","STITCH","526","230"
"*","55","STITCH","526","218"
"*","56","STITCH","528","227"
"*","57","STITCH","529","215"
"*","58","STITCH","530","224"
"*","59","STITCH","533","214"
"*","60","STITCH","533","222"
"*","61","STITCH","537","213"
"*","62","STITCH","537","222"
"*","63","STITCH","541","213"
"*","64","STITCH","541","223"
"*","65","STITCH","545","214"
"*","66","STITCH","542","225"
"*","67","STITCH","548","217"
"*","68","STITCH","544","227"
"*","69","STITCH","551","220"
"*","70","STITCH","544","229"
"*","71","STITCH","554","224"
"*","72","STITCH","545","231"
"*","73","STITCH","555","228"
"*","74","STITCH","545","234"
"*","75","STITCH","556","232"
"*","76","STITCH","545","235"
"*","77","STITCH","556","235"
"*","78","STITCH","550","235"
"*","79","STITCH","545","249"
"*","80","STITCH","532","251"
"*","81","STITCH","526","246"
"*","82","STITCH","526","252"
"*","83","STITCH","526","241"
"*","84","STITCH","529","255"
"*","85","STITCH","528","243"
"*","86","STITCH","532","256"
"*","87","STITCH","531","246"
"*","88","STITCH","537","257"
"*","89","STITCH","534","248"
"*","90","STITCH","541","257"
"*","91","STITCH","537","248"
"*","92","STITCH","545","256"
"*","93","STITCH","540","247"
"*","94","STITCH","549","253"
"*","95","STITCH","542","246"
"*","96","STITCH","551","250"
"*","97","STITCH","543","244"
"*","98","STITCH","554","246"
"*","99","STITCH","544","242"
"*","100","STITCH","555","242"
"*","101","STITCH","545","239"
"*","102","STITCH","556","238"
"*","103","STITCH","545","237"
"*","104","STITCH","556","235"
"*","105","STITCH","545","235"
"*","106","STITCH","546","235"
"*","107","STITCH","547","235"
"*","108","STITCH","546","235"
"*","109","STITCH","545","235"
"*","110","END","545","235"
