"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","115"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","118.0"
">","EXTENTS_TOP:","47.0"
">","EXTENTS_RIGHT:","625"
">","EXTENTS_BOTTOM:","268"
">","EXTENTS_WIDTH:","507.0"
">","EXTENTS_HEIGHT:","221.0"
">","COMMAND_STITCH","110"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","116"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1105"
"@","+X","2537"
"@","-Y","1105"
"@","-X","2537"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#c8c68c","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","118.0","47.0"
"*","1","JUMP","237.0","94.0"
"*","2","JUMP","355.0","140.0"
"*","3","JUMP","474.0","187.0"
"*","4","STITCH","592","234"
"*","5","STITCH","592","234"
"*","6","STITCH","592","235"
"*","7","STITCH","592","234"
"*","8","STITCH","592","234"
"*","9","STITCH","596","248"
"*","10","STITCH","610","251"
"*","11","STITCH","616","247"
"*","12","STITCH","617","244"
"*","13","STITCH","607","251"
"*","14","STITCH","595","246"
"*","15","STITCH","592","233"
"*","16","STITCH","596","221"
"*","17","STITCH","610","218"
"*","18","STITCH","617","224"
"*","19","STITCH","610","218"
"*","20","STITCH","596","221"
"*","21","STITCH","592","233"
"*","22","STITCH","595","246"
"*","23","STITCH","607","251"
"*","24","STITCH","617","244"
"*","25","STITCH","617","237"
"*","26","STITCH","617","251"
"*","27","STITCH","616","241"
"*","28","STITCH","615","253"
"*","29","STITCH","613","244"
"*","30","STITCH","612","255"
"*","31","STITCH","611","246"
"*","32","STITCH","608","256"
"*","33","STITCH","609","247"
"*","34","STITCH","603","256"
"*","35","STITCH","606","247"
"*","36","STITCH","599","255"
"*","37","STITCH","603","247"
"*","38","STITCH","595","253"
"*","39","STITCH","601","245"
"*","40","STITCH","592","250"
"*","41","STITCH","599","243"
"*","42","STITCH","590","247"
"*","43","STITCH","598","241"
"*","44","STITCH","588","243"
"*","45","STITCH","598","238"
"*","46","STITCH","587","239"
"*","47","STITCH","597","236"
"*","48","STITCH","587","234"
"*","49","STITCH","597","233"
"*","50","STITCH","587","230"
"*","51","STITCH","598","230"
"*","52","STITCH","588","226"
"*","53","STITCH","598","228"
"*","54","STITCH","589","222"
"*","55","STITCH","599","225"
"*","56","STITCH","592","218"
"*","57","STITCH","601","223"
"*","58","STITCH","595","215"
"*","59","STITCH","603","222"
"*","60","STITCH","599","213"
"*","61","STITCH","606","221"
"*","62","STITCH","603","212"
"*","63","STITCH","608","222"
"*","64","STITCH","607","212"
"*","65","STITCH","612","223"
"*","66","STITCH","610","213"
"*","67","STITCH","615","226"
"*","68","STITCH","613","214"
"*","69","STITCH","617","230"
"*","70","STITCH","616","216"
"*","71","STITCH","617","231"
"*","72","STITCH","617","217"
"*","73","STITCH","620","215"
"*","74","STITCH","620","230"
"*","75","STITCH","620","245"
"*","76","STITCH","620","260"
"*","77","STITCH","620","268"
"*","78","STITCH","620","260"
"*","79","STITCH","620","245"
"*","80","STITCH","620","230"
"*","81","STITCH","620","215"
"*","82","STITCH","615","215"
"*","83","STITCH","625","215"
"*","84","STITCH","615","219"
"*","85","STITCH","625","219"
"*","86","STITCH","615","223"
"*","87","STITCH","625","223"
"*","88","STITCH","615","227"
"*","89","STITCH","625","227"
"*","90","STITCH","615","231"
"*","91","STITCH","625","231"
"*","92","STITCH","615","235"
"*","93","STITCH","625","235"
"*","94","STITCH","615","239"
"*","95","STITCH","625","239"
"*","96","STITCH","615","243"
"*","97","STITCH","625","243"
"*","98","STITCH","615","247"
"*","99","STITCH","625","247"
"*","100","STITCH","615","251"
"*","101","STITCH","625","251"
"*","102","STITCH","615","255"
"*","103","STITCH","625","255"
"*","104","STITCH","615","259"
"*","105","STITCH","625","259"
"*","106","STITCH","615","263"
"*","107","STITCH","625","263"
"*","108","STITCH","615","268"
"*","109","STITCH","625","268"
"*","110","STITCH","625","268"
"*","111","STITCH","624","268"
"*","112","STITCH","625","268"
"*","113","STITCH","625","268"
"*","114","END","625","268"
