"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","66"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","111.0"
">","EXTENTS_TOP:","36.0"
">","EXTENTS_RIGHT:","690"
">","EXTENTS_BOTTOM:","254"
">","EXTENTS_WIDTH:","579.0"
">","EXTENTS_HEIGHT:","218.0"
">","COMMAND_STITCH","60"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","67"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1088"
"@","+X","2894"
"@","-Y","1088"
"@","-X","2894"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#cde24e","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","111.0","36.0"
"*","1","JUMP","221.0","72.0"
"*","2","JUMP","332.0","108.0"
"*","3","JUMP","442.0","143.0"
"*","4","JUMP","553.0","179.0"
"*","5","STITCH","663","215"
"*","6","STITCH","663","216"
"*","7","STITCH","663","217"
"*","8","STITCH","663","216"
"*","9","STITCH","663","215"
"*","10","STITCH","663","221"
"*","11","STITCH","663","215"
"*","12","STITCH","658","215"
"*","13","STITCH","668","215"
"*","14","STITCH","658","219"
"*","15","STITCH","668","219"
"*","16","STITCH","658","221"
"*","17","STITCH","668","221"
"*","18","STITCH","663","221"
"*","19","STITCH","663","236"
"*","20","STITCH","663","251"
"*","21","STITCH","663","253"
"*","22","STITCH","658","254"
"*","23","STITCH","668","254"
"*","24","STITCH","658","250"
"*","25","STITCH","668","250"
"*","26","STITCH","658","246"
"*","27","STITCH","668","246"
"*","28","STITCH","658","242"
"*","29","STITCH","668","242"
"*","30","STITCH","658","238"
"*","31","STITCH","668","238"
"*","32","STITCH","658","234"
"*","33","STITCH","668","234"
"*","34","STITCH","658","230"
"*","35","STITCH","668","230"
"*","36","STITCH","658","226"
"*","37","STITCH","668","226"
"*","38","STITCH","658","221"
"*","39","STITCH","668","221"
"*","40","STITCH","666","226"
"*","41","STITCH","677","217"
"*","42","STITCH","689","222"
"*","43","STITCH","677","217"
"*","44","STITCH","666","226"
"*","45","STITCH","666","219"
"*","46","STITCH","667","232"
"*","47","STITCH","668","217"
"*","48","STITCH","668","228"
"*","49","STITCH","671","215"
"*","50","STITCH","670","225"
"*","51","STITCH","674","213"
"*","52","STITCH","673","223"
"*","53","STITCH","678","212"
"*","54","STITCH","677","222"
"*","55","STITCH","682","213"
"*","56","STITCH","681","222"
"*","57","STITCH","686","214"
"*","58","STITCH","684","224"
"*","59","STITCH","690","217"
"*","60","STITCH","687","227"
"*","61","STITCH","688","226"
"*","62","STITCH","688","226"
"*","63","STITCH","688","226"
"*","64","STITCH","687","227"
"*","65","END","687","227"
