"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","82"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","25.0"
">","EXTENTS_TOP:","116.0"
">","EXTENTS_RIGHT:","105"
">","EXTENTS_BOTTOM:","355"
">","EXTENTS_WIDTH:","80.0"
">","EXTENTS_HEIGHT:","239.0"
">","COMMAND_STITCH","79"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","83"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1193"
"@","+X","401"
"@","-Y","1193"
"@","-X","401"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#9f2610","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","25.0","116.0"
"*","1","JUMP","49.0","231.0"
"*","2","STITCH","74","347"
"*","3","STITCH","75","347"
"*","4","STITCH","75","348"
"*","5","STITCH","75","347"
"*","6","STITCH","74","347"
"*","7","STITCH","87","350"
"*","8","STITCH","99","346"
"*","9","STITCH","97","335"
"*","10","STITCH","83","331"
"*","11","STITCH","77","321"
"*","12","STITCH","87","315"
"*","13","STITCH","101","317"
"*","14","STITCH","87","315"
"*","15","STITCH","77","321"
"*","16","STITCH","83","331"
"*","17","STITCH","97","335"
"*","18","STITCH","99","346"
"*","19","STITCH","87","350"
"*","20","STITCH","74","347"
"*","21","STITCH","74","342"
"*","22","STITCH","74","352"
"*","23","STITCH","78","343"
"*","24","STITCH","78","353"
"*","25","STITCH","81","345"
"*","26","STITCH","81","354"
"*","27","STITCH","85","345"
"*","28","STITCH","85","355"
"*","29","STITCH","87","346"
"*","30","STITCH","90","355"
"*","31","STITCH","89","346"
"*","32","STITCH","94","354"
"*","33","STITCH","92","345"
"*","34","STITCH","98","352"
"*","35","STITCH","93","345"
"*","36","STITCH","102","350"
"*","37","STITCH","95","343"
"*","38","STITCH","104","346"
"*","39","STITCH","96","342"
"*","40","STITCH","105","341"
"*","41","STITCH","95","340"
"*","42","STITCH","105","337"
"*","43","STITCH","94","338"
"*","44","STITCH","102","333"
"*","45","STITCH","91","338"
"*","46","STITCH","98","331"
"*","47","STITCH","89","338"
"*","48","STITCH","94","329"
"*","49","STITCH","85","337"
"*","50","STITCH","91","328"
"*","51","STITCH","81","336"
"*","52","STITCH","88","328"
"*","53","STITCH","77","334"
"*","54","STITCH","85","327"
"*","55","STITCH","74","331"
"*","56","STITCH","83","326"
"*","57","STITCH","73","327"
"*","58","STITCH","82","324"
"*","59","STITCH","72","322"
"*","60","STITCH","82","322"
"*","61","STITCH","74","318"
"*","62","STITCH","83","321"
"*","63","STITCH","76","314"
"*","64","STITCH","84","320"
"*","65","STITCH","80","312"
"*","66","STITCH","86","319"
"*","67","STITCH","85","311"
"*","68","STITCH","88","320"
"*","69","STITCH","89","310"
"*","70","STITCH","91","320"
"*","71","STITCH","93","311"
"*","72","STITCH","94","320"
"*","73","STITCH","97","311"
"*","74","STITCH","98","321"
"*","75","STITCH","101","312"
"*","76","STITCH","101","322"
"*","77","STITCH","101","322"
"*","78","STITCH","101","321"
"*","79","STITCH","101","322"
"*","80","STITCH","101","322"
"*","81","END","101","322"
