"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","78"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","47.0"
">","EXTENTS_TOP:","106.0"
">","EXTENTS_RIGHT:","166"
">","EXTENTS_BOTTOM:","354"
">","EXTENTS_WIDTH:","119.0"
">","EXTENTS_HEIGHT:","248.0"
">","COMMAND_STITCH","75"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","79"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1239"
"@","+X","594"
"@","-Y","1239"
"@","-X","594"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#fa6fde","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","47.0","106.0"
"*","1","JUMP","94.0","213.0"
"*","2","STITCH","141","319"
"*","3","STITCH","141","319"
"*","4","STITCH","142","319"
"*","5","STITCH","141","319"
"*","6","STITCH","141","319"
"*","7","STITCH","146","319"
"*","8","STITCH","141","319"
"*","9","STITCH","141","324"
"*","10","STITCH","141","314"
"*","11","STITCH","145","324"
"*","12","STITCH","145","314"
"*","13","STITCH","146","324"
"*","14","STITCH","146","314"
"*","15","STITCH","148","319"
"*","16","STITCH","163","319"
"*","17","STITCH","165","319"
"*","18","STITCH","166","324"
"*","19","STITCH","166","314"
"*","20","STITCH","162","324"
"*","21","STITCH","162","314"
"*","22","STITCH","158","324"
"*","23","STITCH","158","314"
"*","24","STITCH","153","324"
"*","25","STITCH","153","314"
"*","26","STITCH","149","313"
"*","27","STITCH","149","307"
"*","28","STITCH","150","302"
"*","29","STITCH","149","317"
"*","30","STITCH","150","332"
"*","31","STITCH","151","345"
"*","32","STITCH","162","349"
"*","33","STITCH","166","349"
"*","34","STITCH","162","349"
"*","35","STITCH","151","345"
"*","36","STITCH","150","332"
"*","37","STITCH","149","317"
"*","38","STITCH","150","302"
"*","39","STITCH","144","302"
"*","40","STITCH","155","302"
"*","41","STITCH","144","306"
"*","42","STITCH","155","306"
"*","43","STITCH","144","310"
"*","44","STITCH","155","310"
"*","45","STITCH","144","314"
"*","46","STITCH","155","314"
"*","47","STITCH","144","318"
"*","48","STITCH","155","318"
"*","49","STITCH","144","322"
"*","50","STITCH","155","322"
"*","51","STITCH","144","326"
"*","52","STITCH","155","326"
"*","53","STITCH","144","330"
"*","54","STITCH","155","330"
"*","55","STITCH","144","334"
"*","56","STITCH","155","334"
"*","57","STITCH","144","338"
"*","58","STITCH","155","338"
"*","59","STITCH","145","343"
"*","60","STITCH","155","340"
"*","61","STITCH","146","347"
"*","62","STITCH","155","342"
"*","63","STITCH","148","351"
"*","64","STITCH","156","344"
"*","65","STITCH","152","353"
"*","66","STITCH","157","344"
"*","67","STITCH","157","354"
"*","68","STITCH","159","344"
"*","69","STITCH","161","354"
"*","70","STITCH","162","345"
"*","71","STITCH","166","354"
"*","72","STITCH","166","345"
"*","73","STITCH","166","345"
"*","74","STITCH","166","346"
"*","75","STITCH","166","345"
"*","76","STITCH","166","345"
"*","77","END","166","345"
